Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.001669,9.882491,[28  8] ; [ 9 15],[22.2 13.8] ; [14.8  9.2],0
p11,1,0.033895,4.5,[33  3] ; [17  7],[30.  6.] ; [20.  4.],0
s5,1,0.041023,4.175048,[26  8] ; [11 11],[22.46428571 11.53571429] ; [14.53571429  7.46428571],0
b1,1,0.055561,3.665158,[12 24] ; [14 10],[15.6 20.4] ; [10.4 13.6],0
v1,1,0.058965,3.566257,[31  5] ; [15  8],[28.06779661  7.93220339] ; [17.93220339  5.06779661],0
p10,1,0.061352,3.500459,[34  1] ; [20  4],[32.03389831  2.96610169] ; [21.96610169  2.03389831],0
p7,1,0.071506,3.248118,[32  3] ; [17  6],[29.56896552  5.43103448] ; [19.43103448  3.56896552],0
n3,1,0.09073,2.861376,[6 1] ; [4 5],[4.375 2.625] ; [5.625 3.375],0
p3,1,0.147232,2.100694,[31  5] ; [17  7],[28.8  7.2] ; [19.2  4.8],0
a3,1,0.157299,2.0,[32  4] ; [18  6],[30.  6.] ; [20.  4.],0
s3,1,0.159352,1.98036,[26 10] ; [21  3],[28.2  7.8] ; [18.8  5.2],0
p2,1,0.159886,1.975309,[34  2] ; [20  4],[32.4  3.6] ; [21.6  2.4],0
p4,1,0.159886,1.975309,[34  2] ; [20  4],[32.4  3.6] ; [21.6  2.4],0
a7,1,0.198244,1.655267,[28  8] ; [15  9],[25.8 10.2] ; [17.2  6.8],0
s6,1,0.236982,1.398456,[31  5] ; [22  1],[32.33898305  3.66101695] ; [20.66101695  2.33898305],0
u1,1,0.237674,1.394336,[ 7 29] ; [ 2 22],[ 5.4 30.6] ; [ 3.6 20.4],0
a4,1,0.24388,1.358025,[14 22] ; [13 11],[16.2 19.8] ; [10.8 13.2],0
a5,1,0.318818,0.993789,[26 10] ; [20  4],[27.6  8.4] ; [18.4  5.6],0
d4,1,0.324593,0.97035,[33  3] ; [20  4],[31.8  4.2] ; [21.2  2.8],0
s1,1,0.324593,0.97035,[ 3 33] ; [ 4 20],[ 4.2 31.8] ; [ 2.8 21.2],0
r3,1,0.333393,0.935673,[35  1] ; [22  2],[34.2  1.8] ; [22.8  1.2],0
n6,1,0.340356,0.909091,[32  4] ; [23  1],[33.  3.] ; [22.  2.],0
n5,1,0.340356,0.909091,[32  4] ; [23  1],[33.  3.] ; [22.  2.],0
d2,1,0.398813,0.711902,[17 19] ; [14 10],[18.6 17.4] ; [12.4 11.6],0
a2,1,0.4795,0.5,[ 5 31] ; [ 5 19],[ 6. 30.] ; [ 4. 20.],0
s2,1,0.490153,0.47619,[24 12] ; [18  6],[25.2 10.8] ; [16.8  7.2],0
s7,1,0.516349,0.421181,[31  3] ; [22  1],[31.61403509  2.38596491] ; [21.38596491  1.61403509],0
p6,1,0.518018,0.417838,[24 10] ; [15  9],[22.86206897 11.13793103] ; [16.13793103  7.86206897],0
b4,1,0.52501,0.40404,[21 15] ; [12 12],[19.8 16.2] ; [13.2 10.8],0
u4,1,0.526168,0.401786,[ 3 33] ; [ 1 23],[ 2.4 33.6] ; [ 1.6 22.4],0
d1,1,0.57615,0.3125,[23 13] ; [17  7],[24. 12.] ; [16.  8.],0
d5,1,0.657905,0.196078,[30  6] ; [21  3],[30.6  5.4] ; [20.4  3.6],0
r4,1,0.672604,0.178571,[34  2] ; [22  2],[33.6  2.4] ; [22.4  1.6],0
s4,1,0.682814,0.166976,[ 6 30] ; [ 5 19],[ 6.6 29.4] ; [ 4.4 19.6],0
n1,1,0.69627,0.152381,[4 3] ; [6 3],[4.375 2.625] ; [5.625 3.375],0
b5,1,0.746886,0.104167,[15 21] ; [ 9 15],[14.4 21.6] ; [ 9.6 14.4],0
a6,1,0.749668,0.10181,[21 15] ; [13 11],[20.4 15.6] ; [13.6 10.4],0
v4,1,0.769056,0.086207,[35  1] ; [23  1],[34.8  1.2] ; [23.2  0.8],0
r2,1,0.784822,0.074551,[34  1] ; [23  1],[33.81355932  1.18644068] ; [23.18644068  0.81355932],0
p9,1,0.808915,0.05848,[34  2] ; [23  1],[34.2  1.8] ; [22.8  1.2],0
p1,1,0.811598,0.056818,[10 26] ; [ 6 18],[ 9.6 26.4] ; [ 6.4 17.6],0
d3,1,0.811598,0.056818,[26 10] ; [18  6],[26.4  9.6] ; [17.6  6.4],0
a8,1,0.822354,0.050408,[ 5 28] ; [ 4 19],[ 5.30357143 27.69642857] ; [ 3.69642857 19.30357143],0
r1,1,0.869592,0.026954,[32  4] ; [21  3],[31.8  4.2] ; [21.2  2.8],0
p8,1,0.869592,0.026954,[32  4] ; [21  3],[31.8  4.2] ; [21.2  2.8],0
a1,1,0.876787,0.024038,[ 5 31] ; [ 3 21],[ 4.8 31.2] ; [ 3.2 20.8],0
p12,1,0.906891,0.01368,[10 26] ; [ 7 17],[10.2 25.8] ; [ 6.8 17.2],0
b2,1,0.944484,0.004849,[13 16] ; [7 9],[12.88888889 16.11111111] ; [7.11111111 8.88888889],0
b3,1,0.944484,0.004849,[13 16] ; [7 9],[12.88888889 16.11111111] ; [7.11111111 8.88888889],0
u3,1,1.0,0.0,[2 2] ; [3 3],[2. 2.] ; [3. 3.],0
