Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.006428,7.426241,[ 5 38] ; [7 9],[ 8.74576271 34.25423729] ; [ 3.25423729 12.74576271],0
p8,1,0.015802,5.824785,[ 5 38] ; [6 9],[ 8.15517241 34.84482759] ; [ 2.84482759 12.15517241],0
n6,1,0.018759,5.52381,[17 25] ; [12  4],[21. 21.] ; [8. 8.],0
r3,1,0.035099,4.440333,[19 24] ; [12  4],[22.59322034 20.40677966] ; [8.40677966 7.59322034],0
r4,1,0.043114,4.090909,[ 8 36] ; [7 9],[11. 33.] ; [ 4. 12.],0
p4,1,0.043114,4.090909,[ 8 36] ; [7 9],[11. 33.] ; [ 4. 12.],0
v2,1,0.047317,3.934077,[10 33] ; [8 8],[13.11864407 29.88135593] ; [ 4.88135593 11.11864407],0
r1,1,0.048398,3.896104,[15 29] ; [10  6],[18.33333333 25.66666667] ; [6.66666667 9.33333333],0
u2,1,0.050924,3.810784,[ 2 15] ; [3 3],[ 3.69565217 13.30434783] ; [1.30434783 4.69565217],0
s8,1,0.052374,3.763783,[ 3 41] ; [ 4 12],[ 5.13333333 38.86666667] ; [ 1.86666667 14.13333333],0
d3,1,0.079839,3.068182,[19 25] ; [11  5],[22. 22.] ; [8. 8.],0
s7,1,0.080254,3.059753,[ 7 33] ; [6 9],[ 9.45454545 30.54545455] ; [ 3.54545455 11.45454545],0
u3,1,0.086069,2.946405,[ 1 16] ; [2 4],[ 2.2173913 14.7826087] ; [0.7826087 5.2173913],0
p11,1,0.100366,2.699725,[17 27] ; [10  6],[19.8 24.2] ; [7.2 8.8],0
p5,1,0.113759,2.501211,[ 1 42] ; [ 2 14],[ 2.18644068 40.81355932] ; [ 0.81355932 15.18644068],0
s5,1,0.117405,2.451607,[ 4 39] ; [ 4 12],[ 5.83050847 37.16949153] ; [ 2.16949153 13.83050847],0
n4,1,0.141844,2.157842,[31 13] ; [8 8],[28.6 15.4] ; [10.4  5.6],0
b5,1,0.167064,1.909091,[16 28] ; [9 7],[18.33333333 25.66666667] ; [6.66666667 9.33333333],0
v3,1,0.188941,1.725852,[ 7 37] ; [ 5 11],[ 8.8 35.2] ; [ 3.2 12.8],0
s4,1,0.190826,1.71123,[ 5 39] ; [ 4 12],[ 6.6 37.4] ; [ 2.4 13.6],0
d5,1,0.200209,1.64085,[25 19] ; [12  4],[27.13333333 16.86666667] ; [9.86666667 6.13333333],0
b2,1,0.210482,1.568106,[13 18] ; [2 8],[11.34146341 19.65853659] ; [3.65853659 6.34146341],0
b3,1,0.210482,1.568106,[13 18] ; [2 8],[11.34146341 19.65853659] ; [3.65853659 6.34146341],0
b1,1,0.242908,1.363636,[24 20] ; [ 6 10],[22. 22.] ; [8. 8.],0
d4,1,0.251503,1.314935,[29 15] ; [13  3],[30.8 13.2] ; [11.2  4.8],0
a6,1,0.254706,1.297306,[21 23] ; [ 5 11],[19.06666667 24.93333333] ; [6.93333333 9.06666667],0
p3,1,0.277228,1.180628,[ 8 36] ; [ 5 11],[ 9.53333333 34.46666667] ; [ 3.46666667 12.53333333],0
n5,1,0.340356,0.909091,[28 16] ; [8 8],[26.4 17.6] ; [9.6 6.4],0
a4,1,0.378441,0.77576,[16 27] ; [ 4 12],[14.57627119 28.42372881] ; [ 5.42372881 10.57627119],0
p7,1,0.381955,0.764399,[ 9 35] ; [ 5 11],[10.26666667 33.73333333] ; [ 3.73333333 12.26666667],0
p2,1,0.391504,0.734266,[14 30] ; [7 9],[15.4 28.6] ; [ 5.6 10.4],0
s1,1,0.430612,0.621171,[ 6 38] ; [ 1 15],[ 5.13333333 38.86666667] ; [ 1.86666667 14.13333333],0
s3,1,0.511231,0.431548,[12 30] ; [ 6 10],[13.03448276 28.96551724] ; [ 4.96551724 11.03448276],0
p10,1,0.572947,0.317776,[15 27] ; [7 9],[15.93103448 26.06896552] ; [6.06896552 9.93103448],0
d1,1,0.602793,0.270804,[16 28] ; [7 9],[16.86666667 27.13333333] ; [6.13333333 9.86666667],0
d2,1,0.690257,0.158807,[19 24] ; [8 8],[19.6779661 23.3220339] ; [7.3220339 8.6779661],0
b4,1,0.71344,0.134865,[28 16] ; [11  5],[28.6 15.4] ; [10.4  5.6],0
a2,1,0.724771,0.123967,[ 4 40] ; [ 1 15],[ 3.66666667 40.33333333] ; [ 1.33333333 14.66666667],0
v1,1,0.82331,0.049858,[12 31] ; [ 4 12],[11.66101695 31.33898305] ; [ 4.33898305 11.66101695],0
r2,1,0.859894,0.031155,[22 19] ; [9 7],[22.29824561 18.70175439] ; [8.70175439 7.29824561],0
a7,1,0.876201,0.024269,[21 23] ; [8 8],[21.26666667 22.73333333] ; [7.73333333 8.26666667],0
a5,1,0.906572,0.013774,[24 20] ; [9 7],[24.2 19.8] ; [8.8 7.2],0
p1,1,0.908836,0.013112,[ 6 38] ; [ 2 14],[ 5.86666667 38.13333333] ; [ 2.13333333 13.86666667],0
a8,1,0.92737,0.008309,[ 6 36] ; [ 2 13],[ 5.89473684 36.10526316] ; [ 2.10526316 12.89473684],0
a3,1,0.983622,0.000421,[27 16] ; [10  6],[26.96610169 16.03389831] ; [10.03389831  5.96610169],0
p9,1,0.991685,0.000109,[18 23] ; [7 9],[17.98245614 23.01754386] ; [7.01754386 8.98245614],0
n3,1,1.0,0.0,[11 11] ; [2 2],[11. 11.] ; [2. 2.],0
