Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.000357,12.743849,[1 7] ; [19  4],[5.16129032 2.83870968] ; [14.83870968  8.16129032],1
r2,1,0.005019,7.872671,[3 4] ; [21  2],[5.6 1.4] ; [18.4  4.6],0
n5,1,0.006688,7.354842,[6 2] ; [ 5 18],[2.83870968 5.16129032] ; [ 8.16129032 14.83870968],0
s7,1,0.014393,5.989305,[2 6] ; [15  5],[4.85714286 3.14285714] ; [12.14285714  7.85714286],0
s6,1,0.040997,4.176136,[3 5] ; [17  5],[5.33333333 2.66666667] ; [14.66666667  7.33333333],0
u3,1,0.041038,4.174444,[1 2] ; [9 1],[2.30769231 0.69230769] ; [7.69230769 2.30769231],0
r1,1,0.048969,3.876416,[2 6] ; [15  8],[4.38709677 3.61290323] ; [12.61290323 10.38709677],0
r3,1,0.064838,3.409091,[5 3] ; [20  2],[6.66666667 1.33333333] ; [18.33333333  3.66666667],0
d5,1,0.069436,3.296314,[4 4] ; [19  4],[5.93548387 2.06451613] ; [17.06451613  5.93548387],0
b1,1,0.080346,3.05788,[2 6] ; [14  9],[4.12903226 3.87096774] ; [11.87096774 11.12903226],0
u1,1,0.088787,2.896222,[2 6] ; [ 1 22],[0.77419355 7.22580645] ; [ 2.22580645 20.77419355],0
b3,1,0.111219,2.536813,[3 2] ; [ 3 11],[1.57894737 3.42105263] ; [4.42105263 9.57894737],0
b2,1,0.111219,2.536813,[3 2] ; [ 3 11],[1.57894737 3.42105263] ; [4.42105263 9.57894737],0
p3,1,0.124362,2.361504,[2 6] ; [13 10],[3.87096774 4.12903226] ; [11.12903226 11.87096774],0
a6,1,0.171166,1.872701,[3 5] ; [15  8],[4.64516129 3.35483871] ; [13.35483871  9.64516129],0
d1,1,0.183416,1.76973,[2 6] ; [12 11],[3.61290323 4.38709677] ; [10.38709677 12.61290323],0
n4,1,0.252595,1.308892,[5 3] ; [ 9 14],[3.61290323 4.38709677] ; [10.38709677 12.61290323],0
s8,1,0.259754,1.270067,[2 6] ; [11 12],[3.35483871 4.64516129] ; [ 9.64516129 13.35483871],0
n2,1,0.261651,1.26,[2 2] ; [8 2],[2.85714286 1.14285714] ; [7.14285714 2.85714286],0
r4,1,0.319135,0.99249,[4 4] ; [16  7],[5.16129032 2.83870968] ; [14.83870968  8.16129032],0
a5,1,0.355363,0.854214,[2 6] ; [10 13],[3.09677419 4.90322581] ; [ 8.90322581 14.09677419],0
v2,1,0.360789,0.835146,[4 4] ; [ 7 15],[2.93333333 5.06666667] ; [ 8.06666667 13.93333333],0
n1,1,0.393153,0.729167,[1 3] ; [5 5],[1.71428571 2.28571429] ; [4.28571429 5.71428571],0
a2,1,0.418836,0.653579,[1 7] ; [ 1 22],[0.51612903 7.48387097] ; [ 1.48387097 21.51612903],0
p2,1,0.428539,0.626779,[7 1] ; [17  6],[6.19354839 1.80645161] ; [17.80645161  5.19354839],0
v4,1,0.460181,0.545455,[6 2] ; [19  3],[6.66666667 1.33333333] ; [18.33333333  3.66666667],0
n3,1,0.480478,0.497778,[2 2] ; [7 3],[2.57142857 1.42857143] ; [6.42857143 3.57142857],0
p8,1,0.507256,0.439724,[2 6] ; [ 8 13],[2.75862069 5.24137931] ; [ 7.24137931 13.75862069],0
v3,1,0.535724,0.383523,[1 7] ; [ 5 17],[1.6 6.4] ; [ 4.4 17.6],0
p10,1,0.560714,0.338469,[4 4] ; [13  8],[4.68965517 3.31034483] ; [12.31034483  8.68965517],0
s5,1,0.629063,0.233333,[4 4] ; [ 8 12],[3.42857143 4.57142857] ; [ 8.57142857 11.42857143],0
u2,1,0.630701,0.231111,[2 1] ; [8 2],[2.30769231 0.69230769] ; [7.69230769 2.30769231],0
d4,1,0.63893,0.220145,[6 2] ; [19  4],[6.4516129 1.5483871] ; [18.5483871  4.4516129],0
d3,1,0.71271,0.135585,[5 3] ; [16  7],[5.41935484 2.58064516] ; [15.58064516  7.41935484],0
p7,1,0.729571,0.119505,[4 4] ; [12  9],[4.4137931 3.5862069] ; [11.5862069  9.4137931],0
d2,1,0.767872,0.087119,[3 5] ; [10 13],[3.35483871 4.64516129] ; [ 9.64516129 13.35483871],0
a3,1,0.767872,0.087119,[5 3] ; [13 10],[4.64516129 3.35483871] ; [13.35483871  9.64516129],0
p6,1,0.825339,0.048701,[4 4] ; [12 10],[4.26666667 3.73333333] ; [11.73333333 10.26666667],0
a4,1,0.889951,0.019145,[3 5] ; [ 8 15],[2.83870968 5.16129032] ; [ 8.16129032 14.83870968],0
v1,1,0.889951,0.019145,[3 5] ; [ 8 15],[2.83870968 5.16129032] ; [ 8.16129032 14.83870968],0
a7,1,0.915598,0.011232,[4 4] ; [12 11],[4.12903226 3.87096774] ; [11.87096774 11.12903226],0
b4,1,0.915598,0.011232,[4 4] ; [11 12],[3.87096774 4.12903226] ; [11.12903226 11.87096774],0
b5,1,0.915598,0.011232,[4 4] ; [12 11],[4.12903226 3.87096774] ; [11.87096774 11.12903226],0
p11,1,0.915598,0.011232,[4 4] ; [11 12],[3.87096774 4.12903226] ; [11.12903226 11.87096774],0
p4,1,0.935004,0.00665,[3 5] ; [ 9 14],[3.09677419 4.90322581] ; [ 8.90322581 14.09677419],0
p9,1,0.976445,0.000872,[5 3] ; [13  8],[4.96551724 3.03448276] ; [13.03448276  7.96551724],0
