Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,6.4e-05,15.969859,[36 12] ; [13 27],[26.72727273 21.27272727] ; [22.27272727 17.72727273],1
s7,1,6.7e-05,15.900506,[29 10] ; [11 27],[20.25974026 18.74025974] ; [19.74025974 18.25974026],1
s8,1,0.000131,14.62625,[29 19] ; [ 8 32],[20.18181818 27.81818182] ; [16.81818182 23.18181818],1
s6,1,0.000158,14.26913,[41  5] ; [21 19],[33.1627907 12.8372093] ; [28.8372093 11.1627907],1
s5,1,0.005283,7.78001,[22 20] ; [ 9 31],[15.87804878 26.12195122] ; [15.12195122 24.87804878],0
v2,1,0.016673,5.730501,[28 18] ; [14 26],[22.46511628 23.53488372] ; [19.53488372 20.46511628],0
p9,1,0.018444,5.553435,[36 11] ; [21 19],[30.79310345 16.20689655] ; [26.20689655 13.79310345],0
p4,1,0.028199,4.815867,[38 10] ; [23 17],[33.27272727 14.72727273] ; [27.72727273 12.27272727],0
p1,1,0.116328,2.46608,[ 9 38] ; [ 3 37],[ 6.48275862 40.51724138] ; [ 5.51724138 34.48275862],0
d3,1,0.135431,2.229115,[37 11] ; [25 15],[33.81818182 14.18181818] ; [28.18181818 11.81818182],0
d2,1,0.158411,1.989325,[30 18] ; [19 21],[26.72727273 21.27272727] ; [22.27272727 17.72727273],0
n6,1,0.171467,1.870068,[36 10] ; [26 14],[33.1627907 12.8372093] ; [28.8372093 11.1627907],0
u2,1,0.193931,1.6875,[7 5] ; [ 5 10],[5.33333333 6.66666667] ; [6.66666667 8.33333333],0
p12,1,0.239187,1.385382,[ 4 44] ; [ 1 39],[ 2.72727273 45.27272727] ; [ 2.27272727 37.72727273],0
p7,1,0.25728,1.283333,[28 20] ; [28 12],[30.54545455 17.45454545] ; [25.45454545 14.54545455],0
a3,1,0.258583,1.276329,[35 13] ; [24 15],[32.55172414 15.44827586] ; [26.44827586 12.55172414],0
p10,1,0.260068,1.268397,[28 19] ; [19 21],[25.3908046 21.6091954] ; [21.6091954 18.3908046],0
v3,1,0.292698,1.107169,[18 27] ; [11 27],[15.72289157 29.27710843] ; [13.27710843 24.72289157],0
u1,1,0.300598,1.071537,[10 38] ; [ 5 35],[ 8.18181818 39.81818182] ; [ 6.81818182 33.18181818],0
d5,1,0.337682,0.919213,[41  7] ; [31  9],[39.27272727  8.72727273] ; [32.72727273  7.27272727],0
r4,1,0.338165,0.917375,[42  6] ; [32  8],[40.36363636  7.63636364] ; [33.63636364  6.36363636],0
p6,1,0.348202,0.88,[24 24] ; [16 24],[21.81818182 26.18181818] ; [18.18181818 21.81818182],0
s1,1,0.388767,0.742795,[ 3 44] ; [ 1 39],[ 2.16091954 44.83908046] ; [ 1.83908046 38.16091954],0
a5,1,0.407611,0.685759,[34 14] ; [25 15],[32.18181818 15.81818182] ; [26.81818182 13.18181818],0
a7,1,0.427239,0.630317,[31 17] ; [29 11],[32.72727273 15.27272727] ; [27.27272727 12.72727273],0
p8,1,0.455337,0.557333,[19 29] ; [19 21],[20.72727273 27.27272727] ; [17.27272727 22.72727273],0
p2,1,0.46505,0.533712,[38 10] ; [29 11],[36.54545455 11.45454545] ; [30.45454545  9.54545455],0
d1,1,0.496817,0.461728,[31 17] ; [23 17],[29.45454545 18.54545455] ; [24.54545455 15.45454545],0
b4,1,0.496817,0.461728,[31 17] ; [23 17],[29.45454545 18.54545455] ; [24.54545455 15.45454545],0
a8,1,0.499254,0.456521,[ 4 40] ; [ 5 31],[ 4.95 39.05] ; [ 4.05 31.95],0
d4,1,0.501044,0.452725,[41  7] ; [32  8],[39.81818182  8.18181818] ; [33.18181818  6.81818182],0
r2,1,0.517413,0.419048,[45  3] ; [36  4],[44.18181818  3.81818182] ; [36.81818182  3.18181818],0
n2,1,0.518647,0.416583,[11  4] ; [6 1],[11.59090909  3.40909091] ; [5.40909091 1.59090909],0
r3,1,0.541805,0.372206,[42  5] ; [34  6],[41.05747126  5.94252874] ; [34.94252874  5.05747126],0
a6,1,0.583347,0.300855,[28 20] ; [21 19],[26.72727273 21.27272727] ; [22.27272727 17.72727273],0
r1,1,0.599997,0.275,[36 12] ; [28 12],[34.90909091 13.09090909] ; [29.09090909 10.90909091],0
u3,1,0.704507,0.143826,[9 4] ; [10  6],[8.51724138 4.48275862] ; [10.48275862  5.51724138],0
b5,1,0.709411,0.138866,[33 15] ; [26 14],[32.18181818 15.81818182] ; [26.81818182 13.18181818],0
p5,1,0.712913,0.135385,[ 6 42] ; [ 4 36],[ 5.45454545 42.54545455] ; [ 4.54545455 35.45454545],0
b2,1,0.745333,0.105495,[ 7 17] ; [ 6 18],[ 6.5 17.5] ; [ 6.5 17.5],0
b3,1,0.745333,0.105495,[ 7 17] ; [ 6 18],[ 6.5 17.5] ; [ 6.5 17.5],0
n3,1,0.746188,0.104762,[12  3] ; [6 1],[12.27272727  2.72727273] ; [5.72727273 1.27272727],0
b1,1,0.781709,0.076781,[29 19] ; [23 17],[28.36363636 19.63636364] ; [23.63636364 16.36363636],0
s4,1,0.784116,0.075053,[12 36] ; [ 9 31],[11.45454545 36.54545455] ; [ 9.54545455 30.45454545],0
n1,1,0.898977,0.016117,[9 6] ; [4 3],[8.86363636 6.13636364] ; [4.13636364 2.86363636],0
