Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,1.5e-05,18.759649,[36  2] ; [18 18],[27.72972973 10.27027027] ; [26.27027027  9.72972973],1
d2,1,1.9e-05,18.325423,[25 13] ; [ 6 30],[15.91891892 22.08108108] ; [15.08108108 20.91891892],1
d3,1,3.5e-05,17.105107,[34  4] ; [16 20],[25.67567568 12.32432432] ; [24.32432432 11.67567568],1
b5,1,0.004603,8.029037,[30  8] ; [17 19],[24.13513514 13.86486486] ; [22.86486486 13.13513514],0
a5,1,0.004603,8.029037,[30  8] ; [17 19],[24.13513514 13.86486486] ; [22.86486486 13.13513514],0
s5,1,0.005869,7.589985,[22 14] ; [10 25],[16.22535211 19.77464789] ; [15.77464789 19.22535211],0
b3,1,0.009425,6.740489,[15 10] ; [ 3 13],[10.97560976 14.02439024] ; [7.02439024 8.97560976],0
b2,1,0.009425,6.740489,[15 10] ; [ 3 13],[10.97560976 14.02439024] ; [7.02439024 8.97560976],0
s6,1,0.009923,6.648751,[35  2] ; [26 10],[30.91780822  6.08219178] ; [30.08219178  5.91780822],0
a4,1,0.020177,5.396555,[17 21] ; [ 7 29],[12.32432432 25.67567568] ; [11.67567568 24.32432432],0
a2,1,0.023636,5.121115,[11 27] ; [ 3 33],[ 7.18918919 30.81081081] ; [ 6.81081081 29.18918919],0
p3,1,0.035705,4.411156,[23 15] ; [13 23],[18.48648649 19.51351351] ; [17.51351351 18.48648649],0
s4,1,0.059548,3.549938,[15 23] ; [ 7 29],[11.2972973 26.7027027] ; [10.7027027 25.2972973],0
p6,1,0.067818,3.335049,[16 22] ; [ 8 28],[12.32432432 25.67567568] ; [11.67567568 24.32432432],0
a8,1,0.06843,3.320286,[ 1 35] ; [ 5 28],[ 3.13043478 32.86956522] ; [ 2.86956522 30.13043478],0
n2,1,0.079182,3.081613,[9 6] ; [10  1],[10.96153846  4.03846154] ; [8.03846154 2.96153846],0
s2,1,0.086771,2.933274,[31  7] ; [23 13],[27.72972973 10.27027027] ; [26.27027027  9.72972973],0
u3,1,0.098543,2.728968,[11  1] ; [9 5],[9.23076923 2.76923077] ; [10.76923077  3.23076923],0
u2,1,0.114324,2.493401,[10  2] ; [7 6],[8.16 3.84] ; [8.84 4.16],0
v1,1,0.157299,2.0,[21 15] ; [15 21],[18. 18.] ; [18. 18.],0
u1,1,0.204545,1.609622,[ 7 31] ; [ 3 33],[ 5.13513514 32.86486486] ; [ 4.86486486 31.13513514],0
r4,1,0.248533,1.331534,[35  3] ; [30  6],[33.37837838  4.62162162] ; [31.62162162  4.37837838],0
b4,1,0.254504,1.29841,[25 13] ; [19 17],[22.59459459 15.40540541] ; [21.40540541 14.59459459],0
s7,1,0.264518,1.244956,[21 13] ; [26  9],[23.15942029 10.84057971] ; [23.84057971 11.15942029],0
n5,1,0.365689,0.818262,[14 24] ; [17 19],[15.91891892 22.08108108] ; [15.08108108 20.91891892],0
n1,1,0.404657,0.694444,[7 8] ; [3 7],[6. 9.] ; [4. 6.],0
p2,1,0.452931,0.563307,[29  9] ; [30  6],[30.2972973  7.7027027] ; [28.7027027  7.2972973],0
p9,1,0.495521,0.464516,[32  4] ; [30  6],[31.  5.] ; [31.  5.],0
p8,1,0.495792,0.463932,[22 16] ; [18 18],[20.54054054 17.45945946] ; [19.45945946 16.54054054],0
n3,1,0.500352,0.454189,[9 6] ; [8 3],[9.80769231 5.19230769] ; [7.19230769 3.80769231],0
p4,1,0.501278,0.452229,[23 15] ; [19 17],[21.56756757 16.43243243] ; [20.43243243 15.56756757],0
b1,1,0.505563,0.443239,[14 24] ; [16 20],[15.40540541 22.59459459] ; [14.59459459 21.40540541],0
s3,1,0.505887,0.442566,[29  9] ; [25 11],[27.72972973 10.27027027] ; [26.27027027  9.72972973],0
r1,1,0.505887,0.442566,[29  9] ; [25 11],[27.72972973 10.27027027] ; [26.27027027  9.72972973],0
a3,1,0.510305,0.433442,[26 12] ; [22 14],[24.64864865 13.35135135] ; [23.35135135 12.64864865],0
p10,1,0.527089,0.4,[31  5] ; [29  7],[30.  6.] ; [30.  6.],0
v2,1,0.540004,0.375533,[18 15] ; [16 18],[16.74626866 16.25373134] ; [17.25373134 16.74626866],0
p5,1,0.620496,0.245171,[ 2 35] ; [ 3 33],[ 2.53424658 34.46575342] ; [ 2.46575342 33.53424658],0
p7,1,0.620793,0.244755,[23 12] ; [21 14],[22. 13.] ; [22. 13.],0
v3,1,0.649954,0.205959,[11 24] ; [ 9 25],[10.14492754 24.85507246] ; [ 9.85507246 24.14492754],0
p11,1,0.720664,0.127858,[26 12] ; [26 10],[26.7027027 11.2972973] ; [25.2972973 10.7027027],0
a6,1,0.871986,0.025965,[26 12] ; [24 12],[25.67567568 12.32432432] ; [24.32432432 11.67567568],0
a7,1,0.895095,0.017387,[29  9] ; [27  9],[28.75675676  9.24324324] ; [27.24324324  8.75675676],0
n6,1,0.926434,0.008525,[23 14] ; [22 14],[22.80821918 14.19178082] ; [22.19178082 13.80821918],0
p1,1,0.962804,0.002175,[ 5 32] ; [ 5 31],[ 5.06849315 31.93150685] ; [ 4.93150685 31.06849315],0
u4,1,0.969079,0.001503,[ 1 37] ; [ 1 35],[ 1.02702703 36.97297297] ; [ 0.97297297 35.02702703],0
a1,1,0.969079,0.001503,[ 1 37] ; [ 1 35],[ 1.02702703 36.97297297] ; [ 0.97297297 35.02702703],0
p12,1,0.977516,0.000794,[ 2 35] ; [ 2 34],[ 2.02739726 34.97260274] ; [ 1.97260274 34.02739726],0
