Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,8e-06,20.031582,[1 4] ; [69  7],[4.32098765 0.67901235] ; [65.67901235 10.32098765],1
v4,1,0.000119,14.814815,[2 3] ; [70  5],[4.5 0.5] ; [67.5  7.5],1
u1,1,0.046372,3.968016,[1 4] ; [ 2 74],[0.18518519 4.81481481] ; [ 2.81481481 73.18518519],0
r1,1,0.049156,3.870003,[2 3] ; [59 16],[3.8125 1.1875] ; [57.1875 17.8125],0
b1,1,0.075302,3.163487,[4 1] ; [30 46],[2.09876543 2.90123457] ; [31.90123457 44.09876543],0
a6,1,0.086447,2.939328,[1 4] ; [45 31],[2.83950617 2.16049383] ; [43.16049383 32.83950617],0
b4,1,0.141135,2.165544,[1 4] ; [41 35],[2.59259259 2.40740741] ; [39.40740741 36.59259259],0
d5,1,0.174885,1.840566,[1 4] ; [39 37],[2.4691358 2.5308642] ; [37.5308642 38.4691358],0
n6,1,0.240417,1.378148,[3 2] ; [62 14],[4.01234568 0.98765432] ; [60.98765432 15.01234568],0
p3,1,0.245838,1.346801,[1 4] ; [35 40],[2.25 2.75] ; [33.75 41.25],0
s7,1,0.274315,1.195041,[1 4] ; [32 39],[2.17105263 2.82894737] ; [30.82894737 40.17105263],0
s8,1,0.283131,1.152,[3 2] ; [27 48],[1.875 3.125] ; [28.125 46.875],0
n4,1,0.289822,1.120448,[3 2] ; [60 15],[3.9375 1.0625] ; [59.0625 15.9375],0
b5,1,0.302086,1.064964,[2 3] ; [48 28],[3.08641975 1.91358025] ; [46.91358025 29.08641975],0
s1,1,0.372584,0.795028,[1 4] ; [ 6 67],[0.44871795 4.55128205] ; [ 6.55128205 66.44871795],0
a3,1,0.379077,0.773694,[2 3] ; [45 30],[2.9375 2.0625] ; [44.0625 30.9375],0
u2,1,0.410073,0.678589,[2 1] ; [13 18],[1.32352941 1.67647059] ; [13.67647059 17.32352941],0
d2,1,0.412487,0.671622,[2 3] ; [18 58],[1.2345679 3.7654321] ; [18.7654321 57.2345679],0
s6,1,0.423108,0.641667,[2 3] ; [42 30],[2.85714286 2.14285714] ; [41.14285714 30.85714286],0
a5,1,0.446714,0.578975,[4 1] ; [48 28],[3.20987654 1.79012346] ; [48.79012346 27.20987654],0
p4,1,0.449356,0.572275,[2 3] ; [43 32],[2.8125 2.1875] ; [42.1875 32.8125],0
p2,1,0.470479,0.52085,[3 2] ; [56 19],[3.6875 1.3125] ; [55.3125 19.6875],0
d3,1,0.513802,0.426316,[1 4] ; [26 50],[1.66666667 3.33333333] ; [25.33333333 50.66666667],0
a4,1,0.531097,0.392293,[2 3] ; [20 54],[1.39240506 3.60759494] ; [20.60759494 53.39240506],0
p6,1,0.562926,0.334663,[1 4] ; [24 50],[1.58227848 3.41772152] ; [23.41772152 50.58227848],0
u3,1,0.617918,0.248805,[2 1] ; [16 15],[1.58823529 1.41176471] ; [16.41176471 14.58823529],0
a7,1,0.696026,0.152639,[3 2] ; [52 24],[3.39506173 1.60493827] ; [51.60493827 24.39506173],0
v2,1,0.751636,0.100162,[3 2] ; [39 35],[2.65822785 2.34177215] ; [39.34177215 34.65822785],0
p7,1,0.820886,0.051259,[3 2] ; [40 33],[2.75641026 2.24358974] ; [40.24358974 32.75641026],0
p8,1,0.867114,0.027998,[2 3] ; [32 41],[2.17948718 2.82051282] ; [31.82051282 41.17948718],0
s4,1,0.879228,0.023088,[1 4] ; [13 62],[0.875 4.125] ; [13.125 61.875],0
n1,1,0.943494,0.005024,[1 1] ; [10  9],[1.04761905 0.95238095] ; [9.95238095 9.04761905],0
n5,1,1.0,0.0,[4 1] ; [60 15],[4. 1.] ; [60. 15.],0
