Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.002033,9.519555,[ 5 11] ; [24  7],[9.87234043 6.12765957] ; [19.12765957 11.87234043],0
p8,1,0.008214,6.98625,[7 9] ; [ 3 27],[ 3.47826087 12.52173913] ; [ 6.52173913 23.47826087],0
d3,1,0.04692,3.948253,[10  6] ; [10 21],[6.80851064 9.19148936] ; [13.19148936 17.80851064],0
a6,1,0.050914,3.811094,[ 5 11] ; [19 12],[8.17021277 7.82978723] ; [15.82978723 15.17021277],0
p7,1,0.097191,2.751041,[8 8] ; [ 8 23],[ 5.44680851 10.55319149] ; [10.55319149 20.44680851],0
a4,1,0.151764,2.054427,[7 9] ; [ 7 23],[ 4.86956522 11.13043478] ; [ 9.13043478 20.86956522],0
r1,1,0.156305,2.009614,[8 8] ; [ 9 22],[ 5.78723404 10.21276596] ; [11.21276596 19.78723404],0
p1,1,0.158064,1.992653,[ 1 15] ; [ 7 24],[ 2.72340426 13.27659574] ; [ 5.27659574 25.72340426],0
n3,1,0.163187,1.944444,[4 2] ; [ 5 10],[2.57142857 3.42857143] ; [6.42857143 8.57142857],0
d4,1,0.177875,1.815289,[12  4] ; [17 14],[9.87234043 6.12765957] ; [19.12765957 11.87234043],0
n1,1,0.200933,1.635577,[1 5] ; [7 8],[2.28571429 3.71428571] ; [5.71428571 9.28571429],0
a8,1,0.26139,1.261381,[ 1 14] ; [ 6 25],[ 2.2826087 12.7173913] ; [ 4.7173913 26.2826087],0
r2,1,0.291721,1.11166,[6 9] ; [17 13],[7.66666667 7.33333333] ; [15.33333333 14.66666667],0
r4,1,0.295727,1.093362,[ 4 12] ; [ 4 27],[ 2.72340426 13.27659574] ; [ 5.27659574 25.72340426],0
s5,1,0.336204,0.924854,[ 1 15] ; [ 5 26],[ 2.04255319 13.95744681] ; [ 3.95744681 27.04255319],0
p2,1,0.351042,0.869688,[7 9] ; [ 9 21],[ 5.56521739 10.43478261] ; [10.43478261 19.56521739],0
a5,1,0.351371,0.868501,[7 9] ; [18 13],[8.5106383 7.4893617] ; [16.4893617 14.5106383],0
v1,1,0.361418,0.832962,[ 5 11] ; [ 6 25],[ 3.74468085 12.25531915] ; [ 7.25531915 23.74468085],0
r3,1,0.381715,0.765172,[8 8] ; [11 19],[6.60869565 9.39130435] ; [12.39130435 17.60869565],0
u2,1,0.418222,0.655306,[2 3] ; [ 3 11],[1.31578947 3.68421053] ; [ 3.68421053 10.31578947],0
a3,1,0.423838,0.639649,[11  5] ; [17 13],[9.73913043 6.26086957] ; [18.26086957 11.73913043],0
s2,1,0.463925,0.536408,[ 4 12] ; [ 5 26],[ 3.06382979 12.93617021] ; [ 5.93617021 25.06382979],0
n6,1,0.486205,0.484914,[ 6 10] ; [14 15],[7.11111111 8.88888889] ; [12.88888889 16.11111111],0
s6,1,0.497409,0.46046,[ 4 12] ; [ 5 25],[ 3.13043478 12.86956522] ; [ 5.86956522 24.13043478],0
p6,1,0.527214,0.399758,[ 2 14] ; [ 2 27],[ 1.42222222 14.57777778] ; [ 2.57777778 26.42222222],0
v3,1,0.593694,0.284613,[ 3 13] ; [ 4 27],[ 2.38297872 13.61702128] ; [ 4.61702128 26.38297872],0
s4,1,0.593694,0.284613,[ 3 13] ; [ 4 27],[ 2.38297872 13.61702128] ; [ 4.61702128 26.38297872],0
s1,1,0.593694,0.284613,[ 3 13] ; [ 4 27],[ 2.38297872 13.61702128] ; [ 4.61702128 26.38297872],0
a7,1,0.598226,0.277679,[8 8] ; [13 18],[7.14893617 8.85106383] ; [13.85106383 17.14893617],0
d1,1,0.606153,0.265815,[ 4 12] ; [10 21],[ 4.76595745 11.23404255] ; [ 9.23404255 21.76595745],0
p10,1,0.614021,0.25436,[ 5 11] ; [12 19],[ 5.78723404 10.21276596] ; [11.21276596 19.78723404],0
p11,1,0.614021,0.25436,[ 5 11] ; [12 19],[ 5.78723404 10.21276596] ; [11.21276596 19.78723404],0
b4,1,0.614698,0.25339,[10  6] ; [17 14],[9.19148936 6.80851064] ; [17.80851064 13.19148936],0
p9,1,0.614698,0.25339,[ 6 10] ; [14 17],[6.80851064 9.19148936] ; [13.19148936 17.80851064],0
s7,1,0.619829,0.246108,[ 3 10] ; [ 5 25],[ 2.41860465 10.58139535] ; [ 5.58139535 24.41860465],0
p4,1,0.654088,0.200785,[ 4 12] ; [ 6 25],[ 3.40425532 12.59574468] ; [ 6.59574468 24.40425532],0
p5,1,0.667262,0.184821,[ 1 15] ; [ 3 27],[ 1.39130435 14.60869565] ; [ 2.60869565 27.39130435],0
a2,1,0.68988,0.159216,[ 1 15] ; [ 3 28],[ 1.36170213 14.63829787] ; [ 2.63829787 28.36170213],0
d2,1,0.701943,0.146459,[ 6 10] ; [13 17],[6.60869565 9.39130435] ; [12.39130435 17.60869565],0
b5,1,0.752747,0.099238,[8 8] ; [14 17],[7.4893617 8.5106383] ; [14.5106383 16.4893617],0
s3,1,0.766317,0.088326,[ 5 10] ; [ 9 22],[ 4.56521739 10.43478261] ; [ 9.43478261 21.56521739],0
b2,1,0.856315,0.032785,[4 5] ; [ 9 13],[3.77419355 5.22580645] ; [ 9.22580645 12.77419355],0
b3,1,0.856315,0.032785,[4 5] ; [ 9 13],[3.77419355 5.22580645] ; [ 9.22580645 12.77419355],0
b1,1,0.9051,0.014214,[9 7] ; [18 13],[9.19148936 6.80851064] ; [17.80851064 13.19148936],0
d5,1,0.916522,0.010986,[8 8] ; [15 16],[7.82978723 8.17021277] ; [15.17021277 15.82978723],0
p3,1,0.95209,0.00361,[ 4 12] ; [ 8 23],[ 4.08510638 11.91489362] ; [ 7.91489362 23.08510638],0
s8,1,0.968689,0.001541,[ 2 14] ; [ 4 27],[ 2.04255319 13.95744681] ; [ 3.95744681 27.04255319],0
