Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r1,1,2.2e-05,18.046875,[45 11] ; [ 3 11],[38.4 17.6] ; [9.6 4.4],1
r3,1,3.6e-05,17.076613,[54  2] ; [8 6],[49.6  6.4] ; [12.4  1.6],1
r2,1,3.6e-05,17.076613,[54  2] ; [8 6],[49.6  6.4] ; [12.4  1.6],1
v4,1,0.001407,10.196573,[53  3] ; [9 5],[49.6  6.4] ; [12.4  1.6],0
u3,1,0.052563,3.757764,[16  7] ; [2 5],[13.8  9.2] ; [4.2 2.8],0
d4,1,0.059915,3.539732,[38 18] ; [13  1],[40.8 15.2] ; [10.2  3.8],0
n5,1,0.167304,1.906936,[31 24] ; [5 9],[28.69565217 26.30434783] ; [7.30434783 6.69565217],0
u2,1,0.200602,1.637984,[10 12] ; [1 5],[ 8.64285714 13.35714286] ; [2.35714286 3.64285714],0
s8,1,0.22313,1.484127,[21 33] ; [ 3 11],[19.05882353 34.94117647] ; [4.94117647 9.05882353],0
v1,1,0.227195,1.458333,[22 34] ; [8 6],[24. 32.] ; [6. 8.],0
d2,1,0.227195,1.458333,[26 30] ; [ 4 10],[24. 32.] ; [6. 8.],0
p8,1,0.253205,1.305531,[25 30] ; [ 4 10],[23.11594203 31.88405797] ; [5.88405797 8.11594203],0
p11,1,0.274891,1.192178,[25 31] ; [ 4 10],[23.2 32.8] ; [5.8 8.2],0
n2,1,0.294433,1.099239,[14  3] ; [3 2],[13.13636364  3.86363636] ; [3.86363636 1.13636364],0
b4,1,0.326009,0.964686,[36 20] ; [7 7],[34.4 21.6] ; [8.6 5.4],0
a7,1,0.326009,0.964686,[36 20] ; [7 7],[34.4 21.6] ; [8.6 5.4],0
a5,1,0.326009,0.964686,[36 20] ; [7 7],[34.4 21.6] ; [8.6 5.4],0
b1,1,0.329114,0.952381,[32 24] ; [10  4],[33.6 22.4] ; [8.4 5.6],0
s3,1,0.365589,0.818603,[31 24] ; [6 8],[29.49275362 25.50724638] ; [7.50724638 6.49275362],0
s6,1,0.377033,0.780354,[34 20] ; [7 7],[32.55882353 21.44117647] ; [8.44117647 5.55882353],0
a2,1,0.393153,0.729167,[ 9 47] ; [ 1 13],[ 8. 48.] ; [ 2. 12.],0
s1,1,0.393153,0.729167,[ 4 52] ; [ 2 12],[ 4.8 51.2] ; [ 1.2 12.8],0
d3,1,0.401048,0.705181,[29 27] ; [9 5],[30.4 25.6] ; [7.6 6.4],0
s5,1,0.405617,0.691611,[14 39] ; [ 2 11],[12.84848485 40.15151515] ; [3.15151515 9.84848485],0
n3,1,0.467267,0.528431,[13  4] ; [3 2],[12.36363636  4.63636364] ; [3.63636364 1.36363636],0
a6,1,0.473109,0.514706,[30 26] ; [6 8],[28.8 27.2] ; [7.2 6.8],0
n4,1,0.477396,0.504805,[37 18] ; [8 6],[35.86956522 19.13043478] ; [9.13043478 4.86956522],0
p9,1,0.504194,0.446097,[21 34] ; [ 4 10],[19.92753623 35.07246377] ; [5.07246377 8.92753623],0
a3,1,0.545972,0.364583,[33 23] ; [7 7],[32. 24.] ; [8. 6.],0
v2,1,0.556142,0.346428,[24 30] ; [5 9],[23.02941176 30.97058824] ; [5.97058824 8.02941176],0
p5,1,0.57309,0.31754,[ 7 49] ; [ 1 13],[ 6.4 49.6] ; [ 1.6 12.4],0
a8,1,0.577327,0.310575,[ 6 42] ; [ 1 13],[ 5.41935484 42.58064516] ; [ 1.58064516 12.41935484],0
d5,1,0.601921,0.272109,[40 16] ; [9 5],[39.2 16.8] ; [9.8 4.2],0
p6,1,0.609995,0.260182,[19 34] ; [ 4 10],[18.19402985 34.80597015] ; [4.80597015 9.19402985],0
b5,1,0.614535,0.253623,[36 20] ; [10  4],[36.8 19.2] ; [9.2 4.8],0
a4,1,0.614535,0.253623,[20 36] ; [ 4 10],[19.2 36.8] ; [4.8 9.2],0
s7,1,0.685934,0.163522,[21 32] ; [4 8],[20.38461538 32.61538462] ; [4.61538462 7.38461538],0
n1,1,0.780512,0.077647,[9 8] ; [3 2],[9.27272727 7.72727273] ; [2.72727273 2.27272727],0
s2,1,0.804587,0.061214,[25 29] ; [7 7],[25.41176471 28.58823529] ; [6.58823529 7.41176471],0
n6,1,0.892044,0.01842,[37 18] ; [9 4],[37.20588235 17.79411765] ; [8.79411765 4.20588235],0
v3,1,0.902169,0.01511,[14 38] ; [ 4 10],[14.18181818 37.81818182] ; [ 3.81818182 10.18181818],0
p7,1,0.903439,0.014718,[33 23] ; [8 6],[32.8 23.2] ; [8.2 5.8],0
s4,1,0.974828,0.000996,[12 43] ; [ 3 11],[11.95652174 43.04347826] ; [ 3.04347826 10.95652174],0
d1,1,1.0,0.0,[24 32] ; [6 8],[24. 32.] ; [6. 8.],0
p2,1,1.0,0.0,[40 16] ; [10  4],[40. 16.] ; [10.  4.],0
p4,1,1.0,0.0,[36 20] ; [9 5],[36. 20.] ; [9. 5.],0
