Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,30.030612,[ 6 35] ; [27  8],[17.80263158 23.19736842] ; [15.19736842 19.80263158],1
s6,1,0.0002,13.835152,[15 26] ; [27  7],[22.96 18.04] ; [19.04 14.96],1
s7,1,0.007547,7.137832,[ 9 29] ; [18 15],[14.45070423 23.54929577] ; [12.54929577 20.45070423],0
s8,1,0.027236,4.875819,[ 8 33] ; [15 20],[12.40789474 28.59210526] ; [10.59210526 24.40789474],0
d4,1,0.040702,4.188365,[30 11] ; [32  3],[33.44736842  7.55263158] ; [28.55263158  6.44736842],0
a2,1,0.076117,3.145923,[ 8 33] ; [ 2 33],[ 5.39473684 35.60526316] ; [ 4.60526316 30.39473684],0
p8,1,0.080929,3.046154,[21 18] ; [11 22],[17.33333333 21.66666667] ; [14.66666667 18.33333333],0
d1,1,0.090452,2.866309,[19 22] ; [23 12],[22.65789474 18.34210526] ; [19.34210526 15.65789474],0
u3,1,0.108664,2.573545,[4 5] ; [8 2],[5.68421053 3.31578947] ; [6.31578947 3.68421053],0
a4,1,0.130702,2.284142,[16 25] ; [ 8 27],[12.94736842 28.05263158] ; [11.05263158 23.94736842],0
s5,1,0.13303,2.256784,[ 7 34] ; [10 21],[ 9.68055556 31.31944444] ; [ 7.31944444 23.68055556],0
a8,1,0.134804,2.236293,[ 1 35] ; [ 4 29],[ 2.60869565 33.39130435] ; [ 2.39130435 30.60869565],0
p2,1,0.186263,1.74693,[30  9] ; [22 13],[27.40540541 11.59459459] ; [24.59459459 10.40540541],0
s4,1,0.205814,1.600628,[ 4 37] ; [ 7 28],[ 5.93421053 35.06578947] ; [ 5.06578947 29.93421053],0
p5,1,0.216021,1.530612,[ 4 36] ; [ 1 34],[ 2.66666667 37.33333333] ; [ 2.33333333 32.66666667],0
b1,1,0.264474,1.245188,[24 17] ; [16 19],[21.57894737 19.42105263] ; [18.42105263 16.57894737],0
a6,1,0.315192,1.008794,[28 13] ; [20 15],[25.89473684 15.10526316] ; [22.10526316 12.89473684],0
n5,1,0.32126,0.983808,[16 24] ; [18 17],[18.13333333 21.86666667] ; [15.86666667 19.13333333],0
n4,1,0.347715,0.881777,[19 22] ; [20 15],[21.03947368 19.96052632] ; [17.96052632 17.03947368],0
n2,1,0.352704,0.863705,[7 4] ; [12  3],[8.03846154 2.96153846] ; [10.96153846  4.03846154],0
v4,1,0.440774,0.594268,[35  6] ; [31  3],[36.08  4.92] ; [29.92  4.08],0
d3,1,0.458584,0.549348,[26 15] ; [25 10],[27.51315789 13.48684211] ; [23.48684211 11.51315789],0
v1,1,0.459731,0.54655,[24 17] ; [17 17],[22.41333333 18.58666667] ; [18.58666667 15.41333333],0
a7,1,0.466436,0.530406,[29 12] ; [22 13],[27.51315789 13.48684211] ; [23.48684211 11.51315789],0
b4,1,0.466768,0.529617,[20 21] ; [20 15],[21.57894737 19.42105263] ; [18.42105263 16.57894737],0
p6,1,0.500032,0.454868,[11 27] ; [ 7 25],[ 9.77142857 28.22857143] ; [ 8.22857143 23.77142857],0
a3,1,0.506473,0.441347,[32  9] ; [25 10],[30.75 10.25] ; [26.25  8.75],0
d5,1,0.541158,0.373398,[36  5] ; [29  6],[35.06578947  5.93421053] ; [29.93421053  5.06578947],0
n3,1,0.61193,0.257374,[9 2] ; [11  4],[8.46153846 2.53846154] ; [11.53846154  3.46153846],0
p4,1,0.632343,0.228897,[20 19] ; [16 19],[18.97297297 20.02702703] ; [17.02702703 17.97297297],0
r1,1,0.648238,0.208129,[32  9] ; [25  9],[31.16  9.84] ; [25.84  8.16],0
a5,1,0.65945,0.194193,[30 11] ; [24 11],[29.13157895 11.86842105] ; [24.86842105 10.13157895],0
d2,1,0.700912,0.147525,[17 24] ; [13 22],[16.18421053 24.81578947] ; [13.81578947 21.18421053],0
b5,1,0.709397,0.13888,[24 17] ; [19 16],[23.19736842 17.80263158] ; [19.80263158 15.19736842],0
v3,1,0.732654,0.116688,[15 24] ; [14 19],[15.70833333 23.29166667] ; [13.29166667 19.70833333],0
r2,1,0.753287,0.09879,[35  6] ; [29  4],[35.45945946  5.54054054] ; [28.54054054  4.45945946],0
p9,1,0.760271,0.093101,[28 12] ; [22 11],[27.39726027 12.60273973] ; [22.60273973 10.39726027],0
p3,1,0.807979,0.059065,[16 23] ; [13 21],[15.49315068 23.50684932] ; [13.50684932 20.49315068],0
p1,1,0.839816,0.040856,[ 3 38] ; [ 3 32],[ 3.23684211 37.76315789] ; [ 2.76315789 32.23684211],0
p10,1,0.854632,0.033566,[24 15] ; [21 12],[24.375 14.625] ; [20.625 12.375],0
r4,1,0.894298,0.017654,[31 10] ; [26  9],[30.75 10.25] ; [26.25  8.75],0
n1,1,0.915759,0.011189,[4 7] ; [5 8],[4.125 6.875] ; [4.875 8.125],0
p11,1,0.959948,0.002522,[26 15] ; [22 13],[25.89473684 15.10526316] ; [22.10526316 12.89473684],0
p7,1,0.969021,0.001508,[22 18] ; [18 15],[21.91780822 18.08219178] ; [18.08219178 14.91780822],0
b2,1,0.986903,0.000269,[ 6 13] ; [ 7 15],[ 6.02439024 12.97560976] ; [ 6.97560976 15.02439024],0
b3,1,0.986903,0.000269,[ 6 13] ; [ 7 15],[ 6.02439024 12.97560976] ; [ 6.97560976 15.02439024],0
