Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.000204,13.795452,[14  3] ; [21 44],[7.25609756 9.74390244] ; [27.74390244 37.25609756],1
a5,1,0.026388,4.930395,[14  5] ; [31 38],[9.71590909 9.28409091] ; [35.28409091 33.71590909],0
d5,1,0.072238,3.231423,[16  3] ; [43 26],[12.73863636  6.26136364] ; [46.26136364 22.73863636],0
d2,1,0.072238,3.231423,[ 3 16] ; [26 43],[ 6.26136364 12.73863636] ; [22.73863636 46.26136364],0
b5,1,0.089016,2.892083,[ 8 11] ; [44 25],[11.22727273  7.77272727] ; [40.77272727 28.22727273],0
d4,1,0.094059,2.803499,[17  2] ; [48 20],[14.1954023  4.8045977] ; [50.8045977 17.1954023],0
s4,1,0.099189,2.718535,[ 1 18] ; [15 54],[ 3.45454545 15.54545455] ; [12.54545455 56.45454545],0
r1,1,0.107787,2.586371,[15  4] ; [40 28],[12.01149425  6.98850575] ; [42.98850575 25.01149425],0
p9,1,0.128167,2.314567,[14  4] ; [39 28],[11.22352941  6.77647059] ; [41.77647059 25.22352941],0
b1,1,0.128324,2.312663,[ 7 12] ; [39 30],[9.93181818 9.06818182] ; [36.06818182 32.93181818],0
b4,1,0.1385,2.194551,[13  6] ; [34 35],[10.14772727  8.85227273] ; [36.85227273 32.14772727],0
p5,1,0.143304,2.142117,[ 2 16] ; [ 2 66],[ 0.8372093 17.1627907] ; [ 3.1627907 64.8372093],0
s3,1,0.159232,1.981503,[ 7 12] ; [38 31],[9.71590909 9.28409091] ; [35.28409091 33.71590909],0
r4,1,0.175733,1.833343,[15  4] ; [43 26],[12.52272727  6.47727273] ; [45.47727273 23.52272727],0
d3,1,0.197109,1.663669,[14  5] ; [39 29],[11.57471264  7.42528736] ; [41.42528736 26.57471264],0
v1,1,0.212418,1.554866,[10  9] ; [25 43],[ 7.64367816 11.35632184] ; [27.35632184 40.64367816],0
a7,1,0.212606,1.553589,[15  4] ; [44 25],[12.73863636  6.26136364] ; [46.26136364 22.73863636],0
n5,1,0.22162,1.493853,[ 3 16] ; [20 47],[ 5.08139535 13.91860465] ; [17.91860465 49.08139535],0
p7,1,0.285887,1.138889,[ 7 11] ; [34 30],[9. 9.] ; [32. 32.],0
s2,1,0.296606,1.089392,[ 6 13] ; [31 38],[ 7.98863636 11.01136364] ; [29.01136364 39.98863636],0
u3,1,0.350994,0.869862,[4 4] ; [21 10],[5.12820513 2.87179487] ; [19.87179487 11.12820513],0
p4,1,0.36629,0.816214,[9 9] ; [26 42],[ 7.3255814 10.6744186] ; [27.6744186 40.3255814],0
n3,1,0.380977,0.767549,[4 3] ; [20  7],[4.94117647 2.05882353] ; [19.05882353  7.94117647],0
b3,1,0.442334,0.590219,[3 5] ; [10 31],[2.12244898 5.87755102] ; [10.87755102 30.12244898],0
b2,1,0.442334,0.590219,[3 5] ; [10 31],[2.12244898 5.87755102] ; [10.87755102 30.12244898],0
p10,1,0.446329,0.579957,[12  6] ; [38 29],[10.58823529  7.41176471] ; [39.41176471 27.58823529],0
p8,1,0.48966,0.477273,[9 9] ; [27 39],[ 7.71428571 10.28571429] ; [28.28571429 37.71428571],0
r2,1,0.569145,0.324115,[16  3] ; [54 15],[15.11363636  3.88636364] ; [54.88636364 14.11363636],0
u1,1,0.624401,0.23973,[ 1 18] ; [ 6 63],[ 1.51136364 17.48863636] ; [ 5.48863636 63.51136364],0
a6,1,0.624401,0.23973,[13  6] ; [43 26],[12.09090909  6.90909091] ; [43.90909091 25.09090909],0
