Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,29.173788,[ 9 23] ; [50  9],[20.74725275 11.25274725] ; [38.25274725 20.74725275],1
r3,1,2e-06,22.687773,[14 18] ; [53  6],[23.56043956  8.43956044] ; [43.43956044 15.56043956],1
r2,1,0.001494,10.085587,[22  9] ; [56  3],[26.86666667  4.13333333] ; [51.13333333  7.86666667],0
v4,1,0.005169,7.819351,[17 15] ; [47 11],[22.75555556  9.24444444] ; [41.24444444 16.75555556],0
d4,1,0.0056,7.674576,[18 14] ; [49 10],[23.56043956  8.43956044] ; [43.43956044 15.56043956],0
u2,1,0.006052,7.534799,[ 3 10] ; [15  6],[6.88235294 6.11764706] ; [11.11764706  9.88235294],0
n5,1,0.013742,6.071003,[17 15] ; [16 43],[11.6043956 20.3956044] ; [21.3956044 37.6043956],0
d2,1,0.025757,4.972281,[18 14] ; [19 40],[13.01098901 18.98901099] ; [23.98901099 35.01098901],0
s6,1,0.029262,4.752155,[ 6 26] ; [24 34],[10.66666667 21.33333333] ; [19.33333333 38.66666667],0
p1,1,0.037832,4.312552,[ 7 25] ; [ 4 54],[ 3.91111111 28.08888889] ; [ 7.08888889 50.91111111],0
v2,1,0.044259,4.046643,[ 7 23] ; [25 30],[11.29411765 18.70588235] ; [20.70588235 34.29411765],0
b2,1,0.067532,3.342014,[11  7] ; [11 21],[ 7.92 10.08] ; [14.08 17.92],0
b3,1,0.067532,3.342014,[11  7] ; [11 21],[ 7.92 10.08] ; [14.08 17.92],0
u3,1,0.086023,2.947261,[5 8] ; [15  7],[7.42857143 5.57142857] ; [12.57142857  9.42857143],0
a1,1,0.089987,2.8746,[ 5 27] ; [ 3 56],[ 2.81318681 29.18681319] ; [ 5.18681319 53.81318681],0
s3,1,0.091387,2.849778,[ 9 22] ; [28 31],[12.74444444 18.25555556] ; [24.25555556 34.74444444],0
d5,1,0.092035,2.838422,[19 13] ; [45 14],[22.50549451  9.49450549] ; [41.49450549 17.50549451],0
s2,1,0.097385,2.747852,[ 7 25] ; [23 36],[10.54945055 21.45054945] ; [19.45054945 39.54945055],0
d3,1,0.113938,2.498738,[14 18] ; [36 23],[17.58241758 14.41758242] ; [32.41758242 26.58241758],0
a5,1,0.133642,2.249683,[16 16] ; [39 20],[19.34065934 12.65934066] ; [35.65934066 23.34065934],0
p2,1,0.163153,1.944754,[13 19] ; [33 26],[16.17582418 15.82417582] ; [29.82417582 29.17582418],0
p8,1,0.197171,1.663204,[ 3 28] ; [12 47],[ 5.16666667 25.83333333] ; [ 9.83333333 49.16666667],0
b5,1,0.205479,1.602995,[14 18] ; [34 25],[16.87912088 15.12087912] ; [31.12087912 27.87912088],0
n3,1,0.216701,1.526087,[7 8] ; [16  8],[8.84615385 6.15384615] ; [14.15384615  9.84615385],0
a7,1,0.224386,1.476099,[17 15] ; [39 20],[19.69230769 12.30769231] ; [36.30769231 22.69230769],0
b4,1,0.240359,1.378486,[16 16] ; [37 22],[18.63736264 13.36263736] ; [34.36263736 24.63736264],0
p4,1,0.281113,1.161701,[ 5 27] ; [15 44],[ 7.03296703 24.96703297] ; [12.96703297 46.03296703],0
b1,1,0.31057,1.028249,[16 16] ; [23 36],[13.71428571 18.28571429] ; [25.28571429 33.71428571],0
v3,1,0.352614,0.864029,[ 7 24] ; [17 36],[ 8.85714286 22.14285714] ; [15.14285714 37.85714286],0
s4,1,0.370103,0.803319,[ 6 26] ; [ 7 52],[ 4.57142857 27.42857143] ; [ 8.42857143 50.57142857],0
p3,1,0.401186,0.704768,[ 5 26] ; [14 45],[ 6.54444444 24.45555556] ; [12.45555556 46.54444444],0
