Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,36.206503,[ 8 36] ; [64 23],[24.18320611 19.81679389] ; [47.81679389 39.18320611],1
p2,1,0.006664,7.361262,[19 25] ; [59 28],[26.19847328 17.80152672] ; [51.80152672 35.19847328],0
v3,1,0.01311,6.154178,[ 7 36] ; [32 53],[13.1015625 29.8984375] ; [25.8984375 59.1015625],0
p11,1,0.016213,5.779679,[15 29] ; [49 38],[21.49618321 22.50381679] ; [42.50381679 44.49618321],0
r1,1,0.018536,5.544769,[27 17] ; [70 17],[32.58015267 11.41984733] ; [64.41984733 22.58015267],0
n6,1,0.035279,4.43164,[23 21] ; [61 25],[28.43076923 15.56923077] ; [55.56923077 30.43076923],0
v1,1,0.046331,3.96952,[10 34] ; [35 52],[15.11450382 28.88549618] ; [29.88549618 57.11450382],0
u1,1,0.055868,3.655984,[ 3 41] ; [17 70],[ 6.71755725 37.28244275] ; [13.28244275 73.71755725],0
a5,1,0.05702,3.621999,[24 20] ; [62 25],[28.88549618 15.11450382] ; [57.11450382 29.88549618],0
r4,1,0.075995,3.148543,[28 16] ; [68 19],[32.24427481 11.75572519] ; [63.75572519 23.24427481],0
s8,1,0.112815,2.514336,[ 7 36] ; [25 61],[10.66666667 32.33333333] ; [21.33333333 64.66666667],0
u3,1,0.148595,2.086616,[13  4] ; [16 13],[10.7173913  6.2826087] ; [18.2826087 10.7173913],0
p10,1,0.159008,1.983638,[ 9 35] ; [28 59],[12.42748092 31.57251908] ; [24.57251908 62.42748092],0
a8,1,0.166181,1.917065,[ 1 40] ; [ 7 69],[ 2.8034188 38.1965812] ; [ 5.1965812 70.8034188],0
n1,1,0.195431,1.67619,[ 5 17] ; [ 9 13],[ 7. 15.] ; [ 7. 15.],0
s3,1,0.198103,1.656305,[15 29] ; [39 46],[18.41860465 25.58139535] ; [35.58139535 49.41860465],0
a4,1,0.218765,1.512454,[16 28] ; [41 45],[19.29230769 24.70769231] ; [37.70769231 48.29230769],0
r2,1,0.275115,1.191062,[37  7] ; [77  8],[38.88372093  5.11627907] ; [75.11627907  9.88372093],0
a2,1,0.277885,1.177403,[ 7 37] ; [21 66],[ 9.40458015 34.59541985] ; [18.59541985 68.40458015],0
b1,1,0.282009,1.157384,[23 21] ; [54 33],[25.86259542 18.13740458] ; [51.13740458 35.86259542],0
s7,1,0.299875,1.07475,[11 31] ; [28 51],[13.53719008 28.46280992] ; [25.46280992 53.53719008],0
d2,1,0.331151,0.94439,[23 21] ; [52 33],[25.58139535 18.41860465] ; [49.41860465 35.58139535],0
s2,1,0.332614,0.938694,[12 31] ; [31 54],[14.4453125 28.5546875] ; [28.5546875 56.4453125],0
s4,1,0.370733,0.801207,[ 9 35] ; [12 72],[ 7.21875 36.78125] ; [13.78125 70.21875],0
s5,1,0.376077,0.783486,[11 32] ; [16 69],[ 9.0703125 33.9296875] ; [17.9296875 67.0703125],0
p1,1,0.444943,0.583502,[ 2 42] ; [ 7 79],[ 3.04615385 40.95384615] ; [ 5.95384615 80.04615385],0
v4,1,0.452829,0.563562,[39  5] ; [72 14],[37.56923077  6.43076923] ; [73.43076923 12.56923077],0
a1,1,0.454406,0.559637,[ 2 42] ; [ 7 80],[ 3.02290076 40.97709924] ; [ 5.97709924 81.02290076],0
a7,1,0.479365,0.500307,[28 16] ; [60 26],[29.78461538 14.21538462] ; [58.21538462 27.78461538],0
s1,1,0.486133,0.485074,[ 4 40] ; [ 5 81],[ 3.04615385 40.95384615] ; [ 5.95384615 80.04615385],0
p3,1,0.5038,0.446924,[12 31] ; [29 57],[13.66666667 29.33333333] ; [27.33333333 58.66666667],0
p7,1,0.510894,0.432235,[16 28] ; [36 49],[17.73643411 26.26356589] ; [34.26356589 50.73643411],0
s6,1,0.532962,0.388742,[22 21] ; [39 47],[20.33333333 22.66666667] ; [40.66666667 45.33333333],0
a3,1,0.548132,0.360674,[27 17] ; [58 29],[28.54961832 15.45038168] ; [56.45038168 30.54961832],0
