Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,0.0,43.597934,[249  41] ; [40 38],[227.74456522  62.25543478] ; [61.25543478 16.74456522],1
a4,1,0.0,41.209368,[175 116] ; [15 63],[149.83739837 141.16260163] ; [40.16260163 37.83739837],1
d2,1,0.0,34.729786,[185 103] ; [21 57],[162.09836066 125.90163934] ; [43.90163934 34.09836066],1
d1,1,0.0,30.007288,[215  76] ; [32 46],[194.78861789  96.21138211] ; [52.21138211 25.78861789],1
u1,1,1e-05,19.490815,[ 85 206] ; [ 4 74],[ 70.18699187 220.81300813] ; [18.81300813 59.18699187],1
a6,1,5.6e-05,16.232379,[197  91] ; [34 44],[181.7704918 106.2295082] ; [49.2295082 28.7704918],1
d5,1,0.000358,12.73748,[254  34] ; [56 22],[243.93442623  44.06557377] ; [66.06557377 11.93442623],1
v2,1,0.000591,11.803731,[182 100] ; [32 43],[169.04201681 112.95798319] ; [44.95798319 30.04201681],1
b3,1,0.001333,10.296841,[ 85 104] ; [10 40],[ 75.12552301 113.87447699] ; [19.87447699 30.12552301],0
b2,1,0.001333,10.296841,[ 85 104] ; [10 40],[ 75.12552301 113.87447699] ; [19.87447699 30.12552301],0
r2,1,0.003291,8.638909,[281   6] ; [70  7],[276.75  10.25] ; [74.25  2.75],0
d4,1,0.003974,8.295753,[260  28] ; [61 17],[252.59016393  35.40983607] ; [68.40983607  9.59016393],0
s7,1,0.005415,7.735393,[222  60] ; [46 27],[212.89014085  69.10985915] ; [55.10985915 17.89014085],0
p3,1,0.006346,7.449458,[174 115] ; [33 44],[163.45081967 125.54918033] ; [43.54918033 33.45081967],0
p9,1,0.008328,6.96159,[263  26] ; [61 15],[256.5369863  32.4630137] ; [67.4630137  8.5369863],0
r1,1,0.014726,5.948901,[252  38] ; [59 19],[245.08152174  44.91847826] ; [65.91847826 12.08152174],0
n3,1,0.01672,5.725579,[41 10] ; [8 8],[37.29850746 13.70149254] ; [11.70149254  4.29850746],0
s8,1,0.023942,5.098808,[192  97] ; [41 37],[183.47956403 105.52043597] ; [49.52043597 28.47956403],0
p6,1,0.030834,4.662174,[140 148] ; [26 49],[131.70247934 156.29752066] ; [34.29752066 40.70247934],0
