Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p11,1,0.0,38.821774,[39 54] ; [143  37],[62. 31.] ; [120.  60.],1
p9,1,0.0,36.133297,[37 52] ; [139  38],[58.88721805 30.11278195] ; [117.11278195  59.88721805],1
v4,1,0.0,30.587246,[64 29] ; [168  11],[79.32352941 13.67647059] ; [152.67647059  26.32352941],1
p7,1,0.0,28.421182,[22 69] ; [103  73],[42.60299625 48.39700375] ; [82.39700375 93.60299625],1
p8,1,0.0,27.053593,[16 76] ; [88 88],[35.70149254 56.29850746] ; [ 68.29850746 107.70149254],1
r3,1,0.0,26.953011,[63 30] ; [165  14],[77.95588235 15.04411765] ; [150.04411765  28.95588235],1
p4,1,0.0,25.816717,[17 73] ; [91 87],[36.26865672 53.73134328] ; [ 71.73134328 106.26865672],1
r4,1,8e-06,19.843871,[56 37] ; [152  28],[70.85714286 22.14285714] ; [137.14285714  42.85714286],1
p10,1,3.2e-05,17.317432,[40 50] ; [125  52],[55.61797753 34.38202247] ; [109.38202247  67.61797753],1
p6,1,0.00012,14.799717,[ 7 85] ; [ 49 128],[19.15241636 72.84758364] ; [ 36.84758364 140.15241636],1
a1,1,0.000835,11.162177,[10 83] ; [  3 177],[ 4.42857143 88.57142857] ; [  8.57142857 171.42857143],1
b1,1,0.001533,10.038638,[50 43] ; [ 61 119],[37.81318681 55.18681319] ; [ 73.18681319 106.81318681],0
n6,1,0.004086,8.245007,[57 35] ; [141  39],[66.97058824 25.02941176] ; [131.02941176  48.97058824],0
s6,1,0.004418,8.103384,[23 70] ; [ 74 101],[33.66044776 59.33955224] ; [ 63.33955224 111.66044776],0
p3,1,0.006749,7.33871,[21 72] ; [ 70 110],[31. 62.] ; [ 60. 120.],0
d3,1,0.006809,7.322671,[45 48] ; [117  62],[55.38970588 37.61029412] ; [106.61029412  72.38970588],0
s1,1,0.039478,4.240166,[ 6 87] ; [  3 173],[ 3.11152416 89.88847584] ; [  5.88847584 170.11152416],0
a7,1,0.057467,3.609033,[52 41] ; [121  58],[59.15073529 33.84926471] ; [113.84926471  65.15073529],0
s3,1,0.078793,3.089622,[17 75] ; [ 50 127],[22.91449814 69.08550186] ; [ 44.08550186 132.91449814],0
r1,1,0.088641,2.898878,[55 38] ; [125  55],[61.31868132 31.68131868] ; [118.68131868  61.31868132],0
n1,1,0.108615,2.574264,[17 21] ; [17 42],[13.31958763 24.68041237] ; [20.68041237 38.31958763],0
n3,1,0.110042,2.553612,[19 16] ; [43 18],[22.60416667 12.39583333] ; [39.39583333 21.60416667],0
a6,1,0.115747,2.473951,[53 40] ; [120  60],[58.93406593 34.06593407] ; [114.06593407  65.93406593],0
r2,1,0.123646,2.370517,[72 18] ; [156  23],[76.28252788 13.71747212] ; [151.71747212  27.28252788],0
s7,1,0.138564,2.193837,[15 73] ; [ 43 128],[19.70656371 68.29343629] ; [ 38.29343629 132.70656371],0
d5,1,0.175913,1.831818,[62 31] ; [134  46],[66.76923077 26.23076923] ; [129.23076923  50.76923077],0
n2,1,0.199961,1.642663,[21 18] ; [40 20],[24.03030303 14.96969697] ; [36.96969697 23.03030303],0
s8,1,0.267088,1.231642,[15 78] ; [ 39 140],[18.46323529 74.53676471] ; [ 35.53676471 143.46323529],0
b4,1,0.368161,0.809861,[50 43] ; [107  73],[53.48351648 39.51648352] ; [103.51648352  76.48351648],0
b5,1,0.434546,0.610643,[46 47] ; [98 82],[49.05494505 43.94505495] ; [94.94505495 85.05494505],0
a8,1,0.439353,0.597972,[ 8 82] ; [ 20 146],[ 9.84375 80.15625] ; [ 18.15625 147.84375],0
u2,1,0.462435,0.539994,[16 21] ; [35 34],[17.80188679 19.19811321] ; [33.19811321 35.80188679],0
v2,1,0.462544,0.539732,[29 59] ; [ 65 108],[31.69348659 56.30651341] ; [ 62.30651341 110.69348659],0
u1,1,0.483205,0.491622,[ 6 87] ; [ 16 164],[ 7.49450549 85.50549451] ; [ 14.50549451 165.49450549],0
n4,1,0.491848,0.472481,[59 34] ; [121  58],[61.54411765 31.45588235] ; [118.45588235  60.54411765],0
a5,1,0.498908,0.457258,[55 38] ; [114  66],[57.57142857 35.42857143] ; [111.42857143  68.57142857],0
s5,1,0.52481,0.40443,[15 75] ; [ 35 141],[16.91729323 73.08270677] ; [ 33.08270677 142.91729323],0
d2,1,0.552637,0.352614,[39 52] ; [ 70 109],[36.73703704 54.26296296] ; [ 72.26296296 106.73703704],0
p1,1,0.569377,0.323725,[ 8 85] ; [ 12 167],[ 6.83823529 86.16176471] ; [ 13.16176471 165.83823529],0
p5,1,0.587985,0.293503,[ 6 86] ; [ 15 164],[ 7.12915129 84.87084871] ; [ 13.87084871 165.12915129],0
b2,1,0.601856,0.272206,[20 41] ; [28 69],[18.53164557 42.46835443] ; [29.46835443 67.53164557],0
b3,1,0.601856,0.272206,[20 41] ; [28 69],[18.53164557 42.46835443] ; [29.46835443 67.53164557],0
a4,1,0.620848,0.244678,[35 57] ; [ 63 117],[33.14705882 58.85294118] ; [ 64.85294118 115.14705882],0
v3,1,0.665244,0.187215,[23 66] ; [ 41 134],[21.57575758 67.42424242] ; [ 42.42424242 132.57575758],0
s4,1,0.67443,0.176464,[12 81] ; [ 20 159],[10.94117647 82.05882353] ; [ 21.05882353 157.94117647],0
p12,1,0.706356,0.141944,[ 4 89] ; [  6 171],[ 3.44444444 89.55555556] ; [  6.55555556 170.44444444],0
d1,1,0.716341,0.132025,[44 49] ; [81 99],[42.58241758 50.41758242] ; [82.41758242 97.58241758],0
n5,1,0.74566,0.105214,[58 34] ; [108  69],[56.7732342 35.2267658] ; [109.2267658  67.7732342],0
u3,1,0.750501,0.101111,[15 23] ; [29 39],[15.77358491 22.22641509] ; [28.22641509 39.77358491],0
