Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,5.3e-05,16.321073,[24  6] ; [ 8 21],[16.27118644 13.72881356] ; [15.72881356 13.27118644],1
s7,1,0.002911,8.862732,[17 12] ; [ 5 21],[11.6 17.4] ; [10.4 15.6],0
p8,1,0.010997,6.465861,[ 7 22] ; [17 13],[11.79661017 17.20338983] ; [12.20338983 17.79661017],0
n1,1,0.019624,5.445,[6 2] ; [2 8],[3.55555556 4.44444444] ; [4.44444444 5.55555556],0
r4,1,0.037667,4.32,[28  2] ; [22  8],[25.  5.] ; [25.  5.],0
a3,1,0.06307,3.454759,[22  8] ; [15 15],[18.5 11.5] ; [18.5 11.5],0
s8,1,0.069294,3.299663,[17 13] ; [10 20],[13.5 16.5] ; [13.5 16.5],0
d3,1,0.069294,3.299663,[13 17] ; [20 10],[16.5 13.5] ; [16.5 13.5],0
s1,1,0.093077,2.820339,[ 1 28] ; [ 5 25],[ 2.94915254 26.05084746] ; [ 3.05084746 26.94915254],0
n5,1,0.107967,2.583732,[22  8] ; [16 14],[19. 11.] ; [19. 11.],0
n3,1,0.153338,2.03873,[8 1] ; [6 4],[6.63157895 2.36842105] ; [7.36842105 2.63157895],0
r3,1,0.161125,1.963636,[29  1] ; [26  4],[27.5  2.5] ; [27.5  2.5],0
d2,1,0.196457,1.668521,[18 12] ; [13 17],[15.5 14.5] ; [15.5 14.5],0
a4,1,0.196457,1.668521,[17 13] ; [12 18],[14.5 15.5] ; [14.5 15.5],0
s6,1,0.223443,1.482122,[23  7] ; [18 11],[20.84745763  9.15254237] ; [20.15254237  8.84745763],0
r1,1,0.259796,1.269841,[23  7] ; [19 11],[21.  9.] ; [21.  9.],0
v2,1,0.283832,1.148649,[14 16] ; [17 11],[16.03448276 13.96551724] ; [14.96551724 13.03448276],0
p10,1,0.2839,1.148325,[21  9] ; [17 13],[19. 11.] ; [19. 11.],0
s5,1,0.298852,1.079308,[ 8 21] ; [11 16],[ 9.83928571 19.16071429] ; [ 9.16071429 17.83928571],0
a6,1,0.300623,1.071429,[14 16] ; [18 12],[16. 14.] ; [16. 14.],0
p6,1,0.31392,1.014111,[ 8 21] ; [12 18],[ 9.83050847 19.16949153] ; [10.16949153 19.83050847],0
u1,1,0.316862,1.001855,[ 7 23] ; [ 4 26],[ 5.5 24.5] ; [ 5.5 24.5],0
v1,1,0.356727,0.849384,[15 13] ; [12 17],[13.26315789 14.73684211] ; [13.73684211 15.26315789],0
p9,1,0.405079,0.693196,[22  8] ; [19 11],[20.5  9.5] ; [20.5  9.5],0
b1,1,0.436275,0.606061,[15 15] ; [12 18],[13.5 16.5] ; [13.5 16.5],0
u3,1,0.47191,0.5175,[6 2] ; [9 6],[5.2173913 2.7826087] ; [9.7826087 5.2173913],0
p1,1,0.553617,0.350877,[ 2 28] ; [ 1 29],[ 1.5 28.5] ; [ 1.5 28.5],0
a7,1,0.602332,0.271493,[18 12] ; [16 14],[17. 13.] ; [17. 13.],0
p3,1,0.602332,0.271493,[16 14] ; [18 12],[17. 13.] ; [17. 13.],0
p12,1,0.640429,0.218182,[ 3 27] ; [ 2 28],[ 2.5 27.5] ; [ 2.5 27.5],0
a1,1,0.640429,0.218182,[ 2 28] ; [ 3 27],[ 2.5 27.5] ; [ 2.5 27.5],0
r2,1,0.687573,0.161725,[26  4] ; [27  3],[26.5  3.5] ; [26.5  3.5],0
v4,1,0.687573,0.161725,[27  3] ; [26  4],[26.5  3.5] ; [26.5  3.5],0
n2,1,0.700668,0.147778,[7 2] ; [7 3],[6.63157895 2.36842105] ; [7.36842105 2.63157895],0
n6,1,0.701445,0.146973,[24  6] ; [22  7],[23.38983051  6.61016949] ; [22.61016949  6.38983051],0
a2,1,0.717688,0.130719,[ 5 25] ; [ 4 26],[ 4.5 25.5] ; [ 4.5 25.5],0
d5,1,0.765594,0.088889,[23  7] ; [22  8],[22.5  7.5] ; [22.5  7.5],0
a5,1,0.774499,0.082079,[22  8] ; [21  9],[21.5  8.5] ; [21.5  8.5],0
d1,1,0.79525,0.06734,[17 13] ; [16 14],[16.5 13.5] ; [16.5 13.5],0
u2,1,0.805803,0.06044,[5 3] ; [8 6],[4.72727273 3.27272727] ; [8.27272727 5.72727273],0
b2,1,0.837046,0.042302,[ 7 13] ; [ 8 13],[ 7.31707317 12.68292683] ; [ 7.68292683 13.31707317],0
b3,1,0.837046,0.042302,[ 7 13] ; [ 8 13],[ 7.31707317 12.68292683] ; [ 7.68292683 13.31707317],0
p5,1,0.839488,0.041026,[ 3 23] ; [ 4 26],[ 3.25 22.75] ; [ 3.75 26.25],0
p7,1,0.901516,0.015313,[14 15] ; [14 16],[13.76271186 15.23728814] ; [14.23728814 15.76271186],0
a8,1,0.912953,0.01195,[ 2 28] ; [ 2 25],[ 2.10526316 27.89473684] ; [ 1.89473684 25.10526316],0
v3,1,0.927669,0.008241,[ 9 18] ; [10 19],[ 9.16071429 17.83928571] ; [ 9.83928571 19.16071429],0
s4,1,0.947543,0.004329,[ 6 24] ; [ 6 23],[ 6.10169492 23.89830508] ; [ 5.89830508 23.10169492],0
d4,1,1.0,0.0,[22  8] ; [22  8],[22.  8.] ; [22.  8.],0
n4,1,1.0,0.0,[18 12] ; [18 12],[18. 12.] ; [18. 12.],0
b5,1,1.0,0.0,[17 13] ; [17 13],[17. 13.] ; [17. 13.],0
b4,1,1.0,0.0,[17 13] ; [17 13],[17. 13.] ; [17. 13.],0
p11,1,1.0,0.0,[20 10] ; [20 10],[20. 10.] ; [20. 10.],0
