Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,59.98549,[307   9] ; [48 21],[291.37662338  24.62337662] ; [63.62337662  5.37662338],1
u1,1,3.5e-05,17.11947,[ 94 222] ; [ 4 65],[ 80.43636364 235.56363636] ; [17.56363636 51.43636364],1
r2,1,8.9e-05,15.347625,[306   8] ; [58  9],[299.98950131  14.01049869] ; [64.01049869  2.98950131],1
v4,1,0.000273,13.244514,[308   7] ; [61  8],[302.6953125  12.3046875] ; [66.3046875  2.6953125],1
a2,1,0.002396,9.218024,[104 212] ; [10 59],[ 93.56883117 222.43116883] ; [20.43116883 48.56883117],0
d2,1,0.003062,8.770415,[192 124] ; [28 40],[181.04166667 134.95833333] ; [38.95833333 29.04166667],0
p8,1,0.005288,7.778057,[210 103] ; [34 35],[199.92670157 113.07329843] ; [44.07329843 24.92670157],0
d1,1,0.006152,7.505093,[239  77] ; [41 28],[229.81818182  86.18181818] ; [50.18181818 18.81818182],0
p4,1,0.010221,6.595986,[266  50] ; [49 20],[258.54545455  57.45454545] ; [56.45454545 12.54545455],0
d4,1,0.015497,5.859014,[291  25] ; [57 12],[285.63116883  30.36883117] ; [62.36883117  6.63116883],0
d3,1,0.019753,5.433608,[244  72] ; [44 25],[236.38441558  79.61558442] ; [51.61558442 17.38441558],0
a5,1,0.023078,5.162647,[262  54] ; [49 20],[255.26233766  60.73766234] ; [55.73766234 13.26233766],0
p7,1,0.041121,4.171027,[243  69] ; [45 23],[236.46315789  75.53684211] ; [51.53684211 16.46315789],0
n4,1,0.041496,4.155634,[269  46] ; [52 17],[263.3203125  51.6796875] ; [57.6796875 11.3203125],0
a3,1,0.043549,4.073957,[253  61] ; [48 21],[246.77284595  67.22715405] ; [54.22715405 14.77284595],0
a8,1,0.050319,3.830787,[ 43 236] ; [ 4 61],[ 38.11918605 240.88081395] ; [ 8.88081395 56.11918605],0
v2,1,0.057677,3.602951,[196 111] ; [35 33],[189.112 117.888] ; [41.888 26.112],0
a4,1,0.058212,3.587597,[172 143] ; [29 40],[164.8828125 150.1171875] ; [36.1171875 32.8828125],0
p2,1,0.059234,3.558703,[284  30] ; [57 12],[279.56657963  34.43342037] ; [61.43342037  7.56657963],0
n5,1,0.066785,3.360333,[257  57] ; [49 19],[251.52879581  62.47120419] ; [54.47120419 13.52879581],0
v3,1,0.073539,3.2022,[145 158] ; [24 43],[138.3972973 164.6027027] ; [30.6027027 36.3972973],0
s8,1,0.075567,3.157757,[173 140] ; [30 39],[166.33246073 146.66753927] ; [36.66753927 32.33246073],0
u3,1,0.077419,3.118275,[45 18] ; [10 10],[41.74698795 21.25301205] ; [13.25301205  6.74698795],0
p12,1,0.097677,2.743073,[ 34 279] ; [ 3 66],[ 30.31675393 282.68324607] ; [ 6.68324607 62.31675393],0
a6,1,0.106418,2.606628,[223  92] ; [42 27],[217.3828125  97.6171875] ; [47.6171875 21.3828125],0
r3,1,0.115305,2.479969,[304  10] ; [64  5],[301.70234987  12.29765013] ; [66.29765013  2.70234987],0
s6,1,0.128251,2.313546,[231  78] ; [44 23],[225.99734043  83.00265957] ; [49.00265957 17.99734043],0
p10,1,0.173823,1.849661,[277  37] ; [55 12],[273.6167979  40.3832021] ; [58.3832021  8.6167979],0
n3,1,0.174678,1.842327,[38 10] ; [12  7],[35.82089552 12.17910448] ; [14.17910448  4.82089552],0
u2,1,0.180152,1.79637,[37 25] ; [ 9 12],[34.36144578 27.63855422] ; [11.63855422  9.36144578],0
a7,1,0.244916,1.352073,[236  79] ; [47 22],[232.1484375  82.8515625] ; [50.8515625 18.1484375],0
a1,1,0.292392,1.108574,[ 17 299] ; [ 6 63],[ 18.87792208 297.12207792] ; [ 4.12207792 64.87792208],0
s1,1,0.295097,1.096222,[ 10 304] ; [ 4 65],[ 11.47780679 302.52219321] ; [ 2.52219321 66.47780679],0
p1,1,0.304831,1.05294,[ 32 281] ; [10 59],[ 34.41361257 278.58638743] ; [ 7.58638743 61.41361257],0
s5,1,0.368257,0.809539,[127 178] ; [22 40],[123.82833787 181.17166213] ; [25.17166213 36.82833787],0
s7,1,0.373339,0.792521,[174 120] ; [34 30],[170.81564246 123.18435754] ; [37.18435754 26.81564246],0
s2,1,0.389922,0.739184,[176 136] ; [35 34],[172.78740157 139.21259843] ; [38.21259843 30.78740157],0
