Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,2.1e-05,18.119821,[58 34] ; [ 8 29],[47.06976744 44.93023256] ; [18.93023256 18.06976744],1
d4,1,0.000208,13.752942,[84  9] ; [24 14],[76.67175573 16.32824427] ; [31.32824427  6.67175573],1
a3,1,0.000286,13.158126,[79 14] ; [21 17],[70.99236641 22.00763359] ; [29.00763359  8.99236641],1
d1,1,0.000329,12.899839,[59 34] ; [11 27],[49.69465649 43.30534351] ; [20.30534351 17.69465649],1
d5,1,0.000653,11.619669,[84  9] ; [25 13],[77.38167939 15.61832061] ; [31.61832061  6.38167939],1
r2,1,0.00658,7.384192,[87  4] ; [29  7],[83.11811024  7.88188976] ; [32.88188976  3.11811024],0
b3,1,0.006612,7.375545,[34 30] ; [ 5 19],[28.36363636 35.63636364] ; [10.63636364 13.36363636],0
b2,1,0.006612,7.375545,[34 30] ; [ 5 19],[28.36363636 35.63636364] ; [10.63636364 13.36363636],0
d2,1,0.006827,7.318044,[56 37] ; [13 25],[48.98473282 44.01526718] ; [20.01526718 17.98473282],0
r1,1,0.007029,7.265512,[75 18] ; [22 16],[68.86259542 24.13740458] ; [28.13740458  9.86259542],0
s7,1,0.008345,6.957947,[53 37] ; [11 23],[46.4516129 43.5483871] ; [17.5483871 16.4516129],0
a4,1,0.009145,6.794363,[45 48] ; [ 9 29],[38.33587786 54.66412214] ; [15.66412214 22.33587786],0
v3,1,0.009728,6.684023,[55 34] ; [14 24],[48.35433071 40.64566929] ; [20.64566929 17.35433071],0
r4,1,0.010002,6.6346,[83 10] ; [27 11],[78.09160305 14.90839695] ; [31.90839695  6.09160305],0
r3,1,0.011617,6.368413,[90  2] ; [33  5],[87.04615385  4.95384615] ; [35.95384615  2.04615385],0
s8,1,0.013309,6.127576,[51 41] ; [12 26],[44.58461538 47.41538462] ; [18.41538462 19.58461538],0
p9,1,0.021983,5.247146,[79 12] ; [25 11],[74.51968504 16.48031496] ; [29.48031496  6.51968504],0
s5,1,0.061527,3.495749,[40 47] ; [10 26],[35.36585366 51.63414634] ; [14.63414634 21.36585366],0
