Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.0,34.500164,[ 25 112] ; [87 85],[49.65695793 87.34304207] ; [ 62.34304207 109.65695793],1
v1,1,0.0,31.328119,[50 83] ; [123  54],[74.22258065 58.77741935] ; [98.77741935 78.22258065],1
r1,1,0.000567,11.880784,[96 42] ; [154  26],[108.49056604  29.50943396] ; [141.50943396  38.49056604],1
a2,1,0.00331,8.628434,[ 20 118] ; [ 51 129],[ 30.81132075 107.18867925] ; [ 40.18867925 139.81132075],0
d1,1,0.00484,7.938101,[68 70] ; [117  63],[80.28301887 57.71698113] ; [104.71698113  75.28301887],0
d3,1,0.005193,7.81093,[85 53] ; [137  43],[96.33962264 41.66037736] ; [125.66037736  54.33962264],0
r4,1,0.008809,6.861239,[114  24] ; [166  14],[121.50943396  16.49056604] ; [158.49056604  21.50943396],0
p12,1,0.020369,5.380012,[  5 133] ; [ 19 161],[ 10.41509434 127.58490566] ; [ 13.58490566 166.41509434],0
d5,1,0.031336,4.634452,[105  33] ; [154  26],[112.39622642  25.60377358] ; [146.60377358  33.39622642],0
s4,1,0.031792,4.609695,[ 22 114] ; [ 15 165],[ 15.92405063 120.07594937] ; [ 21.07594937 158.92405063],0
p9,1,0.034768,4.456513,[107  31] ; [155  24],[114.05678233  23.94321767] ; [147.94321767  31.05678233],0
b1,1,0.035409,4.42536,[66 72] ; [ 65 115],[56.8490566 81.1509434] ; [ 74.1509434 105.8490566],0
u1,1,0.039916,4.221457,[ 17 121] ; [ 38 142],[ 23.86792453 114.13207547] ; [ 31.13207547 148.86792453],0
d2,1,0.041688,4.147826,[60 78] ; [99 81],[69. 69.] ; [90. 90.],0
s1,1,0.045398,4.003801,[  8 129] ; [  3 176],[  4.76898734 132.23101266] ; [  6.23101266 172.76898734],0
a6,1,0.052044,3.774349,[88 50] ; [133  47],[95.90566038 42.09433962] ; [125.09433962  54.90566038],0
a5,1,0.055128,3.678216,[95 43] ; [141  39],[102.41509434  35.58490566] ; [133.58490566  46.41509434],0
d4,1,0.056678,3.632028,[103  35] ; [150  30],[109.79245283  28.20754717] ; [143.20754717  36.79245283],0
b4,1,0.064001,3.430547,[70 68] ; [110  70],[78.11320755 59.88679245] ; [101.88679245  78.11320755],0
r3,1,0.068433,3.320206,[127  11] ; [174   6],[130.62264151   7.37735849] ; [170.37735849   9.62264151],0
a7,1,0.069198,3.301946,[99 39] ; [144  35],[105.78548896  32.21451104] ; [137.21451104  41.78548896],0
p10,1,0.077448,3.117666,[104  32] ; [151  28],[110.0952381  25.9047619] ; [144.9047619  34.0952381],0
p11,1,0.087593,2.918056,[107  31] ; [153  27],[112.83018868  25.16981132] ; [147.16981132  32.83018868],0
a3,1,0.128414,2.311569,[88 49] ; [130  50],[94.21451104 42.78548896] ; [123.78548896  56.21451104],0
p6,1,0.161516,1.959972,[52 85] ; [82 97],[58.09493671 78.90506329] ; [ 75.90506329 103.09493671],0
n3,1,0.231998,1.428571,[22 10] ; [23  5],[24.  8.] ; [21.  7.],0
n2,1,0.234716,1.412053,[19 13] ; [20  7],[21.15254237 10.84745763] ; [17.84745763  9.15254237],0
r2,1,0.264098,1.247147,[122  14] ; [165  12],[124.7028754  11.2971246] ; [162.2971246  14.7028754],0
n5,1,0.331034,0.944849,[104  33] ; [144  35],[107.51898734  29.48101266] ; [140.48101266  38.51898734],0
a1,1,0.348262,0.879778,[  4 134] ; [  9 171],[  5.64150943 132.35849057] ; [  7.35849057 172.64150943],0
p1,1,0.354075,0.8588,[ 14 124] ; [ 13 167],[ 11.71698113 126.28301887] ; [ 15.28301887 164.71698113],0
a4,1,0.380823,0.768042,[56 81] ; [82 97],[59.82911392 77.17088608] ; [ 78.17088608 100.82911392],0
p8,1,0.400535,0.706718,[80 56] ; [113  65],[83.59235669 52.40764331] ; [109.40764331  68.59235669],0
n1,1,0.413741,0.668025,[14 18] ; [ 9 18],[12.47457627 19.52542373] ; [10.52542373 16.47457627],0
p5,1,0.423622,0.640244,[ 14 121] ; [ 14 166],[ 12. 123.] ; [ 16. 164.],0
b5,1,0.432663,0.615665,[88 50] ; [107  73],[84.62264151 53.37735849] ; [110.37735849  69.62264151],0
s3,1,0.485633,0.486188,[72 65] ; [86 91],[68.93630573 68.06369427] ; [89.06369427 87.93630573],0
n4,1,0.52981,0.394756,[108  30] ; [146  34],[110.22641509  27.77358491] ; [143.77358491  36.22641509],0
s6,1,0.537537,0.380123,[84 54] ; [115  64],[86.63091483 51.36908517] ; [112.36908517  66.63091483],0
p3,1,0.547185,0.362384,[83 54] ; [115  65],[85.57097792 51.42902208] ; [112.42902208  67.57097792],0
a8,1,0.575618,0.313373,[ 15 110] ; [ 22 132],[ 16.57706093 108.42293907] ; [ 20.42293907 133.57706093],0
u2,1,0.620997,0.244469,[26 23] ; [29 21],[27.22222222 21.77777778] ; [27.77777778 22.22222222],0
b2,1,0.681154,0.16883,[31 59] ; [45 76],[32.41706161 57.58293839] ; [43.58293839 77.41706161],0
b3,1,0.681154,0.16883,[31 59] ; [45 76],[32.41706161 57.58293839] ; [43.58293839 77.41706161],0
v4,1,0.728014,0.120943,[129   9] ; [169  10],[129.72870662   8.27129338] ; [168.27129338  10.72870662],0
u4,1,0.733252,0.116147,[  3 135] ; [  5 175],[  3.47169811 134.52830189] ; [  4.52830189 175.47169811],0
s7,1,0.736788,0.11297,[62 70] ; [77 94],[60.55445545 71.44554455] ; [78.44554455 92.55445545],0
p2,1,0.75191,0.099933,[121  16] ; [161  19],[121.87381703  15.12618297] ; [160.12618297  19.87381703],0
u3,1,0.807752,0.059208,[29 19] ; [29 21],[28.40816327 19.59183673] ; [29.59183673 20.40816327],0
s2,1,0.810762,0.057333,[60 78] ; [ 75 103],[58.9556962 79.0443038] ; [ 76.0443038 101.9556962],0
p7,1,0.865777,0.028569,[95 42] ; [125  53],[95.68253968 41.31746032] ; [124.31746032  53.68253968],0
s8,1,0.915135,0.011356,[57 81] ; [ 75 104],[57.4637224 80.5362776] ; [ 74.5362776 104.4637224],0
n6,1,0.939087,0.00584,[116  21] ; [151  28],[115.75632911  21.24367089] ; [151.24367089  27.75632911],0
