Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.0,26.483903,[69  2] ; [3 4],[65.53846154  5.46153846] ; [6.46153846 0.53846154],1
r2,1,3e-06,21.842046,[68  3] ; [3 4],[64.62820513  6.37179487] ; [6.37179487 0.62820513],1
r1,1,0.000448,12.32,[54 16] ; [1 6],[50. 20.] ; [5. 2.],1
r3,1,0.012106,6.295295,[68  3] ; [5 2],[66.44871795  4.55128205] ; [6.55128205 0.44871795],0
a7,1,0.019288,5.475191,[51 20] ; [2 5],[48.24358974 22.75641026] ; [4.75641026 2.24358974],0
a3,1,0.027762,4.842771,[41 30] ; [1 6],[38.23076923 32.76923077] ; [3.76923077 3.23076923],0
d3,1,0.034178,4.485787,[15 56] ; [4 3],[17.29487179 53.70512821] ; [1.70512821 5.29487179],0
s4,1,0.051314,3.797988,[10 61] ; [3 4],[11.83333333 59.16666667] ; [1.16666667 5.83333333],0
v1,1,0.065801,3.384771,[35 34] ; [1 6],[32.68421053 36.31578947] ; [3.31578947 3.68421053],0
s3,1,0.076841,3.130489,[32 38] ; [5 1],[34.07894737 35.92105263] ; [2.92105263 3.07894737],0
s2,1,0.119689,2.421384,[20 50] ; [4 3],[21.81818182 48.18181818] ; [2.18181818 4.81818182],0
s1,1,0.132221,2.266237,[ 2 69] ; [1 6],[ 2.73076923 68.26923077] ; [0.26923077 6.73076923],0
b1,1,0.138685,2.19249,[30 41] ; [5 2],[31.85897436 39.14102564] ; [3.14102564 3.85897436],0
v2,1,0.219453,1.507943,[36 32] ; [2 5],[34.45333333 33.54666667] ; [3.54666667 3.45333333],0
u2,1,0.230139,1.44,[12 18] ; [4 2],[13.33333333 16.66666667] ; [2.66666667 3.33333333],0
n3,1,0.287495,1.131313,[10  1] ; [2 1],[9.42857143 1.57142857] ; [2.57142857 0.42857143],0
n6,1,0.310804,1.027254,[61 10] ; [5 2],[60.07692308 10.92307692] ; [5.92307692 1.07692308],0
a5,1,0.363534,0.82565,[43 28] ; [3 4],[41.87179487 29.12820513] ; [4.12820513 2.87179487],0
u3,1,0.371093,0.8,[16 14] ; [2 4],[15. 15.] ; [3. 3.],0
d2,1,0.391012,0.735791,[21 50] ; [1 6],[20.02564103 50.97435897] ; [1.97435897 5.02564103],0
p8,1,0.423108,0.641667,[39 31] ; [5 2],[40. 30.] ; [4. 3.],0
p7,1,0.429481,0.624227,[51 20] ; [6 1],[51.88461538 19.11538462] ; [5.11538462 1.88461538],0
p11,1,0.511027,0.431963,[58 13] ; [5 2],[57.34615385 13.65384615] ; [5.65384615 1.34615385],0
p10,1,0.515194,0.423504,[53 18] ; [6 1],[53.70512821 17.29487179] ; [5.29487179 1.70512821],0
n5,1,0.524161,0.405699,[57 13] ; [5 2],[56.36363636 13.63636364] ; [5.63636364 1.36363636],0
s8,1,0.554394,0.349504,[28 42] ; [2 5],[27.27272727 42.72727273] ; [2.72727273 4.27272727],0
n4,1,0.61399,0.254406,[55 16] ; [6 1],[55.52564103 15.47435897] ; [5.47435897 1.52564103],0
p2,1,0.61399,0.254406,[55 16] ; [6 1],[55.52564103 15.47435897] ; [5.47435897 1.52564103],0
a8,1,0.64656,0.210265,[ 6 61] ; [1 6],[ 6.33783784 60.66216216] ; [0.66216216 6.33783784],0
s7,1,0.717166,0.131224,[27 39] ; [2 4],[26.58333333 39.41666667] ; [2.41666667 3.58333333],0
a6,1,0.724611,0.124117,[46 25] ; [5 2],[46.42307692 24.57692308] ; [4.57692308 2.42307692],0
d5,1,0.74506,0.105729,[35 36] ; [3 4],[34.58974359 36.41025641] ; [3.41025641 3.58974359],0
b4,1,0.74506,0.105729,[36 35] ; [4 3],[36.41025641 34.58974359] ; [3.58974359 3.41025641],0
s5,1,0.766149,0.088456,[16 52] ; [2 5],[16.32 51.68] ; [1.68 5.32],0
n2,1,0.836813,0.042424,[8 3] ; [2 1],[7.85714286 3.14285714] ; [2.14285714 0.85714286],0
p9,1,0.847426,0.037019,[58 12] ; [6 1],[58.18181818 11.81818182] ; [5.81818182 1.18181818],0
p1,1,0.859377,0.031388,[12 59] ; [1 6],[11.83333333 59.16666667] ; [1.16666667 5.83333333],0
b5,1,0.859951,0.03113,[43 28] ; [4 3],[42.78205128 28.21794872] ; [4.21794872 2.78205128],0
s6,1,0.871266,0.026261,[41 27] ; [4 3],[40.8 27.2] ; [4.2 2.8],0
p6,1,0.91776,0.010662,[29 42] ; [3 4],[29.12820513 41.87179487] ; [2.87179487 4.12820513],0
a4,1,0.91792,0.01062,[19 52] ; [2 5],[19.11538462 51.88461538] ; [1.88461538 5.11538462],0
n1,1,0.92265,0.009428,[4 7] ; [1 2],[3.92857143 7.07142857] ; [1.07142857 1.92857143],0
