Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.008982,6.826496,[2 2] ; [56  5],[3.56923077 0.43076923] ; [54.43076923  6.56923077],0
r3,1,0.008982,6.826496,[2 2] ; [56  5],[3.56923077 0.43076923] ; [54.43076923  6.56923077],0
p10,1,0.019172,5.485714,[2 2] ; [54  6],[3.5 0.5] ; [52.5  7.5],0
r2,1,0.044881,4.023114,[3 1] ; [59  2],[3.81538462 0.18461538] ; [58.18461538  2.81538462],0
p9,1,0.068571,3.316912,[2 2] ; [52  9],[3.32307692 0.67692308] ; [50.67692308 10.32307692],0
p2,1,0.068571,3.316912,[2 2] ; [52  9],[3.32307692 0.67692308] ; [50.67692308 10.32307692],0
s8,1,0.10333,2.653376,[1 3] ; [40 21],[2.52307692 1.47692308] ; [38.47692308 22.52307692],0
b1,1,0.160954,1.965236,[3 1] ; [24 37],[1.66153846 2.33846154] ; [25.33846154 35.66153846],0
d1,1,0.179936,1.798156,[1 3] ; [ 4 57],[0.30769231 3.69230769] ; [ 4.69230769 56.30769231],0
s1,1,0.18587,1.750056,[1 3] ; [ 4 56],[0.3125 3.6875] ; [ 4.6875 55.3125],0
n2,1,0.202919,1.621241,[1 1] ; [18  3],[1.65217391 0.34782609] ; [17.34782609  3.65217391],0
p8,1,0.232237,1.427108,[1 3] ; [34 27],[2.15384615 1.84615385] ; [32.84615385 28.15384615],0
r1,1,0.233038,1.422222,[2 2] ; [46 14],[3. 1.] ; [45. 15.],0
s4,1,0.262614,1.254922,[2 2] ; [15 46],[1.04615385 2.95384615] ; [15.95384615 45.04615385],0
v1,1,0.3017,1.066667,[3 1] ; [29 31],[2. 2.] ; [30. 30.],0
n3,1,0.310557,1.028307,[1 1] ; [17  4],[1.56521739 0.43478261] ; [16.43478261  4.56521739],0
a2,1,0.343249,0.898258,[1 3] ; [ 6 55],[0.43076923 3.56923077] ; [ 6.56923077 54.43076923],0
b4,1,0.348255,0.879806,[1 3] ; [30 31],[1.90769231 2.09230769] ; [29.09230769 31.90769231],0
a5,1,0.389667,0.739982,[2 2] ; [43 18],[2.76923077 1.23076923] ; [42.23076923 18.76923077],0
v2,1,0.399308,0.710411,[1 3] ; [28 32],[1.8125 2.1875] ; [27.1875 32.8125],0
b5,1,0.415261,0.663687,[3 1] ; [33 28],[2.21538462 1.78461538] ; [33.78461538 27.21538462],0
n6,1,0.425094,0.63619,[3 1] ; [54  7],[3.50769231 0.49230769] ; [53.49230769  7.50769231],0
p7,1,0.434768,0.610053,[2 2] ; [42 19],[2.70769231 1.29230769] ; [41.29230769 19.70769231],0
s3,1,0.449575,0.571724,[2 2] ; [41 19],[2.6875 1.3125] ; [40.3125 19.6875],0
s2,1,0.480935,0.496742,[2 2] ; [41 20],[2.64615385 1.35384615] ; [40.35384615 20.64615385],0
p6,1,0.488386,0.480079,[1 3] ; [26 35],[1.66153846 2.33846154] ; [25.33846154 35.66153846],0
s6,1,0.518482,0.416912,[2 1] ; [49 11],[2.42857143 0.57142857] ; [48.57142857 11.42857143],0
d3,1,0.528014,0.398211,[2 2] ; [21 40],[1.41538462 2.58461538] ; [21.58461538 39.41538462],0
a6,1,0.528014,0.398211,[2 2] ; [40 21],[2.58461538 1.41538462] ; [39.41538462 21.58461538],0
a8,1,0.550011,0.357297,[1 3] ; [ 8 49],[0.59016393 3.40983607] ; [ 8.40983607 48.59016393],0
v3,1,0.610006,0.260167,[1 3] ; [23 38],[1.47692308 2.52307692] ; [22.52307692 38.47692308],0
a7,1,0.624384,0.239754,[2 2] ; [38 23],[2.46153846 1.53846154] ; [37.53846154 23.46153846],0
a3,1,0.653886,0.201036,[3 1] ; [39 22],[2.58461538 1.41538462] ; [39.41538462 21.58461538],0
p1,1,0.656521,0.197777,[1 3] ; [10 51],[0.67692308 3.32307692] ; [10.32307692 50.67692308],0
n5,1,0.66884,0.182962,[3 1] ; [50 10],[3.3125 0.6875] ; [49.6875 10.3125],0
p4,1,0.673448,0.177596,[2 2] ; [37 24],[2.4 1.6] ; [36.6 24.4],0
d2,1,0.74699,0.104078,[1 3] ; [20 41],[1.29230769 2.70769231] ; [19.70769231 41.29230769],0
b2,1,0.804737,0.061118,[1 3] ; [13 29],[1.2173913 2.7826087] ; [12.7826087 29.2173913],0
b3,1,0.804737,0.061118,[1 3] ; [13 29],[1.2173913 2.7826087] ; [12.7826087 29.2173913],0
p3,1,0.84578,0.037833,[2 2] ; [27 33],[1.8125 2.1875] ; [27.1875 32.8125],0
a4,1,0.901145,0.015429,[1 3] ; [17 44],[1.10769231 2.89230769] ; [16.89230769 44.10769231],0
d5,1,0.974659,0.001009,[2 2] ; [31 30],[2.03076923 1.96923077] ; [30.96923077 30.03076923],0
n4,1,1.0,0.0,[3 1] ; [45 15],[3. 1.] ; [45. 15.],0
n1,1,1.0,0.0,[1 1] ; [10 10],[1. 1.] ; [10. 10.],0
