Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r2,1,1.6e-05,18.656421,[1 3] ; [85  7],[3.58333333 0.41666667] ; [82.41666667  9.58333333],1
r4,1,0.000732,11.40524,[2 2] ; [88  5],[3.71134021 0.28865979] ; [86.28865979  6.71134021],1
a7,1,0.044185,4.049468,[1 3] ; [67 26],[2.80412371 1.19587629] ; [65.19587629 27.80412371],0
d3,1,0.087237,2.924642,[1 3] ; [62 31],[2.59793814 1.40206186] ; [60.40206186 32.59793814],0
a6,1,0.109194,2.565849,[1 3] ; [60 33],[2.51546392 1.48453608] ; [58.48453608 34.51546392],0
r3,1,0.110646,2.544965,[3 1] ; [88  5],[3.75257732 0.24742268] ; [87.24742268  5.75257732],0
p8,1,0.121385,2.399358,[2 2] ; [75 17],[3.20833333 0.79166667] ; [73.79166667 18.20833333],0
d1,1,0.147213,2.100892,[1 3] ; [57 36],[2.39175258 1.60824742] ; [55.60824742 37.39175258],0
p3,1,0.159719,1.976884,[2 2] ; [74 19],[3.13402062 0.86597938] ; [72.86597938 20.13402062],0
s2,1,0.161233,1.962621,[1 3] ; [56 37],[2.35051546 1.64948454] ; [54.64948454 38.35051546],0
v3,1,0.179803,1.799249,[1 3] ; [53 37],[2.29787234 1.70212766] ; [51.70212766 38.29787234],0
n5,1,0.268367,1.225077,[3 1] ; [85  8],[3.62886598 0.37113402] ; [84.37113402  8.62886598],0
s7,1,0.331923,0.941379,[2 2] ; [63 24],[2.85714286 1.14285714] ; [62.14285714 24.85714286],0
v1,1,0.42778,0.628843,[2 2] ; [62 28],[2.72340426 1.27659574] ; [61.27659574 28.72340426],0
b4,1,0.450645,0.569028,[3 1] ; [52 41],[2.26804124 1.73195876] ; [52.73195876 40.26804124],0
a4,1,0.475222,0.509808,[1 3] ; [40 53],[1.69072165 2.30927835] ; [39.30927835 53.69072165],0
p4,1,0.493878,0.468066,[3 1] ; [80 12],[3.45833333 0.54166667] ; [79.54166667 12.45833333],0
b1,1,0.500481,0.453916,[1 3] ; [39 54],[1.64948454 2.35051546] ; [38.35051546 54.64948454],0
p11,1,0.539097,0.377216,[3 1] ; [80 13],[3.42268041 0.57731959] ; [79.57731959 13.42268041],0
s3,1,0.597843,0.278261,[2 2] ; [58 34],[2.5 1.5] ; [57.5 34.5],0
p6,1,0.610116,0.260006,[2 2] ; [57 34],[2.48421053 1.51578947] ; [56.51578947 34.48421053],0
a8,1,0.656074,0.198328,[1 3] ; [14 71],[0.6741573 3.3258427] ; [14.3258427 70.6741573],0
s8,1,0.69655,0.152086,[2 2] ; [55 37],[2.375 1.625] ; [54.625 37.375],0
s5,1,0.74052,0.10967,[3 1] ; [57 28],[2.69662921 1.30337079] ; [57.30337079 27.69662921],0
b5,1,0.782366,0.076307,[2 2] ; [40 53],[1.73195876 2.26804124] ; [40.26804124 52.73195876],0
v2,1,0.826896,0.047823,[2 2] ; [50 40],[2.21276596 1.78723404] ; [49.78723404 40.21276596],0
p1,1,0.827054,0.047734,[1 3] ; [28 65],[1.19587629 2.80412371] ; [27.80412371 65.19587629],0
p7,1,0.886643,0.020322,[3 1] ; [71 20],[3.11578947 0.88421053] ; [70.88421053 20.11578947],0
p12,1,0.88708,0.020164,[1 3] ; [26 66],[1.125 2.875] ; [25.875 66.125],0
d5,1,0.90992,0.012801,[3 1] ; [72 21],[3.09278351 0.90721649] ; [71.90721649 21.09278351],0
a3,1,0.90992,0.012801,[3 1] ; [72 21],[3.09278351 0.90721649] ; [71.90721649 21.09278351],0
b2,1,0.928544,0.008042,[2 2] ; [31 34],[1.91304348 2.08695652] ; [31.08695652 33.91304348],0
b3,1,0.928544,0.008042,[2 2] ; [31 34],[1.91304348 2.08695652] ; [31.08695652 33.91304348],0
a5,1,0.990266,0.000149,[3 1] ; [70 23],[3.01030928 0.98969072] ; [69.98969072 23.01030928],0
