Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,1e-06,24.374782,[77 21] ; [47 58],[59.86206897 38.13793103] ; [64.13793103 40.86206897],1
s6,1,5.7e-05,16.189642,[86 10] ; [69 36],[74.02985075 21.97014925] ; [80.97014925 24.02985075],1
s4,1,7.9e-05,15.580268,[32 64] ; [11 94],[20.53731343 75.46268657] ; [22.46268657 82.53731343],1
p10,1,0.001459,10.129404,[95  3] ; [86 17],[88.24875622  9.75124378] ; [92.75124378 10.24875622],0
p5,1,0.001934,9.611293,[32 66] ; [15 90],[22.68965517 75.31034483] ; [24.31034483 80.68965517],0
s7,1,0.001953,9.593437,[71 21] ; [56 44],[60.85416667 31.14583333] ; [66.14583333 33.85416667],0
s3,1,0.002444,9.182359,[69 29] ; [52 53],[58.4137931 39.5862069] ; [62.5862069 42.4137931],0
n2,1,0.009271,6.769778,[18  2] ; [7 7],[14.70588235  5.29411765] ; [10.29411765  3.70588235],0
s8,1,0.032619,4.565679,[64 34] ; [53 52],[56.48275862 41.51724138] ; [60.51724138 44.48275862],0
p9,1,0.035554,4.418386,[95  3] ; [93 11],[91.20792079  6.79207921] ; [96.79207921  7.20792079],0
p7,1,0.061763,3.489408,[91  7] ; [87 16],[86.78606965 11.21393035] ; [91.21393035 11.78606965],0
b5,1,0.062191,3.477962,[46 52] ; [63 42],[52.62068966 45.37931034] ; [56.37931034 48.62068966],0
n1,1,0.07077,3.265079,[12  8] ; [ 4 10],[ 9.41176471 10.58823529] ; [6.58823529 7.41176471],0
a5,1,0.076911,3.128997,[85 13] ; [81 24],[80.13793103 17.86206897] ; [85.86206897 19.13793103],0
p8,1,0.08753,2.91923,[82 16] ; [76 27],[77.03482587 20.96517413] ; [80.96517413 22.03482587],0
b1,1,0.101286,2.685175,[41 57] ; [56 49],[46.82758621 51.17241379] ; [50.17241379 54.82758621],0
a3,1,0.101956,2.674682,[81 16] ; [77 27],[76.24875622 20.75124378] ; [81.75124378 22.24875622],0
n3,1,0.105335,2.622857,[12  8] ; [12  2],[14.11764706  5.88235294] ; [9.88235294 4.11764706],0
u3,1,0.109287,2.564498,[14  3] ; [16 11],[11.59090909  5.40909091] ; [18.40909091  8.59090909],0
a7,1,0.121851,2.393367,[69 29] ; [83 21],[73.74257426 24.25742574] ; [78.25742574 25.74257426],0
d3,1,0.150301,2.069189,[76 22] ; [72 33],[71.44827586 26.55172414] ; [76.55172414 28.44827586],0
b4,1,0.151769,2.054384,[62 36] ; [56 49],[56.96551724 41.03448276] ; [61.03448276 43.96551724],0
a1,1,0.1567,2.005787,[11 87] ; [ 6 99],[ 8.20689655 89.79310345] ; [ 8.79310345 96.20689655],0
p1,1,0.161066,1.96419,[19 78] ; [13 92],[15.36633663 81.63366337] ; [16.63366337 88.36633663],0
d5,1,0.17739,1.819355,[86 11] ; [86 19],[82.59405941 14.40594059] ; [89.40594059 15.59405941],0
v1,1,0.18267,1.775768,[66 32] ; [60 43],[61.43283582 36.56716418] ; [64.56716418 38.43283582],0
a6,1,0.195934,1.672422,[61 36] ; [75 30],[65.30693069 31.69306931] ; [70.69306931 34.30693069],0
d4,1,0.23997,1.38077,[86 11] ; [87 18],[83.07425743 13.92574257] ; [89.92574257 15.07425743],0
n4,1,0.311881,1.022694,[82 16] ; [93 12],[84.48275862 13.51724138] ; [90.51724138 14.48275862],0
d1,1,0.390787,0.736493,[69 29] ; [68 37],[66.13793103 31.86206897] ; [70.86206897 34.13793103],0
v4,1,0.41138,0.674808,[93  5] ; [102   3],[94.13793103  3.86206897] ; [100.86206897   4.13793103],0
u1,1,0.441512,0.592349,[26 72] ; [23 82],[23.65517241 74.34482759] ; [25.34482759 79.65517241],0
u4,1,0.457156,0.552848,[ 2 96] ; [  4 101],[ 2.89655172 95.10344828] ; [  3.10344828 101.89655172],0
r4,1,0.464189,0.535776,[93  5] ; [97  8],[91.72413793  6.27586207] ; [98.27586207  6.72413793],0
d2,1,0.465574,0.532462,[51 47] ; [60 45],[53.5862069 44.4137931] ; [57.4137931 47.5862069],0
p12,1,0.547981,0.360947,[17 80] ; [15 89],[15.44278607 81.55721393] ; [16.55721393 87.44278607],0
n5,1,0.567829,0.326329,[82 16] ; [83 20],[80.44776119 17.55223881] ; [84.55223881 18.44776119],0
a4,1,0.607325,0.264089,[53 45] ; [53 52],[51.17241379 46.82758621] ; [54.82758621 50.17241379],0
u2,1,0.6156,0.252101,[11  6] ; [16 12],[10.2  6.8] ; [16.8 11.2],0
a2,1,0.646472,0.210377,[27 71] ; [32 73],[28.48275862 69.51724138] ; [30.51724138 74.48275862],0
s1,1,0.707679,0.140606,[ 2 96] ; [  3 102],[ 2.4137931 95.5862069] ; [  2.5862069 102.4137931],0
r3,1,0.716258,0.132106,[95  2] ; [102   3],[94.5990099  2.4009901] ; [102.4009901   2.5990099],0
b2,1,0.7205,0.128015,[29 30] ; [35 41],[27.97037037 31.02962963] ; [36.02962963 39.97037037],0
b3,1,0.7205,0.128015,[29 30] ; [35 41],[27.97037037 31.02962963] ; [36.02962963 39.97037037],0
n6,1,0.750393,0.101201,[89  8] ; [95 10],[88.35643564  8.64356436] ; [95.64356436  9.35643564],0
p4,1,0.757488,0.095346,[89  9] ; [94 11],[88.34482759  9.65517241] ; [94.65517241 10.34482759],0
r2,1,0.779666,0.078263,[94  4] ; [97  5],[93.59  4.41] ; [97.41  4.59],0
a8,1,0.802176,0.062766,[11 82] ; [12 80],[11.56216216 81.43783784] ; [11.43783784 80.56216216],0
v3,1,0.805863,0.060401,[45 52] ; [46 57],[44.135 52.865] ; [46.865 56.135],0
p2,1,0.878129,0.023514,[89  9] ; [96  9],[89.31034483  8.68965517] ; [95.68965517  9.31034483],0
p11,1,0.889068,0.019456,[81 17] ; [86 19],[80.62068966 17.37931034] ; [86.37931034 18.62068966],0
v2,1,0.970162,0.001399,[61 37] ; [65 39],[61.12871287 36.87128713] ; [64.87128713 39.12871287],0
r1,1,0.979055,0.000689,[82 16] ; [88 17],[82.06896552 15.93103448] ; [87.93103448 17.06896552],0
