Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,6e-06,20.647773,[28 48] ; [23  3],[38. 38.] ; [13. 13.],1
p4,1,2.2e-05,17.97551,[18 59] ; [18  8],[26.91262136 50.08737864] ; [ 9.08737864 16.91262136],1
p6,1,0.000742,11.381426,[11 66] ; [12 14],[17.19417476 59.80582524] ; [ 5.80582524 20.19417476],1
n4,1,0.007451,7.16085,[55 22] ; [11 15],[49.33980583 27.66019417] ; [16.66019417  9.33980583],0
s6,1,0.031167,4.643748,[26 51] ; [15 11],[30.65048544 46.34951456] ; [10.34951456 15.65048544],0
v2,1,0.040794,4.184539,[21 54] ; [13 13],[25.24752475 49.75247525] ; [ 8.75247525 17.24752475],0
d3,1,0.041671,4.148516,[22 56] ; [13 13],[26.25 51.75] ; [ 8.75 17.25],0
p3,1,0.068066,3.329065,[21 57] ; [12 14],[24.75 53.25] ; [ 8.25 17.75],0
a3,1,0.099387,2.715353,[38 39] ; [ 8 18],[34.38834951 42.61165049] ; [11.61165049 14.38834951],0
s2,1,0.116426,2.464759,[20 57] ; [11 15],[23.17475728 53.82524272] ; [ 7.82524272 18.17475728],0
p2,1,0.14037,2.173902,[38 40] ; [17  9],[41.25 36.75] ; [13.75 12.25],0
s3,1,0.162016,1.955312,[29 47] ; [14 12],[32.03921569 43.96078431] ; [10.96078431 15.03921569],0
a6,1,0.174231,1.846154,[36 42] ; [16 10],[39. 39.] ; [13. 13.],0
n5,1,0.189819,1.719025,[44 33] ; [11 15],[41.11650485 35.88349515] ; [13.88349515 12.11650485],0
b2,1,0.198239,1.655302,[18 32] ; [ 2 10],[16.12903226 33.87096774] ; [3.87096774 8.12903226],0
b3,1,0.198239,1.655302,[18 32] ; [ 2 10],[16.12903226 33.87096774] ; [3.87096774 8.12903226],0
b5,1,0.210824,1.565758,[40 38] ; [17  9],[42.75 35.25] ; [14.25 11.75],0
s1,1,0.236609,1.400682,[ 9 67] ; [ 1 25],[ 7.45098039 68.54901961] ; [ 2.54901961 23.45098039],0
r3,1,0.269445,1.219569,[57 20] ; [22  4],[59.05825243 17.94174757] ; [19.94174757  6.05825243],0
n3,1,0.29627,1.090909,[20  7] ; [5 4],[18.75  8.25] ; [6.25 2.75],0
r1,1,0.29982,1.074994,[53 24] ; [15 11],[50.83495146 26.16504854] ; [17.16504854  8.83495146],0
b4,1,0.359281,0.840404,[47 31] ; [13 13],[45. 33.] ; [15. 11.],0
a5,1,0.359281,0.840404,[31 47] ; [13 13],[33. 45.] ; [11. 15.],0
v3,1,0.388626,0.743238,[22 53] ; [10 16],[23.76237624 51.23762376] ; [ 8.23762376 17.76237624],0
a7,1,0.395284,0.722627,[37 40] ; [15 11],[38.87378641 38.12621359] ; [13.12621359 12.87378641],0
d2,1,0.405554,0.691796,[18 60] ; [ 4 22],[16.5 61.5] ; [ 5.5 20.5],0
d5,1,0.427929,0.628438,[40 38] ; [11 15],[38.25 39.75] ; [12.75 13.25],0
s7,1,0.472952,0.515071,[17 55] ; [ 8 18],[18.36734694 53.63265306] ; [ 6.63265306 19.36734694],0
p1,1,0.489415,0.477813,[ 6 71] ; [ 1 25],[ 5.23300971 71.76699029] ; [ 1.76699029 24.23300971],0
s5,1,0.494858,0.465947,[11 66] ; [ 5 20],[12.07843137 64.92156863] ; [ 3.92156863 21.07843137],0
v4,1,0.529774,0.394826,[60 16] ; [22  4],[61.09803922 14.90196078] ; [20.90196078  5.09803922],0
r4,1,0.549135,0.358868,[53 25] ; [16 10],[51.75 26.25] ; [17.25  8.75],0
n2,1,0.610585,0.259324,[20  9] ; [7 2],[20.60526316  8.39473684] ; [6.39473684 2.60526316],0
s4,1,0.646021,0.210953,[12 66] ; [ 5 21],[12.75 65.25] ; [ 4.25 21.75],0
d4,1,0.650613,0.205128,[38 40] ; [14 12],[39. 39.] ; [13. 13.],0
u2,1,0.651512,0.203999,[17 22] ; [9 9],[17.78947368 21.21052632] ; [8.21052632 9.78947368],0
a8,1,0.71365,0.134659,[ 8 65] ; [ 2 22],[ 7.5257732 65.4742268] ; [ 2.4742268 21.5257732],0
p10,1,0.716173,0.132189,[15 61] ; [ 6 20],[15.64705882 60.35294118] ; [ 5.35294118 20.64705882],0
u1,1,0.735177,0.114411,[ 2 76] ; [ 1 25],[ 2.25 75.75] ; [ 0.75 25.25],0
s8,1,0.745382,0.105453,[14 63] ; [ 4 22],[13.45631068 63.54368932] ; [ 4.54368932 21.45631068],0
v1,1,0.809262,0.058263,[26 52] ; [ 8 18],[25.5 52.5] ; [ 8.5 17.5],0
n1,1,0.845252,0.038095,[11 16] ; [4 5],[11.25 15.75] ; [3.75 5.25],0
n6,1,0.871339,0.02623,[46 31] ; [16 10],[46.34951456 30.65048544] ; [15.65048544 10.34951456],0
p11,1,0.9097,0.012863,[37 41] ; [12 14],[36.75 41.25] ; [12.25 13.75],0
u3,1,0.968604,0.001549,[18 22] ; [ 8 10],[17.93103448 22.06896552] ; [8.06896552 9.93103448],0
r2,1,0.977793,0.000775,[62 15] ; [21  5],[62.04854369 14.95145631] ; [20.95145631  5.04854369],0
p5,1,1.0,0.0,[ 3 75] ; [ 1 25],[ 3. 75.] ; [ 1. 25.],0
b1,1,1.0,0.0,[42 36] ; [14 12],[42. 36.] ; [14. 12.],0
