Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.0,77.541224,[ 8 33] ; [86  5],[29.1969697 11.8030303] ; [64.8030303 26.1969697],1
n6,1,0.008043,7.023895,[31 10] ; [84  7],[35.71969697  5.28030303] ; [79.28030303 11.71969697],0
a6,1,0.008118,7.007302,[16 25] ; [58 33],[22.98484848 18.01515152] ; [51.01515152 39.98484848],0
p10,1,0.022636,5.196224,[26 13] ; [76 14],[30.8372093  8.1627907] ; [71.1627907 18.8372093],0
a2,1,0.030689,4.670256,[ 4 37] ; [24 67],[ 8.6969697 32.3030303] ; [19.3030303 71.6969697],0
r4,1,0.036732,4.362796,[32  9] ; [83  8],[35.71969697  5.28030303] ; [79.28030303 11.71969697],0
r1,1,0.04298,4.0962,[26 14] ; [74 17],[30.53435115  9.46564885] ; [69.46564885 21.53435115],0
p9,1,0.049229,3.867544,[28 11] ; [76 12],[31.93700787  7.06299213] ; [72.06299213 15.93700787],0
n1,1,0.053824,3.718155,[7 5] ; [ 3 11],[4.61538462 7.38461538] ; [5.38461538 8.61538462],0
p2,1,0.054335,3.702386,[29 10] ; [80 11],[32.7  6.3] ; [76.3 14.7],0
p1,1,0.068609,3.315981,[ 2 38] ; [15 75],[ 5.23076923 34.76923077] ; [11.76923077 78.23076923],0
p11,1,0.069723,3.289536,[28 13] ; [75 16],[31.99242424  9.00757576] ; [71.00757576 19.99242424],0
p4,1,0.071423,3.25,[20 20] ; [60 30],[24.61538462 15.38461538] ; [55.38461538 34.61538462],0
p3,1,0.074794,3.174543,[17 23] ; [54 37],[21.67938931 18.32061069] ; [49.32061069 41.67938931],0
a8,1,0.087271,2.923997,[ 1 35] ; [11 74],[ 3.57024793 32.42975207] ; [ 8.42975207 76.57024793],0
r3,1,0.127099,2.327578,[40  1] ; [80  9],[37.84615385  3.15384615] ; [82.15384615  6.84615385],0
v3,1,0.174078,1.847473,[ 9 30] ; [32 59],[12.3 26.7] ; [28.7 62.3],0
a4,1,0.179047,1.805514,[16 25] ; [47 44],[19.56818182 21.43181818] ; [43.43181818 47.56818182],0
n2,1,0.182698,1.775543,[9 3] ; [14  1],[10.22222222  1.77777778] ; [12.77777778  2.22222222],0
a5,1,0.18444,1.761481,[25 16] ; [66 25],[28.26515152 12.73484848] ; [62.73484848 28.26515152],0
v1,1,0.187003,1.741071,[15 25] ; [45 45],[18.46153846 21.53846154] ; [41.53846154 48.46153846],0
