Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,38.598817,[66  3] ; [ 8 14],[56.10989011 12.89010989] ; [17.89010989  4.10989011],1
r2,1,1.2e-05,19.099061,[67  2] ; [14  8],[61.41758242  7.58241758] ; [19.58241758  2.41758242],1
r3,1,8.6e-05,15.427992,[67  1] ; [16  6],[62.71111111  5.28888889] ; [20.28888889  1.71111111],1
v4,1,0.001891,9.652406,[65  3] ; [16  6],[61.2  6.8] ; [19.8  2.2],0
n4,1,0.003355,8.603686,[54 15] ; [10 12],[48.52747253 20.47252747] ; [15.47252747  6.52747253],0
s4,1,0.014304,6.000272,[ 5 62] ; [ 6 16],[ 8.28089888 58.71910112] ; [ 2.71910112 19.28089888],0
a5,1,0.016866,5.710293,[45 24] ; [ 8 14],[40.18681319 28.81318681] ; [12.81318681  9.18681319],0
p6,1,0.027499,4.859188,[12 55] ; [ 9 13],[15.80898876 51.19101124] ; [ 5.19101124 16.80898876],0
n5,1,0.127818,2.318802,[44 25] ; [10 12],[40.94505495 28.05494505] ; [13.05494505  8.94505495],0
d3,1,0.162512,1.950698,[43 26] ; [10 12],[40.18681319 28.81318681] ; [12.81318681  9.18681319],0
v3,1,0.175515,1.835192,[23 46] ; [ 4 18],[20.47252747 48.52747253] ; [ 6.52747253 15.47252747],0
n6,1,0.17619,1.829475,[53 16] ; [13  8],[50.6 18.4] ; [15.4  5.6],0
p3,1,0.202409,1.62491,[22 46] ; [ 4 18],[19.64444444 48.35555556] ; [ 6.35555556 15.64444444],0
u1,1,0.212657,1.553248,[10 59] ; [ 1 21],[ 8.34065934 60.65934066] ; [ 2.65934066 19.34065934],0
b2,1,0.21303,1.550714,[13 31] ; [ 2 13],[11.18644068 32.81355932] ; [ 3.81355932 11.18644068],0
b3,1,0.21303,1.550714,[13 31] ; [ 2 13],[11.18644068 32.81355932] ; [ 3.81355932 11.18644068],0
a4,1,0.224727,1.47393,[25 43] ; [ 5 17],[22.66666667 45.33333333] ; [ 7.33333333 14.66666667],0
n1,1,0.281753,1.158613,[7 9] ; [2 7],[ 5.76 10.24] ; [3.24 5.76],0
s5,1,0.283548,1.150008,[13 56] ; [ 6 14],[14.73033708 54.26966292] ; [ 4.26966292 15.73033708],0
d1,1,0.29013,1.119016,[34 35] ; [ 8 14],[31.84615385 37.15384615] ; [10.15384615 11.84615385],0
p2,1,0.295965,1.092288,[49 20] ; [13  9],[47.01098901 21.98901099] ; [14.98901099  7.01098901],0
s6,1,0.304208,1.055657,[29 40] ; [12 10],[31.08791209 37.91208791] ; [ 9.91208791 12.08791209],0
a8,1,0.335591,0.927201,[ 7 53] ; [ 1 21],[ 5.85365854 54.14634146] ; [ 2.14634146 19.85365854],0
d4,1,0.37352,0.791919,[50 18] ; [14  8],[48.35555556 19.64444444] ; [15.64444444  6.35555556],0
s3,1,0.389015,0.742018,[35 33] ; [ 9 13],[33.24444444 34.75555556] ; [10.75555556 11.24444444],0
a7,1,0.392879,0.730014,[44 24] ; [12 10],[42.31111111 25.68888889] ; [13.68888889  8.31111111],0
p10,1,0.415417,0.663245,[25 43] ; [ 6 16],[23.42222222 44.57777778] ; [ 7.57777778 14.42222222],0
d5,1,0.429963,0.622925,[50 19] ; [14  8],[48.52747253 20.47252747] ; [15.47252747  6.52747253],0
u3,1,0.456057,0.555556,[19 11] ; [5 5],[18. 12.] ; [6. 4.],0
s8,1,0.505711,0.442932,[17 52] ; [ 7 15],[18.1978022 50.8021978] ; [ 5.8021978 16.1978022],0
b5,1,0.511871,0.430239,[40 29] ; [11 11],[38.67032967 30.32967033] ; [12.32967033  9.67032967],0
a2,1,0.514356,0.425196,[10 59] ; [ 2 20],[ 9.0989011 59.9010989] ; [ 2.9010989 19.0989011],0
