Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,8.9e-05,15.364076,[61 28] ; [28 46],[48.59509202 40.40490798] ; [40.40490798 33.59509202],1
d3,1,0.000137,14.545237,[55 33] ; [24 50],[42.91358025 45.08641975] ; [36.08641975 37.91358025],1
d5,1,0.000806,11.22676,[66 23] ; [36 38],[55.69325153 33.30674847] ; [46.30674847 27.69325153],1
d4,1,0.000806,11.22676,[66 23] ; [36 38],[55.69325153 33.30674847] ; [46.30674847 27.69325153],1
p10,1,0.001947,9.598403,[64 22] ; [37 36],[54.62893082 31.37106918] ; [46.37106918 26.62893082],0
r3,1,0.00765,7.11352,[75 13] ; [50 24],[67.90123457 20.09876543] ; [57.09876543 16.90123457],0
p3,1,0.015547,5.853447,[40 48] ; [20 54],[32.59259259 55.40740741] ; [27.40740741 46.59259259],0
p9,1,0.016303,5.769889,[69 18] ; [44 27],[62.22151899 24.77848101] ; [50.77848101 20.22151899],0
p2,1,0.016602,5.737972,[67 22] ; [42 31],[59.88271605 29.11728395] ; [49.11728395 23.88271605],0
r4,1,0.030693,4.67003,[50 39] ; [29 45],[43.13496933 45.86503067] ; [35.86503067 38.13496933],0
a5,1,0.037981,4.30587,[53 36] ; [32 42],[46.41104294 42.58895706] ; [38.58895706 35.41104294],0
b5,1,0.038709,4.273601,[61 28] ; [39 35],[54.60122699 34.39877301] ; [45.39877301 28.60122699],0
b1,1,0.042988,4.09586,[34 55] ; [40 34],[40.40490798 48.59509202] ; [33.59509202 40.40490798],0
d1,1,0.047021,3.944619,[36 53] ; [19 55],[30.03067485 58.96932515] ; [24.96932515 49.03067485],0
p11,1,0.091034,2.855999,[63 26] ; [43 31],[57.87730061 31.12269939] ; [48.12269939 25.87730061],0
u1,1,0.095895,2.772523,[ 8 81] ; [ 2 72],[ 5.4601227 83.5398773] ; [ 4.5398773 69.4601227],0
v4,1,0.105424,2.621505,[75 14] ; [54 19],[70.87037037 18.12962963] ; [58.12962963 14.87037037],0
p1,1,0.124186,2.363711,[ 4 85] ; [ 8 66],[ 6.55214724 82.44785276] ; [ 5.44785276 68.55214724],0
a3,1,0.125194,2.351112,[51 38] ; [33 40],[46.14814815 42.85185185] ; [37.85185185 35.14814815],0
u3,1,0.126832,2.330857,[18 19] ; [13 28],[14.70512821 22.29487179] ; [16.29487179 24.70512821],0
p4,1,0.155585,2.016625,[46 43] ; [30 44],[41.49693252 47.50306748] ; [34.50306748 39.49693252],0
n2,1,0.175154,1.838268,[20  5] ; [21 12],[17.67241379  7.32758621] ; [23.32758621  9.67241379],0
s2,1,0.229889,1.441547,[37 52] ; [24 50],[33.30674847 55.69325153] ; [27.69325153 46.30674847],0
n3,1,0.25766,1.281289,[18  7] ; [19 14],[15.94827586  9.05172414] ; [21.05172414 11.94827586],0
a2,1,0.269419,1.219705,[ 9 80] ; [ 4 70],[ 7.09815951 81.90184049] ; [ 5.90184049 68.09815951],0
b2,1,0.297099,1.087169,[17 32] ; [12 36],[14.64948454 34.35051546] ; [14.35051546 33.64948454],0
b3,1,0.297099,1.087169,[17 32] ; [12 36],[14.64948454 34.35051546] ; [14.35051546 33.64948454],0
s6,1,0.304977,1.052303,[42 47] ; [29 45],[38.76687117 50.23312883] ; [32.23312883 41.76687117],0
n5,1,0.315825,1.006159,[54 34] ; [51 23],[57.03703704 30.96296296] ; [47.96296296 26.03703704],0
v1,1,0.31878,0.993946,[28 56] ; [19 54],[25.14649682 58.85350318] ; [21.85350318 51.14649682],0
a8,1,0.319079,0.99272,[10 75] ; [ 5 66],[ 8.17307692 76.82692308] ; [ 6.82692308 64.17307692],0
p6,1,0.324564,0.970466,[24 63] ; [15 57],[21.33962264 65.66037736] ; [17.66037736 54.33962264],0
d2,1,0.325143,0.968144,[28 61] ; [28 44],[30.95652174 58.04347826] ; [25.04347826 46.95652174],0
a4,1,0.326314,0.963471,[23 66] ; [24 49],[25.82098765 63.17901235] ; [21.17901235 51.82098765],0
u2,1,0.326485,0.962789,[19 19] ; [16 25],[16.83544304 21.16455696] ; [18.16455696 22.83544304],0
s3,1,0.340728,0.90769,[40 49] ; [27 45],[37.03726708 51.96273292] ; [29.96273292 42.03726708],0
r2,1,0.366861,0.814269,[63 20] ; [50 22],[60.50967742 22.49032258] ; [52.49032258 19.50967742],0
n6,1,0.368797,0.807714,[64 24] ; [49 25],[61.38271605 26.61728395] ; [51.61728395 22.38271605],0
p7,1,0.393143,0.7292,[43 43] ; [32 42],[40.3125 45.6875] ; [34.6875 39.3125],0
p5,1,0.42068,0.648416,[ 9 78] ; [ 5 69],[ 7.56521739 79.43478261] ; [ 6.43478261 67.56521739],0
n1,1,0.450259,0.57,[ 7 18] ; [12 20],[ 8.33333333 16.66666667] ; [10.66666667 21.33333333],0
s1,1,0.454488,0.559434,[ 6 83] ; [ 3 71],[ 4.91411043 84.08588957] ; [ 4.08588957 69.91411043],0
s4,1,0.469111,0.52407,[21 68] ; [14 60],[19.11042945 69.88957055] ; [15.88957055 58.11042945],0
s7,1,0.571634,0.319957,[26 57] ; [19 51],[24.41176471 58.58823529] ; [20.58823529 49.41176471],0
s8,1,0.641461,0.216837,[22 67] ; [16 58],[20.74846626 68.25153374] ; [17.25153374 56.74846626],0
s5,1,0.656881,0.197335,[20 64] ; [15 57],[18.84615385 65.15384615] ; [16.15384615 55.84615385],0
b4,1,0.657098,0.197068,[50 39] ; [39 35],[48.59509202 40.40490798] ; [40.40490798 33.59509202],0
p8,1,0.713671,0.134638,[33 54] ; [26 48],[31.88198758 55.11801242] ; [27.11801242 46.88198758],0
n4,1,0.718734,0.129709,[53 36] ; [42 32],[51.87116564 37.12883436] ; [43.12883436 30.87116564],0
a1,1,0.787321,0.072787,[ 7 82] ; [ 5 69],[ 6.55214724 82.44785276] ; [ 5.44785276 68.55214724],0
v2,1,0.841091,0.0402,[26 63] ; [20 52],[25.42857143 63.57142857] ; [20.57142857 51.42857143],0
p12,1,0.878219,0.023479,[ 4 84] ; [ 3 71],[ 3.80246914 84.19753086] ; [ 3.19753086 70.80246914],0
