Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.00046,12.269571,[ 2 14] ; [20 10],[7.65217391 8.34782609] ; [14.34782609 15.65217391],1
n6,1,0.000557,11.914137,[ 6 10] ; [26  4],[11.13043478  4.86956522] ; [20.86956522  9.13043478],1
p11,1,0.008763,6.870453,[ 6 10] ; [23  7],[10.08695652  5.91304348] ; [18.91304348 11.08695652],0
d4,1,0.015466,5.862587,[15  1] ; [18 12],[11.47826087  4.52173913] ; [21.52173913  8.47826087],0
d1,1,0.017703,5.625265,[10  6] ; [ 8 22],[6.26086957 9.73913043] ; [11.73913043 18.26086957],0
a3,1,0.032992,4.546199,[10  6] ; [ 9 21],[6.60869565 9.39130435] ; [12.39130435 17.60869565],0
d2,1,0.032992,4.546199,[10  6] ; [ 9 21],[6.60869565 9.39130435] ; [12.39130435 17.60869565],0
p2,1,0.04633,3.969567,[9 7] ; [25  5],[11.82608696  4.17391304] ; [22.17391304  7.82608696],0
s7,1,0.057224,3.616071,[11  4] ; [13 17],[8. 7.] ; [16. 14.],0
b3,1,0.060752,3.516746,[6 5] ; [ 4 15],[3.66666667 7.33333333] ; [ 6.33333333 12.66666667],0
b2,1,0.060752,3.516746,[6 5] ; [ 4 15],[3.66666667 7.33333333] ; [ 6.33333333 12.66666667],0
r2,1,0.067504,3.342691,[14  1] ; [20  9],[11.59090909  3.40909091] ; [22.40909091  6.59090909],0
d5,1,0.068526,3.317972,[13  2] ; [18 12],[10.33333333  4.66666667] ; [20.66666667  9.33333333],0
p1,1,0.077161,3.12371,[ 3 13] ; [ 1 29],[ 1.39130435 14.60869565] ; [ 2.60869565 27.39130435],0
p6,1,0.078127,3.103448,[8 8] ; [ 7 22],[ 5.33333333 10.66666667] ; [ 9.66666667 19.33333333],0
b1,1,0.082307,3.01875,[9 7] ; [ 9 21],[6.26086957 9.73913043] ; [11.73913043 18.26086957],0
d3,1,0.135198,2.231781,[11  4] ; [15 15],[8.66666667 6.33333333] ; [17.33333333 12.66666667],0
p9,1,0.2449,1.352163,[9 6] ; [23  7],[10.66666667  4.33333333] ; [21.33333333  8.66666667],0
r3,1,0.267227,1.230926,[14  2] ; [22  8],[12.52173913  3.47826087] ; [23.47826087  6.52173913],0
p3,1,0.269964,1.216931,[8 8] ; [10 20],[6.26086957 9.73913043] ; [11.73913043 18.26086957],0
n3,1,0.285049,1.142857,[5 5] ; [10  4],[6.25 3.75] ; [8.75 5.25],0
v1,1,0.308987,1.035,[ 4 12] ; [12 18],[ 5.56521739 10.43478261] ; [10.43478261 19.56521739],0
p8,1,0.342863,0.899698,[ 5 10] ; [14 15],[6.47727273 8.52272727] ; [12.52272727 16.47727273],0
s5,1,0.355358,0.85423,[8 7] ; [10 16],[6.58536585 8.41463415] ; [11.41463415 14.58536585],0
p4,1,0.423838,0.639649,[ 5 11] ; [13 17],[6.26086957 9.73913043] ; [11.73913043 18.26086957],0
v3,1,0.429195,0.625,[ 4 11] ; [ 5 25],[ 3. 12.] ; [ 6. 24.],0
a7,1,0.518605,0.416667,[8 7] ; [19 11],[9. 6.] ; [18. 12.],0
s2,1,0.55816,0.342901,[11  5] ; [18 12],[10.08695652  5.91304348] ; [18.91304348 11.08695652],0
n1,1,0.558185,0.342857,[4 6] ; [ 4 10],[3.33333333 6.66666667] ; [4.66666667 9.33333333],0
p10,1,0.605286,0.267097,[10  6] ; [21  9],[10.7826087  5.2173913] ; [20.2173913  9.7826087],0
v4,1,0.626162,0.237302,[13  3] ; [26  4],[13.56521739  2.43478261] ; [25.43478261  4.56521739],0
n2,1,0.632585,0.228571,[7 3] ; [11  3],[7.5 2.5] ; [10.5  3.5],0
a1,1,0.644079,0.213447,[ 1 15] ; [ 1 29],[ 0.69565217 15.30434783] ; [ 1.30434783 28.69565217],0
u1,1,0.644079,0.213447,[ 1 15] ; [ 1 29],[ 0.69565217 15.30434783] ; [ 1.30434783 28.69565217],0
s1,1,0.667262,0.184821,[ 1 15] ; [ 3 27],[ 1.39130435 14.60869565] ; [ 2.60869565 27.39130435],0
a6,1,0.701943,0.146459,[ 6 10] ; [13 17],[6.60869565 9.39130435] ; [12.39130435 17.60869565],0
b4,1,0.701943,0.146459,[10  6] ; [17 13],[9.39130435 6.60869565] ; [17.60869565 12.39130435],0
s6,1,0.718381,0.130049,[10  6] ; [19  9],[10.54545455  5.45454545] ; [18.45454545  9.54545455],0
a4,1,0.742295,0.10812,[ 5 11] ; [ 8 22],[ 4.52173913 11.47826087] ; [ 8.47826087 21.52173913],0
b5,1,0.805666,0.060526,[9 7] ; [18 12],[9.39130435 6.60869565] ; [17.60869565 12.39130435],0
v2,1,0.825709,0.048491,[ 5 11] ; [10 19],[ 5.33333333 10.66666667] ; [ 9.66666667 19.33333333],0
s3,1,0.849975,0.035778,[9 7] ; [16 14],[8.69565217 7.30434783] ; [16.30434783 13.69565217],0
a5,1,0.849975,0.035778,[7 9] ; [14 16],[7.30434783 8.69565217] ; [13.69565217 16.30434783],0
r4,1,0.849975,0.035778,[9 7] ; [16 14],[8.69565217 7.30434783] ; [16.30434783 13.69565217],0
p7,1,0.907548,0.013487,[8 7] ; [16 13],[8.18181818 6.81818182] ; [15.81818182 13.18181818],0
s8,1,0.955526,0.00311,[ 6 10] ; [11 19],[ 5.91304348 10.08695652] ; [11.08695652 18.91304348],0
