Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,5.5e-05,16.273559,[29 10] ; [10 26],[20.28 18.72] ; [18.72 17.28],1
d3,1,0.000495,12.136097,[27 11] ; [11 25],[19.51351351 18.48648649] ; [18.48648649 17.51351351],1
n4,1,0.003907,8.326606,[ 9 30] ; [20 16],[15.08 23.92] ; [13.92 22.08],0
d4,1,0.010838,6.491731,[31  8] ; [18 17],[25.82432432 13.17567568] ; [23.17567568 11.82432432],0
d5,1,0.01628,5.772353,[27 12] ; [15 21],[21.84 17.16] ; [20.16 15.84],0
p9,1,0.02069,5.35274,[28 10] ; [16 18],[23.22222222 14.77777778] ; [20.77777778 13.22222222],0
r3,1,0.025326,5.001451,[32  6] ; [22 14],[27.72972973 10.27027027] ; [26.27027027  9.72972973],0
b1,1,0.027771,4.842228,[15 24] ; [23 13],[19.76 19.24] ; [18.24 17.76],0
p2,1,0.028154,4.818636,[30  9] ; [19 17],[25.48 13.52] ; [23.52 12.48],0
p10,1,0.036391,4.378705,[25 13] ; [14 20],[20.58333333 17.41666667] ; [18.41666667 15.58333333],0
d2,1,0.061055,3.508495,[ 5 34] ; [11 25],[ 8.32 30.68] ; [ 7.68 28.32],0
p8,1,0.100549,2.696807,[16 21] ; [ 9 27],[12.67123288 24.32876712] ; [12.32876712 23.67123288],0
p4,1,0.113133,2.509895,[ 8 31] ; [13 22],[11.06756757 27.93243243] ; [ 9.93243243 25.06756757],0
r4,1,0.141198,2.164849,[25 14] ; [17 19],[21.84 17.16] ; [20.16 15.84],0
v4,1,0.148423,2.088384,[33  6] ; [24 10],[30.45205479  8.54794521] ; [26.54794521  7.45205479],0
r2,1,0.168891,1.892762,[33  6] ; [25 10],[30.56756757  8.43243243] ; [27.43243243  7.56756757],0
n1,1,0.170904,1.875,[3 9] ; [9 9],[4.8 7.2] ; [ 7.2 10.8],0
n5,1,0.172647,1.859806,[15 24] ; [19 16],[17.91891892 21.08108108] ; [16.08108108 18.91891892],0
d1,1,0.193749,1.688877,[14 25] ; [ 8 28],[11.44 27.56] ; [10.56 25.44],0
s6,1,0.209,1.578343,[19 20] ; [12 23],[16.33783784 22.66216216] ; [14.66216216 20.33783784],0
r1,1,0.217322,1.52197,[25 14] ; [18 18],[22.36 16.64] ; [20.64 15.36],0
b5,1,0.21996,1.50463,[26 13] ; [19 17],[23.4 15.6] ; [21.6 14.4],0
a4,1,0.232134,1.427739,[ 3 36] ; [ 6 30],[ 4.68 34.32] ; [ 4.32 31.68],0
s8,1,0.233103,1.421829,[11 28] ; [ 6 30],[ 8.84 30.16] ; [ 8.16 27.84],0
p7,1,0.234294,1.4146,[15 21] ; [19 15],[17.48571429 18.51428571] ; [16.51428571 17.48571429],0
a3,1,0.243645,1.359379,[17 22] ; [11 25],[14.56 24.44] ; [13.44 22.56],0
v1,1,0.254043,1.300933,[12 26] ; [16 20],[14.37837838 23.62162162] ; [13.62162162 22.37837838],0
s7,1,0.255086,1.29523,[13 25] ; [ 7 25],[10.85714286 27.14285714] ; [ 9.14285714 22.85714286],0
n3,1,0.27894,1.172249,[9 3] ; [10  8],[7.6 4.4] ; [11.4  6.6],0
b4,1,0.314547,1.011489,[24 15] ; [18 18],[21.84 17.16] ; [20.16 15.84],0
s5,1,0.344023,0.89538,[ 6 33] ; [ 8 25],[ 7.58333333 31.41666667] ; [ 6.41666667 26.58333333],0
a8,1,0.344743,0.892713,[ 3 35] ; [ 1 34],[ 2.08219178 35.91780822] ; [ 1.91780822 33.08219178],0
s1,1,0.344743,0.892713,[ 3 35] ; [ 1 34],[ 2.08219178 35.91780822] ; [ 1.91780822 33.08219178],0
s2,1,0.345292,0.890684,[16 23] ; [11 25],[14.04 24.96] ; [12.96 23.04],0
b2,1,0.384295,0.756918,[ 4 16] ; [ 7 15],[ 5.23809524 14.76190476] ; [ 5.76190476 16.23809524],0
b3,1,0.384295,0.756918,[ 4 16] ; [ 7 15],[ 5.23809524 14.76190476] ; [ 5.76190476 16.23809524],0
u3,1,0.420761,0.648189,[14  8] ; [13 12],[12.63829787  9.36170213] ; [14.36170213 10.63829787],0
n2,1,0.429195,0.625,[7 5] ; [13  5],[8. 4.] ; [12.  6.],0
p1,1,0.453432,0.562059,[ 4 35] ; [ 2 34],[ 3.12 35.88] ; [ 2.88 33.12],0
p3,1,0.456438,0.554616,[ 7 32] ; [ 9 27],[ 8.32 30.68] ; [ 7.68 28.32],0
s4,1,0.551717,0.354251,[11 28] ; [ 8 28],[ 9.88 29.12] ; [ 9.12 26.88],0
v3,1,0.557123,0.34471,[ 6 31] ; [ 4 31],[ 5.13888889 31.86111111] ; [ 4.86111111 30.13888889],0
u1,1,0.603788,0.26932,[ 2 37] ; [ 1 35],[ 1.56 37.44] ; [ 1.44 34.56],0
p11,1,0.725332,0.123441,[20 19] ; [17 19],[19.24 19.76] ; [17.76 18.24],0
v2,1,0.804656,0.06117,[11 25] ; [11 22],[11.47826087 24.52173913] ; [10.52173913 22.47826087],0
s3,1,0.815889,0.054212,[20 19] ; [17 18],[19.5 19.5] ; [17.5 17.5],0
u2,1,0.849975,0.035778,[14  7] ; [16  9],[13.69565217  7.30434783] ; [16.30434783  8.69565217],0
p6,1,0.965478,0.001873,[11 27] ; [10 24],[11.08333333 26.91666667] ; [ 9.91666667 24.08333333],0
