Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.0,117.234497,[249  57] ; [ 90 158],[187.24548736 118.75451264] ; [151.75451264  96.24548736],1
s2,1,0.0,49.621806,[251  67] ; [130 125],[211.44502618 106.55497382] ; [169.55497382  85.44502618],1
s3,1,0.0,30.676764,[255  62] ; [148 102],[225.31040564  91.68959436] ; [177.68959436  72.31040564],1
d2,1,6.8e-05,15.861054,[184 136] ; [104 151],[160.27826087 159.72173913] ; [127.72173913 127.27826087],1
a3,1,0.000139,14.521989,[253  66] ; [166  89],[232.85888502  86.14111498] ; [186.14111498  68.85888502],1
d1,1,0.000376,12.64715,[217 103] ; [137 120],[196.32582322 123.67417678] ; [157.67417678  99.32582322],1
p6,1,0.000826,11.181114,[148 169] ; [ 82 168],[128.58906526 188.41093474] ; [101.41093474 148.58906526],1
p10,1,0.003453,8.551014,[278  39] ; [198  54],[265.18804921  51.81195079] ; [210.81195079  41.18804921],0
v1,1,0.003473,8.540541,[193 114] ; [128 125],[175.97678571 131.02321429] ; [145.02321429 107.97678571],0
d5,1,0.004098,8.239726,[279  40] ; [201  55],[266.29565217  52.70434783] ; [213.70434783  42.29565217],0
p3,1,0.00495,7.897665,[187 133] ; [119 136],[170.29565217 149.70434783] ; [135.70434783 119.29565217],0
p5,1,0.008262,6.975788,[ 51 266] ; [ 22 232],[ 40.52714536 276.47285464] ; [ 32.47285464 221.52714536],0
p9,1,0.008785,6.866112,[289  29] ; [209  41],[278.80985915  39.19014085] ; [219.19014085  30.80985915],0
a5,1,0.009314,6.761555,[255  65] ; [180  76],[241.66666667  78.33333333] ; [193.33333333  62.66666667],0
u1,1,0.010192,6.600958,[ 79 241] ; [ 41 216],[ 66.55112652 253.44887348] ; [ 53.44887348 203.55112652],0
s5,1,0.011307,6.416342,[150 158] ; [ 95 155],[135.23297491 172.76702509] ; [109.76702509 140.23297491],0
n4,1,0.013353,6.121777,[260  58] ; [188  69],[247.76347826  70.23652174] ; [200.23652174  56.76347826],0
u4,1,0.015631,5.843937,[ 15 305] ; [  3 254],[  9.98266898 310.01733102] ; [  8.01733102 248.98266898],0
b1,1,0.01823,5.573942,[134 186] ; [ 83 174],[120.34662045 199.65337955] ; [ 96.65337955 160.34662045],0
v3,1,0.022423,5.212659,[137 168] ; [ 88 161],[123.87184116 181.12815884] ; [101.12815884 147.87184116],0
v4,1,0.023001,5.168461,[316   4] ; [246  11],[311.68110919   8.31889081] ; [250.31889081   6.68110919],0
p1,1,0.02394,5.098998,[ 36 282] ; [ 15 239],[ 28.35314685 289.64685315] ; [ 22.64685315 231.35314685],0
n5,1,0.026994,4.891216,[260  59] ; [189  67],[249.0973913  69.9026087] ; [199.9026087  56.0973913],0
p4,1,0.028794,4.779909,[217 102] ; [151 104],[204.51567944 114.48432056] ; [163.48432056  91.51567944],0
u3,1,0.029493,4.738622,[49 18] ; [50 39],[42.51923077 24.48076923] ; [56.48076923 32.51923077],0
r4,1,0.031152,4.644551,[310  10] ; [239  18],[304.47140381  15.52859619] ; [244.52859619  12.47140381],0
p7,1,0.035628,4.414808,[214  95] ; [150  97],[202.29496403 106.70503597] ; [161.70503597  85.29496403],0
p8,1,0.037297,4.336815,[179 135] ; [121 130],[166.72566372 147.27433628] ; [133.27433628 117.72566372],0
b2,1,0.037919,4.308641,[ 89 126] ; [40 92],[ 79.92795389 135.07204611] ; [49.07204611 82.92795389],0
b3,1,0.037919,4.308641,[ 89 126] ; [40 92],[ 79.92795389 135.07204611] ; [49.07204611 82.92795389],0
a7,1,0.042268,4.124445,[224  95] ; [199  57],[234.67304348  84.32695652] ; [188.32695652  67.67304348],0
r1,1,0.055784,3.658486,[279  39] ; [210  46],[270.90940767  47.09059233] ; [218.09059233  37.90940767],0
p11,1,0.06638,3.370349,[256  64] ; [189  68],[246.79376083  73.20623917] ; [198.20623917  58.79376083],0
a4,1,0.071164,3.255974,[159 161] ; [107 147],[148.29268293 171.70731707] ; [117.70731707 136.29268293],0
n6,1,0.078383,3.098106,[283  35] ; [215  41],[275.89547038  42.10452962] ; [222.10452962  33.89547038],0
a2,1,0.082608,3.012827,[ 94 226] ; [ 59 198],[ 84.85268631 235.14731369] ; [ 68.14731369 188.85268631],0
p12,1,0.09369,2.809807,[ 37 281] ; [ 19 236],[ 31.07853403 286.92146597] ; [ 24.92146597 230.07853403],0
a8,1,0.135197,2.231794,[ 47 245] ; [ 27 207],[ 41.07984791 250.92015209] ; [ 32.92015209 201.07984791],0
b4,1,0.142814,2.147369,[185 135] ; [164  93],[193.55285962 126.44714038] ; [155.44714038 101.55285962],0
u2,1,0.205768,1.600954,[43 23] ; [49 40],[39.17419355 26.82580645] ; [52.82580645 36.17419355],0
v2,1,0.232239,1.427099,[181 123] ; [134 112],[174.10909091 129.89090909] ; [140.89090909 105.10909091],0
d4,1,0.24024,1.379183,[273  46] ; [209  46],[267.87108014  51.12891986] ; [214.12891986  40.87108014],0
n3,1,0.251065,1.317367,[48 23] ; [46 14],[50.94656489 20.05343511] ; [43.05343511 16.94656489],0
n1,1,0.256898,1.285399,[33 38] ; [22 38],[29.80916031 41.19083969] ; [25.19083969 34.80916031],0
n2,1,0.311255,1.025343,[53 18] ; [50 11],[55.40151515 15.59848485] ; [47.59848485 13.40151515],0
r3,1,0.330809,0.945727,[312   8] ; [245  10],[309.9826087  10.0173913] ; [247.0173913   7.9826087],0
d3,1,0.586999,0.295056,[223  97] ; [183  72],[225.94782609  94.05217391] ; [180.05217391  74.94782609],0
a1,1,0.646539,0.210292,[ 19 301] ; [ 13 244],[ 17.74696707 302.25303293] ; [ 14.25303293 242.74696707],0
a6,1,0.805855,0.060406,[217 102] ; [171  84],[215.63066202 103.36933798] ; [172.36933798  82.63066202],0
s1,1,0.909017,0.013059,[ 12 304] ; [ 10 241],[ 12.26102293 303.73897707] ; [  9.73897707 241.26102293],0
s4,1,0.950991,0.003778,[ 69 249] ; [ 55 196],[ 69.30052724 248.69947276] ; [ 54.69947276 196.30052724],0
p2,1,0.959051,0.002636,[267  52] ; [213  41],[267.22513089  51.77486911] ; [212.77486911  41.22513089],0
b5,1,0.998569,3e-06,[198 122] ; [159  98],[197.98960139 122.01039861] ; [159.01039861  97.98960139],0
