Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,1e-06,24.485089,[ 8 22] ; [60 17],[19.06542056 10.93457944] ; [48.93457944 28.06542056],1
p2,1,2.5e-05,17.727087,[13 17] ; [63 12],[21.71428571  8.28571429] ; [54.28571429 20.71428571],1
d3,1,0.000139,14.517886,[14 16] ; [64 13],[21.86915888  8.13084112] ; [56.13084112 20.86915888],1
p9,1,0.001216,10.46625,[16 13] ; [63 11],[22.24271845  6.75728155] ; [56.75728155 17.24271845],0
p10,1,0.007167,7.23069,[16 13] ; [60 14],[21.39805825  7.60194175] ; [54.60194175 19.39805825],0
n1,1,0.007384,7.177033,[7 3] ; [ 4 16],[3.66666667 6.33333333] ; [ 7.33333333 12.66666667],0
b5,1,0.009074,6.808283,[12 18] ; [52 25],[17.94392523 12.05607477] ; [46.05607477 30.94392523],0
u1,1,0.01097,6.47018,[ 1 29] ; [19 58],[ 5.60747664 24.39252336] ; [14.39252336 62.60747664],0
d1,1,0.011572,6.375273,[11 19] ; [49 28],[16.82242991 13.17757009] ; [43.17757009 33.82242991],0
n3,1,0.014611,5.962733,[5 5] ; [18  2],[7.66666667 2.33333333] ; [15.33333333  4.66666667],0
r2,1,0.025536,4.987133,[25  5] ; [73  3],[27.73584906  2.26415094] ; [70.26415094  5.73584906],0
a2,1,0.026437,4.927197,[ 2 28] ; [20 57],[ 6.1682243 23.8317757] ; [15.8317757 61.1682243],0
v4,1,0.031727,4.61317,[26  4] ; [74  2],[28.30188679  1.69811321] ; [71.69811321  4.30188679],0
r3,1,0.033069,4.542205,[27  3] ; [76  1],[28.87850467  1.12149533] ; [74.12149533  2.87850467],0
d5,1,0.041295,4.163877,[20 10] ; [65 12],[23.8317757  6.1682243] ; [61.1682243 15.8317757],0
d4,1,0.083224,3.000786,[23  7] ; [69  8],[25.79439252  4.20560748] ; [66.20560748 10.79439252],0
s3,1,0.089284,2.887244,[22  8] ; [67 10],[24.95327103  5.04672897] ; [64.04672897 12.95327103],0
r1,1,0.126184,2.338839,[18 12] ; [57 19],[21.22641509  8.77358491] ; [53.77358491 22.22641509],0
r4,1,0.129203,2.302051,[23  7] ; [68  9],[25.51401869  4.48598131] ; [65.48598131 11.51401869],0
a1,1,0.150507,2.067104,[ 4 26] ; [ 4 73],[ 2.24299065 27.75700935] ; [ 5.75700935 71.24299065],0
v1,1,0.162683,1.949109,[16 14] ; [28 45],[12.81553398 17.18446602] ; [31.18446602 41.81553398],0
u2,1,0.184946,1.757424,[6 7] ; [19  9],[7.92682927 5.07317073] ; [17.07317073 10.92682927],0
n6,1,0.185344,1.754248,[16 14] ; [51 25],[18.96226415 11.03773585] ; [48.03773585 27.96226415],0
p3,1,0.194654,1.682039,[16 14] ; [30 46],[13.01886792 16.98113208] ; [32.98113208 43.01886792],0
a4,1,0.215384,1.534863,[14 16] ; [26 51],[11.21495327 18.78504673] ; [28.78504673 48.21495327],0
b1,1,0.234698,1.412162,[13 17] ; [24 53],[10.37383178 19.62616822] ; [26.62616822 50.37383178],0
s7,1,0.302692,1.062296,[11 15] ; [40 34],[13.26 12.74] ; [37.74 36.26],0
a5,1,0.340427,0.908824,[19 11] ; [56 21],[21.02803738  8.97196262] ; [53.97196262 23.02803738],0
u3,1,0.378019,0.777133,[8 5] ; [21  7],[9.19512195 3.80487805] ; [19.80487805  8.19512195],0
n4,1,0.38698,0.748409,[ 9 21] ; [30 47],[10.93457944 19.06542056] ; [28.06542056 48.93457944],0
p12,1,0.41411,0.666969,[ 1 28] ; [ 6 70],[ 1.93333333 27.06666667] ; [ 5.06666667 70.93333333],0
d2,1,0.452708,0.563863,[12 18] ; [37 40],[13.73831776 16.26168224] ; [35.26168224 41.73831776],0
b4,1,0.505339,0.443706,[17 13] ; [49 28],[18.5046729 11.4953271] ; [47.4953271 29.5046729],0
p1,1,0.560828,0.338273,[ 3 27] ; [ 5 70],[ 2.28571429 27.71428571] ; [ 5.71428571 69.28571429],0
s4,1,0.586105,0.296469,[11 19] ; [24 53],[ 9.81308411 20.18691589] ; [25.18691589 51.81308411],0
v3,1,0.609497,0.260909,[ 7 21] ; [22 51],[ 8.03960396 19.96039604] ; [20.96039604 52.03960396],0
p6,1,0.619708,0.246278,[ 8 22] ; [24 52],[ 9.05660377 20.94339623] ; [22.94339623 53.05660377],0
p11,1,0.678607,0.171698,[17 13] ; [47 30],[17.94392523 12.05607477] ; [46.05607477 30.94392523],0
a3,1,0.678607,0.171698,[17 13] ; [47 30],[17.94392523 12.05607477] ; [46.05607477 30.94392523],0
b2,1,0.74317,0.10736,[ 4 15] ; [ 9 27],[ 4.49090909 14.50909091] ; [ 8.50909091 27.49090909],0
b3,1,0.74317,0.10736,[ 4 15] ; [ 9 27],[ 4.49090909 14.50909091] ; [ 8.50909091 27.49090909],0
n2,1,0.770335,0.085227,[7 3] ; [15  5],[7.33333333 2.66666667] ; [14.66666667  5.33333333],0
a8,1,0.789865,0.071014,[ 2 26] ; [ 4 66],[ 1.71428571 26.28571429] ; [ 4.28571429 65.71428571],0
s8,1,0.85629,0.032797,[15 15] ; [37 40],[14.57943925 15.42056075] ; [37.42056075 39.57943925],0
s5,1,0.885835,0.020614,[12 16] ; [32 40],[12.32 15.68] ; [31.68 40.32],0
p8,1,0.899324,0.016006,[12 18] ; [29 46],[11.71428571 18.28571429] ; [29.28571429 45.71428571],0
p4,1,0.902844,0.014901,[15 15] ; [39 37],[15.28301887 14.71698113] ; [38.71698113 37.28301887],0
s6,1,0.910398,0.012664,[24  5] ; [63 14],[23.80188679  5.19811321] ; [63.19811321 13.80188679],0
p7,1,0.95915,0.002623,[16 14] ; [38 34],[15.88235294 14.11764706] ; [38.11764706 33.88235294],0
v2,1,0.971849,0.001245,[15 14] ; [37 34],[15.08 13.92] ; [36.92 34.08],0
s1,1,0.974043,0.001059,[ 2 28] ; [ 5 72],[ 1.96261682 28.03738318] ; [ 5.03738318 71.96261682],0
