Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.0,49.977286,[226  94] ; [ 96 140],[185.32374101 134.67625899] ; [136.67625899  99.32374101],1
v3,1,0.0,28.045429,[175 144] ; [ 78 163],[144.11964286 174.88035714] ; [108.88035714 132.11964286],1
p10,1,1e-06,25.21036,[290  34] ; [179  65],[267.52816901  56.47183099] ; [201.47183099  42.52816901],1
p2,1,1e-06,24.77387,[288  38] ; [177  69],[265.01748252  60.98251748] ; [199.98251748  46.01748252],1
p4,1,1e-06,23.322724,[226 100] ; [121 124],[198.11208406 127.88791594] ; [148.88791594  96.11208406],1
p9,1,2e-06,22.339997,[295  30] ; [183  57],[274.95575221  50.04424779] ; [203.04424779  36.95575221],1
p7,1,3e-06,21.739162,[229  89] ; [128 114],[202.725 115.275] ; [154.275  87.725],1
p6,1,2.2e-05,18.044163,[145 178] ; [ 67 177],[120.76895944 202.23104056] ; [ 91.23104056 152.76895944],1
s8,1,5.2e-05,16.389239,[168 158] ; [ 85 161],[144.19230769 181.80769231] ; [108.80769231 137.19230769],1
p8,1,9.7e-05,15.185182,[193 129] ; [105 137],[170.13475177 151.86524823] ; [127.86524823 114.13475177],1
v4,1,0.000102,15.105263,[316  12] ; [216  30],[304.  24.] ; [228.  18.],1
p3,1,0.000102,15.092424,[186 140] ; [100 146],[163. 163.] ; [123. 123.],1
r4,1,0.000122,14.754483,[304  25] ; [203  45],[289.08665511  39.91334489] ; [217.91334489  30.08665511],1
s6,1,0.000161,14.239183,[230  97] ; [133 109],[208.61335677 118.38664323] ; [154.38664323  87.61335677],1
p11,1,0.000191,13.915236,[276  53] ; [176  72],[257.72616984  71.27383016] ; [194.27383016  53.72616984],1
r3,1,0.000455,12.291166,[313  15] ; [215  31],[301.71428571  26.28571429] ; [226.28571429  19.71428571],1
r1,1,0.001155,10.561095,[276  51] ; [182  66],[260.4626087  66.5373913] ; [197.5373913  50.4626087],0
r2,1,0.001807,9.735547,[314  12] ; [221  25],[304.91258741  21.08741259] ; [230.08741259  15.91258741],0
s2,1,0.002092,9.467237,[173 152] ; [ 99 147],[154.81611208 170.18388792] ; [117.18388792 128.81611208],0
s7,1,0.00547,7.717019,[171 139] ; [100 132],[155. 155.] ; [116. 116.],0
s5,1,0.00632,7.456853,[114 208] ; [ 60 183],[ 99.16460177 222.83539823] ; [ 74.83539823 168.16460177],0
b5,1,0.008573,6.909774,[207 122] ; [129 119],[191.58405546 137.41594454] ; [144.41594454 103.58405546],0
u3,1,0.009142,6.794917,[50 30] ; [34 47],[41.73913043 38.26086957] ; [42.26086957 38.73913043],0
n6,1,0.01107,6.454036,[298  29] ; [208  39],[288.26132404  38.73867596] ; [217.73867596  29.26132404],0
d4,1,0.012373,6.256644,[273  54] ; [183  61],[261.14185639  65.85814361] ; [194.85814361  49.14185639],0
d1,1,0.019221,5.481317,[207 122] ; [132 116],[193.29462738 135.70537262] ; [145.70537262 102.29462738],0
a3,1,0.023925,5.100053,[249  77] ; [167  79],[237.09090909  88.90909091] ; [178.90909091  67.09090909],0
u4,1,0.028118,4.820795,[ 12 317] ; [  2 246],[  7.98266898 321.01733102] ; [  6.01733102 241.98266898],0
a5,1,0.034247,4.482308,[256  73] ; [173  74],[245.03645833  83.96354167] ; [183.96354167  63.03645833],0
d3,1,0.046288,3.971098,[227 101] ; [150  95],[215.80453752 112.19546248] ; [161.19546248  83.80453752],0
p5,1,0.053138,3.739562,[ 53 273] ; [ 26 219],[ 45.1033275 280.8966725] ; [ 33.8966725 211.1033275],0
p12,1,0.05355,3.726659,[ 35 291] ; [ 15 230],[ 28.54640981 297.45359019] ; [ 21.45359019 223.54640981],0
n3,1,0.073867,3.194923,[41 14] ; [44 30],[36.24031008 18.75968992] ; [48.75968992 25.24031008],0
b1,1,0.101833,2.676595,[125 204] ; [111 137],[134.56499133 194.43500867] ; [101.43500867 146.56499133],0
n4,1,0.113198,2.508995,[298  30] ; [215  33],[292.125  35.875] ; [220.875  27.125],0
d5,1,0.113524,2.504469,[269  58] ; [190  57],[261.48606272  65.51393728] ; [197.51393728  49.48606272],0
n2,1,0.115937,2.47137,[45 10] ; [53 23],[41.14503817 13.85496183] ; [56.85496183 19.14503817],0
u1,1,0.130446,2.287194,[ 68 261] ; [ 39 209],[ 61.01039861 267.98960139] ; [ 45.98960139 202.01039861],0
s3,1,0.177958,1.814599,[180 142] ; [123 122],[172.07407407 149.92592593] ; [130.92592593 114.07407407],0
a2,1,0.191527,1.705831,[ 90 239] ; [ 56 192],[ 83.24783362 245.75216638] ; [ 62.75216638 185.24783362],0
u2,1,0.230933,1.435103,[46 33] ; [39 41],[42.2327044 36.7672956] ; [42.7672956 37.2327044],0
a7,1,0.271645,1.208421,[234  94] ; [165  81],[228. 100.] ; [171.  75.],0
s1,1,0.282574,1.154669,[  8 314] ; [ 10 235],[ 10.22222222 311.77777778] ; [  7.77777778 237.22222222],0
n1,1,0.354579,0.857003,[29 26] ; [32 40],[26.41732283 28.58267717] ; [34.58267717 37.41732283],0
b4,1,0.408372,0.683536,[197 132] ; [140 108],[192.1542461 136.8457539] ; [144.8457539 103.1542461],0
b2,1,0.447409,0.577206,[ 97 127] ; [57 88],[ 93.48509485 130.51490515] ; [60.51490515 84.48509485],0
b3,1,0.447409,0.577206,[ 97 127] ; [57 88],[ 93.48509485 130.51490515] ; [60.51490515 84.48509485],0
a1,1,0.510691,0.432651,[ 17 312] ; [ 16 232],[ 18.81629116 310.18370884] ; [ 14.18370884 233.81629116],0
d2,1,0.620883,0.244628,[169 158] ; [121 123],[166.07705779 160.92294221] ; [123.92294221 120.07705779],0
a4,1,0.667165,0.184936,[153 173] ; [111 135],[150.46153846 175.53846154] ; [113.53846154 132.46153846],0
a6,1,0.814375,0.055124,[225 102] ; [167  79],[223.70680628 103.29319372] ; [168.29319372  77.70680628],0
a8,1,0.815986,0.054154,[ 52 241] ; [ 38 186],[ 51.00580271 241.99419729] ; [ 38.99419729 185.00580271],0
p1,1,0.903797,0.014609,[ 33 295] ; [ 24 222],[ 32.57142857 295.42857143] ; [ 24.42857143 221.57142857],0
