Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,55.990551,[116  19] ; [19 40],[93.94329897 41.05670103] ; [41.05670103 17.94329897],1
s6,1,0.0,28.040955,[88 46] ; [14 44],[71.1875 62.8125] ; [30.8125 27.1875],1
r3,1,2e-06,22.94619,[119  16] ; [34 25],[106.46907216  28.53092784] ; [46.53092784 12.46907216],1
d4,1,3e-06,21.56345,[112  21] ; [31 28],[99.05729167 33.94270833] ; [43.94270833 15.05729167],1
r2,1,1e-05,19.470922,[126   8] ; [41 17],[116.55208333  17.44791667] ; [50.44791667  7.55208333],1
s7,1,1.1e-05,19.308757,[61 63] ; [ 8 47],[47.79888268 76.20111732] ; [21.20111732 33.79888268],1
v4,1,1.4e-05,18.9217,[121  13] ; [38 21],[110.39378238  23.60621762] ; [48.60621762 10.39378238],1
d5,1,2.5e-05,17.792352,[108  26] ; [30 29],[95.8134715 38.1865285] ; [42.1865285 16.8134715],1
s8,1,6.4e-05,15.980545,[52 82] ; [ 6 53],[40.26943005 93.73056995] ; [17.73056995 41.26943005],1
d1,1,0.000296,13.094252,[77 58] ; [17 42],[65.41237113 69.58762887] ; [28.58762887 30.41237113],1
a7,1,0.000319,12.957874,[100  35] ; [28 31],[89.07216495 45.92783505] ; [38.92783505 20.07216495],1
s2,1,0.001972,9.575175,[64 71] ; [14 45],[54.27835052 80.72164948] ; [23.72164948 35.27835052],0
v2,1,0.002035,9.517878,[64 64] ; [15 43],[54.3655914 73.6344086] ; [24.6344086 33.3655914],0
p10,1,0.003514,8.519128,[74 57] ; [19 38],[64.80319149 66.19680851] ; [28.19680851 28.80319149],0
p2,1,0.005684,7.647899,[89 44] ; [27 32],[80.35416667 52.64583333] ; [35.64583333 23.35416667],0
p6,1,0.006276,7.469408,[42 91] ; [ 7 49],[34.48148148 98.51851852] ; [14.51851852 41.48148148],0
u3,1,0.010297,6.582857,[24 18] ; [ 8 22],[18.66666667 23.33333333] ; [13.33333333 16.66666667],0
b4,1,0.010365,6.571042,[84 51] ; [25 34],[75.85051546 59.14948454] ; [33.14948454 25.85051546],0
u1,1,0.01086,6.488165,[ 26 109] ; [ 3 56],[ 20.18041237 114.81958763] ; [ 8.81958763 50.18041237],0
a3,1,0.012691,6.21167,[91 41] ; [29 29],[83.36842105 48.63157895] ; [36.63157895 21.36842105],0
a5,1,0.021194,5.310753,[90 45] ; [29 30],[82.80927835 52.19072165] ; [36.19072165 22.80927835],0
a4,1,0.022324,5.220322,[63 71] ; [17 41],[55.83333333 78.16666667] ; [24.16666667 33.83333333],0
v3,1,0.027737,4.844349,[48 77] ; [13 46],[41.44021739 83.55978261] ; [19.55978261 39.44021739],0
a2,1,0.027958,4.830684,[38 97] ; [ 8 51],[ 32.01030928 102.98969072] ; [13.98969072 45.01030928],0
u2,1,0.037615,4.322349,[22 20] ; [ 8 21],[17.74647887 24.25352113] ; [12.25352113 16.74647887],0
d3,1,0.039382,4.244299,[86 48] ; [28 30],[79.5625 54.4375] ; [34.4375 23.5625],0
