Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,3e-06,22.124139,[323  64] ; [29 23],[310.30523918  76.69476082] ; [41.69476082 10.30523918],1
p7,1,3e-06,22.101626,[305  78] ; [26 26],[291.43218391  91.56781609] ; [39.56781609 12.43218391],1
p8,1,1.1e-05,19.263149,[266 118] ; [20 32],[251.88990826 132.11009174] ; [34.11009174 17.88990826],1
p9,1,2.8e-05,17.562529,[349  35] ; [37 15],[339.96330275  44.03669725] ; [46.03669725  5.96330275],1
d3,1,0.000701,11.487866,[276 111] ; [25 27],[265.34624146 121.65375854] ; [35.65375854 16.34624146],1
d4,1,0.002976,8.822064,[330  56] ; [36 16],[322.54794521  63.45205479] ; [43.45205479  8.54794521],0
p10,1,0.005348,7.757807,[335  48] ; [38 14],[328.41149425  54.58850575] ; [44.58850575  7.41149425],0
v1,1,0.018189,5.577835,[236 142] ; [22 27],[228.39344262 149.60655738] ; [29.60655738 19.39344262],0
d5,1,0.018515,5.546796,[331  55] ; [38 14],[325.19178082  60.80821918] ; [43.80821918  8.19178082],0
a3,1,0.021157,5.313792,[294  91] ; [32 20],[287.20823799  97.79176201] ; [38.79176201 13.20823799],0
p11,1,0.026015,4.955027,[324  63] ; [37 15],[318.23917995  68.76082005] ; [42.76082005  9.23917995],0
a2,1,0.050329,3.830455,[109 278] ; [ 8 44],[103.14123007 283.85876993] ; [13.85876993 38.14123007],0
p6,1,0.079913,3.06666,[188 192] ; [19 33],[182.08333333 197.91666667] ; [24.91666667 27.08333333],0
s7,1,0.081281,3.039092,[215 149] ; [22 26],[209.38834951 154.61165049] ; [27.61165049 20.38834951],0
v3,1,0.081596,3.032818,[176 198] ; [17 33],[170.24056604 203.75943396] ; [22.75943396 27.24056604],0
d1,1,0.081828,3.02821,[249 138] ; [27 25],[243.30751708 143.69248292] ; [32.69248292 19.30751708],0
p5,1,0.121851,2.393362,[ 73 313] ; [ 5 45],[ 69.05504587 316.94495413] ; [ 8.94495413 41.05504587],0
s3,1,0.198249,1.655231,[228 156] ; [26 26],[223.70642202 160.29357798] ; [30.29357798 21.70642202],0
s1,1,0.206355,1.596819,[ 10 375] ; [ 3 49],[ 11.45308924 373.54691076] ; [ 1.54691076 50.45308924],0
s8,1,0.214837,1.538531,[205 179] ; [23 29],[200.80733945 183.19266055] ; [27.19266055 24.80733945],0
u2,1,0.241145,1.373886,[54 37] ; [ 9 11],[51.64864865 39.35135135] ; [11.35135135  8.64864865],0
n4,1,0.245505,1.348703,[322  64] ; [40 12],[319.02283105  66.97716895] ; [42.97716895  9.02283105],0
a1,1,0.267993,1.226993,[ 22 365] ; [ 5 47],[ 23.80182232 363.19817768] ; [ 3.19817768 48.80182232],0
a7,1,0.279798,1.168069,[287  99] ; [35 17],[283.7716895 102.2283105] ; [38.2283105 13.7716895],0
b1,1,0.28119,1.161328,[163 224] ; [26 26],[166.61275626 220.38724374] ; [22.38724374 29.61275626],0
d2,1,0.290072,1.119285,[205 182] ; [23 28],[201.45205479 185.54794521] ; [26.54794521 24.45205479],0
p1,1,0.299148,1.077989,[ 49 337] ; [ 4 48],[ 46.70776256 339.29223744] ; [ 6.29223744 45.70776256],0
u1,1,0.354912,0.855817,[ 89 298] ; [ 9 43],[ 86.39179954 300.60820046] ; [11.60820046 40.39179954],0
a6,1,0.383495,0.759469,[268 118] ; [33 19],[265.26484018 120.73515982] ; [35.73515982 16.26484018],0
a5,1,0.421726,0.645501,[302  85] ; [38 14],[299.72665148  87.27334852] ; [40.27334852 11.72665148],0
p12,1,0.421818,0.645243,[ 44 342] ; [ 4 48],[ 42.30136986 343.69863014] ; [ 5.69863014 46.30136986],0
s6,1,0.454034,0.560562,[274 105] ; [35 17],[271.71925754 107.28074246] ; [37.28074246 14.71925754],0
s5,1,0.460488,0.544709,[152 219] ; [17 31],[149.63961814 221.36038186] ; [19.36038186 28.63961814],0
r1,1,0.476112,0.507756,[319  66] ; [41 11],[317.1624714  67.8375286] ; [42.8375286  9.1624714],0
n5,1,0.491231,0.473829,[304  80] ; [39 13],[302.09174312  81.90825688] ; [40.90825688 11.09174312],0
s2,1,0.524372,0.405286,[210 174] ; [26 26],[207.85321101 176.14678899] ; [28.14678899 23.85321101],0
r3,1,0.525926,0.402257,[372  14] ; [51  1],[372.78082192  13.21917808] ; [50.21917808  1.78082192],0
b5,1,0.543633,0.368847,[221 166] ; [32 20],[223.03189066 163.96810934] ; [29.96810934 22.03189066],0
v2,1,0.554591,0.349157,[230 146] ; [29 22],[228.06557377 147.93442623] ; [30.93442623 20.06557377],0
