Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,200.951965,[317  53] ; [ 33 120],[247.60994264 122.39005736] ; [102.39005736  50.60994264],1
s7,1,0.0,45.71646,[260  99] ; [59 87],[226.77425743 132.22574257] ; [92.22574257 53.77425743],1
s8,1,0.0,33.332531,[245 123] ; [60 93],[215.4318618 152.5681382] ; [89.5681382 63.4318618],1
r2,1,0.001785,9.758618,[356   9] ; [139  13],[349.46808511  15.53191489] ; [145.53191489   6.46808511],0
a3,1,0.002879,8.882386,[286  83] ; [100  54],[272.34034417  96.65965583] ; [113.65965583  40.34034417],0
s5,1,0.012587,6.226246,[174 182] ; [56 96],[161.18110236 194.81889764] ; [68.81889764 83.18110236],0
d2,1,0.021258,5.305477,[196 172] ; [65 89],[184. 184.] ; [77. 77.],0
s1,1,0.024069,5.089624,[ 17 349] ; [  1 151],[ 12.71814672 353.28185328] ; [  5.28185328 146.71814672],0
a2,1,0.03745,4.329832,[107 263] ; [ 31 123],[ 97.44274809 272.55725191] ; [ 40.55725191 113.44274809],0
d1,1,0.043622,4.07113,[239 131] ; [85 69],[228.77862595 141.22137405] ; [95.22137405 58.77862595],0
b1,1,0.049091,3.872225,[139 231] ; [ 44 110],[129.21755725 240.78244275] ; [ 53.78244275 100.21755725],0
p1,1,0.049206,3.868306,[ 39 329] ; [  8 146],[ 33.13409962 334.86590038] ; [ 13.86590038 140.13409962],0
d4,1,0.050198,3.834835,[318  49] ; [123  31],[310.64683301  56.35316699] ; [130.35316699  23.64683301],0
n2,1,0.065096,3.402543,[65 15] ; [25 13],[61.01694915 18.98305085] ; [28.98305085  9.01694915],0
r3,1,0.067838,3.334563,[360   8] ; [146   8],[356.72030651  11.27969349] ; [149.27969349   4.72030651],0
s4,1,0.072246,3.231244,[ 85 283] ; [ 24 126],[ 77.43629344 290.56370656] ; [ 31.56370656 118.43629344],0
a4,1,0.07467,3.177255,[184 186] ; [63 90],[174.7418738 195.2581262] ; [72.2581262 80.7418738],0
u3,1,0.096788,2.75768,[55 27] ; [28 25],[50.41481481 31.58518519] ; [32.58518519 20.41481481],0
u4,1,0.104864,2.629973,[ 15 355] ; [  2 152],[ 12.00381679 357.99618321] ; [  4.99618321 149.00381679],0
p10,1,0.148906,2.083424,[335  33] ; [145   8],[339.0403071  28.9596929] ; [140.9596929  12.0403071],0
n1,1,0.165521,1.923045,[36 44] ; [12 26],[32.54237288 47.45762712] ; [15.45762712 22.54237288],0
r1,1,0.170431,1.879151,[309  58] ; [122  32],[303.60268714  63.39731286] ; [127.39731286  26.60268714],0
p12,1,0.236381,1.402046,[ 47 322] ; [ 14 140],[ 43.03824092 325.96175908] ; [ 17.96175908 136.03824092],0
p4,1,0.252522,1.309297,[239 129] ; [108  46],[244.62835249 123.37164751] ; [102.37164751  51.62835249],0
n3,1,0.257278,1.283345,[60 20] ; [24 13],[57.43589744 22.56410256] ; [26.56410256 10.43589744],0
v3,1,0.268772,1.223005,[148 207] ; [55 96],[142.42094862 212.57905138] ; [60.57905138 90.42094862],0
a5,1,0.312559,1.019832,[283  87] ; [124  30],[287.38549618  82.61450382] ; [119.61450382  34.38549618],0
u1,1,0.32152,0.982753,[ 79 291] ; [ 27 127],[ 74.84732824 295.15267176] ; [ 31.15267176 122.84732824],0
v1,1,0.360888,0.834802,[205 150] ; [95 58],[209.64566929 145.35433071] ; [90.35433071 62.64566929],0
v4,1,0.476148,0.507673,[358  10] ; [148   6],[356.72030651  11.27969349] ; [149.27969349   4.72030651],0
p11,1,0.503097,0.448397,[307  63] ; [124  30],[304.33206107  65.66793893] ; [126.66793893  27.33206107],0
p7,1,0.553248,0.351531,[246 111] ; [100  51],[243.15354331 113.84645669] ; [102.84645669  48.15354331],0
v2,1,0.629184,0.233169,[209 142] ; [87 65],[206.5526839 144.4473161] ; [89.4473161 62.5526839],0
p2,1,0.632017,0.229336,[324  45] ; [132  21],[322.34482759  46.65517241] ; [133.65517241  19.34482759],0
b3,1,0.654712,0.20001,[ 89 137] ; [33 57],[ 87.25316456 138.74683544] ; [34.74683544 55.25316456],0
b2,1,0.654712,0.20001,[ 89 137] ; [33 57],[ 87.25316456 138.74683544] ; [34.74683544 55.25316456],0
n4,1,0.680158,0.169948,[295  73] ; [121  33],[293.27203065  74.72796935] ; [122.72796935  31.27203065],0
b5,1,0.725512,0.123272,[227 143] ; [97 57],[228.77862595 141.22137405] ; [95.22137405 58.77862595],0
n5,1,0.733804,0.115648,[293  75] ; [119  33],[291.56923077  76.43076923] ; [120.43076923  31.56923077],0
a8,1,0.736593,0.113144,[ 52 293] ; [ 19 118],[ 50.81950207 294.18049793] ; [ 20.18049793 116.81950207],0
a7,1,0.748696,0.10263,[271  98] ; [111  43],[269.51816444  99.48183556] ; [112.48183556  41.51816444],0
p8,1,0.775179,0.081571,[201 165] ; [85 66],[202.46808511 163.53191489] ; [83.53191489 67.46808511],0
d3,1,0.824731,0.049046,[264 104] ; [109  45],[262.95785441 105.04214559] ; [110.04214559  43.95785441],0
d5,1,0.828609,0.046866,[307  60] ; [130  24],[307.82917466  59.17082534] ; [129.17082534  24.82917466],0
a1,1,0.841404,0.040039,[ 20 350] ; [  9 145],[ 20.47709924 349.52290076] ; [  8.52290076 145.47709924],0
r4,1,0.873534,0.025336,[345  25] ; [143  11],[344.58015267  25.41984733] ; [143.41984733  10.58015267],0
a6,1,0.883121,0.021613,[255 112] ; [106  48],[254.29366603 112.70633397] ; [106.70633397  47.29366603],0
u2,1,0.884756,0.021008,[50 31] ; [34 20],[50.4 30.6] ; [33.6 20.4],0
p5,1,0.921545,0.0097,[ 54 313] ; [ 22 131],[ 53.63846154 313.36153846] ; [ 22.36153846 130.63846154],0
n6,1,0.933577,0.006946,[319  46] ; [135  19],[319.28709056  45.71290944] ; [134.71290944  19.28709056],0
p3,1,0.954789,0.003214,[204 165] ; [85 68],[204.29310345 164.70689655] ; [84.70689655 68.29310345],0
p6,1,0.957129,0.00289,[156 209] ; [65 88],[155.72393822 209.27606178] ; [65.27606178 87.72393822],0
b4,1,0.965031,0.001922,[217 153] ; [90 64],[216.77480916 153.22519084] ; [90.22519084 63.77480916],0
