Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.00672,7.346264,[25 12] ; [ 9 18],[19.65625 17.34375] ; [14.34375 12.65625],0
p9,1,0.010362,6.571589,[26  8] ; [12 15],[21.18032787 12.81967213] ; [16.81967213 10.18032787],0
n6,1,0.013456,6.108173,[27  9] ; [12 15],[22.28571429 13.71428571] ; [16.71428571 10.28571429],0
p10,1,0.050092,3.838371,[23 12] ; [11 16],[19.19354839 15.80645161] ; [14.80645161 12.19354839],0
v2,1,0.055255,3.674372,[16 19] ; [ 6 21],[12.41935484 22.58064516] ; [ 9.58064516 17.41935484],0
p11,1,0.073226,3.209183,[26 11] ; [13 14],[22.546875 14.453125] ; [16.453125 10.546875],0
d3,1,0.076434,3.139139,[15 22] ; [17 10],[18.5 18.5] ; [13.5 13.5],0
p6,1,0.078354,3.098725,[ 9 27] ; [ 2 24],[ 6.38709677 29.61290323] ; [ 4.61290323 21.38709677],0
a8,1,0.10286,2.660633,[ 8 26] ; [ 2 24],[ 5.66666667 28.33333333] ; [ 4.33333333 21.66666667],0
v3,1,0.107954,2.583917,[12 25] ; [ 4 23],[ 9.25 27.75] ; [ 6.75 20.25],0
p5,1,0.111287,2.535849,[ 8 28] ; [ 2 25],[ 5.71428571 30.28571429] ; [ 4.28571429 22.71428571],0
a7,1,0.119005,2.430364,[16 21] ; [17 10],[19.078125 17.921875] ; [13.921875 13.078125],0
d4,1,0.12322,2.375904,[22 15] ; [21  6],[24.859375 12.140625] ; [18.140625  8.859375],0
n3,1,0.136519,2.216761,[7 8] ; [9 3],[8.88888889 6.11111111] ; [7.11111111 4.88888889],0
d2,1,0.183176,1.771663,[14 23] ; [ 6 21],[11.5625 25.4375] ; [ 8.4375 18.5625],0
p1,1,0.295424,1.094735,[ 4 33] ; [ 1 26],[ 2.890625 34.109375] ; [ 2.109375 24.890625],0
n1,1,0.326109,0.964286,[ 5 10] ; [ 2 10],[ 3.88888889 11.11111111] ; [3.11111111 8.88888889],0
p3,1,0.345921,0.888363,[11 26] ; [ 5 21],[ 9.3968254 27.6031746] ; [ 6.6031746 19.3968254],0
a5,1,0.369322,0.805945,[22 15] ; [13 14],[20.234375 16.765625] ; [14.765625 12.234375],0
