Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,8e-06,19.837723,[28  5] ; [ 2 11],[21.52173913 11.47826087] ; [8.47826087 4.52173913],1
r3,1,2.7e-05,17.607976,[28  5] ; [ 3 11],[21.76595745 11.23404255] ; [9.23404255 4.76595745],1
p9,1,0.000253,13.38843,[29  4] ; [4 8],[24.2  8.8] ; [8.8 3.2],1
v2,1,0.009689,6.691113,[19 14] ; [ 2 11],[15.06521739 17.93478261] ; [5.93478261 7.06521739],0
p4,1,0.011072,6.453782,[21 13] ; [ 3 11],[17. 17.] ; [7. 7.],0
p2,1,0.013903,6.05042,[25  9] ; [5 9],[21.25 12.75] ; [8.75 5.25],0
v1,1,0.020765,5.346371,[14 20] ; [ 1 13],[10.625 23.375] ; [4.375 9.625],0
d3,1,0.021459,5.289085,[17 17] ; [ 2 12],[13.45833333 20.54166667] ; [5.54166667 8.45833333],0
b1,1,0.029441,4.741611,[15 19] ; [11  3],[18.41666667 15.58333333] ; [7.58333333 6.41666667],0
s1,1,0.035169,4.436975,[ 1 33] ; [ 3 11],[ 2.83333333 31.16666667] ; [ 1.16666667 12.83333333],0
n3,1,0.037289,4.33716,[7 3] ; [2 7],[4.73684211 5.26315789] ; [4.26315789 4.73684211],0
n2,1,0.039673,4.231818,[8 2] ; [3 6],[5.78947368 4.21052632] ; [5.21052632 3.78947368],0
d4,1,0.04138,4.160384,[23 11] ; [5 9],[19.83333333 14.16666667] ; [8.16666667 5.83333333],0
s6,1,0.045457,4.001601,[18 16] ; [ 3 11],[14.875 19.125] ; [6.125 7.875],0
p8,1,0.045699,3.992649,[16 18] ; [ 2 11],[13.0212766 20.9787234] ; [4.9787234 8.0212766],0
r4,1,0.046056,3.979536,[12 22] ; [ 1 13],[ 9.20833333 24.79166667] ; [ 3.79166667 10.20833333],0
d2,1,0.049499,3.858339,[15 19] ; [ 2 12],[12.04166667 21.95833333] ; [4.95833333 9.04166667],0
u2,1,0.056745,3.630051,[10  5] ; [2 6],[7.82608696 7.17391304] ; [4.17391304 3.82608696],0
d5,1,0.065714,3.386955,[22 12] ; [5 9],[19.125 14.875] ; [7.875 6.125],0
s8,1,0.066744,3.361345,[11 23] ; [ 1 13],[ 8.5 25.5] ; [ 3.5 10.5],0
d1,1,0.066744,3.361345,[11 23] ; [ 1 13],[ 8.5 25.5] ; [ 3.5 10.5],0
v3,1,0.066744,3.361345,[11 23] ; [ 1 13],[ 8.5 25.5] ; [ 3.5 10.5],0
p3,1,0.072438,3.226891,[14 20] ; [ 2 12],[11.33333333 22.66666667] ; [4.66666667 9.33333333],0
n6,1,0.079655,3.071922,[27  7] ; [7 6],[24.59574468  9.40425532] ; [9.40425532 3.59574468],0
p7,1,0.085146,2.963829,[19 15] ; [ 4 10],[16.29166667 17.70833333] ; [6.70833333 7.29166667],0
p6,1,0.115691,2.474702,[10 24] ; [ 1 12],[ 7.95744681 26.04255319] ; [3.04255319 9.95744681],0
a6,1,0.123512,2.372216,[18 16] ; [ 4 10],[15.58333333 18.41666667] ; [6.41666667 7.58333333],0
a5,1,0.145194,2.122031,[20 14] ; [5 9],[17.70833333 16.29166667] ; [7.29166667 6.70833333],0
a7,1,0.173744,1.85034,[17 17] ; [ 4 10],[14.875 19.125] ; [6.125 7.875],0
v4,1,0.230046,1.440576,[21 13] ; [6 8],[19.125 14.875] ; [7.875 6.125],0
s2,1,0.249449,1.326386,[10 23] ; [ 2 12],[ 8.42553191 24.57446809] ; [ 3.57446809 10.42553191],0
b5,1,0.277515,1.179218,[16 18] ; [9 5],[17.70833333 16.29166667] ; [7.29166667 6.70833333],0
p5,1,0.292667,1.107314,[ 7 27] ; [ 1 12],[ 5.78723404 28.21276596] ; [ 2.21276596 10.78723404],0
b3,1,0.35322,0.861857,[ 6 16] ; [4 5],[ 7.09677419 14.90322581] ; [2.90322581 6.09677419],0
b2,1,0.35322,0.861857,[ 6 16] ; [4 5],[ 7.09677419 14.90322581] ; [2.90322581 6.09677419],0
a4,1,0.449132,0.572841,[11 23] ; [ 3 11],[ 9.91666667 24.08333333] ; [4.08333333 9.91666667],0
a8,1,0.472714,0.515625,[ 5 27] ; [3 9],[ 5.81818182 26.18181818] ; [2.18181818 9.81818182],0
a3,1,0.54991,0.357478,[19 15] ; [6 7],[18.08510638 15.91489362] ; [6.91489362 6.08510638],0
p1,1,0.633751,0.227008,[ 4 30] ; [ 1 13],[ 3.54166667 30.45833333] ; [ 1.45833333 12.54166667],0
s7,1,0.791462,0.069914,[ 9 22] ; [3 9],[ 8.65116279 22.34883721] ; [3.34883721 8.65116279],0
r1,1,0.822334,0.05042,[11 23] ; [5 9],[11.33333333 22.66666667] ; [4.66666667 9.33333333],0
p12,1,0.84814,0.036669,[ 3 31] ; [ 1 13],[ 2.83333333 31.16666667] ; [ 1.16666667 12.83333333],0
b4,1,0.852915,0.034373,[18 16] ; [7 7],[17.70833333 16.29166667] ; [7.29166667 6.70833333],0
a2,1,0.869744,0.026891,[ 2 32] ; [ 1 13],[ 2.125 31.875] ; [ 0.875 13.125],0
s4,1,0.874925,0.024776,[ 8 26] ; [ 3 11],[ 7.79166667 26.20833333] ; [ 3.20833333 10.79166667],0
n1,1,0.875975,0.024359,[3 7] ; [3 6],[3.15789474 6.84210526] ; [2.84210526 6.15789474],0
s3,1,0.905503,0.014093,[10 23] ; [ 4 10],[ 9.82978723 23.17021277] ; [4.17021277 9.82978723],0
u3,1,0.930912,0.007516,[ 4 11] ; [2 6],[ 3.91304348 11.08695652] ; [2.08695652 5.91304348],0
n4,1,0.953573,0.00339,[24 10] ; [10  4],[24.08333333  9.91666667] ; [9.91666667 4.08333333],0
