Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.0,34.815857,[33 36] ; [ 8 91],[16.83928571 52.16071429] ; [24.16071429 74.83928571],1
v1,1,9e-06,19.752106,[39 30] ; [23 77],[25.31360947 43.68639053] ; [36.68639053 63.31360947],1
r1,1,0.00062,11.714896,[51 20] ; [46 55],[40.04069767 30.95930233] ; [56.95930233 44.04069767],1
p11,1,0.001272,10.382761,[58 13] ; [59 42],[48.29651163 22.70348837] ; [68.70348837 32.29651163],0
d3,1,0.004003,8.282548,[46 25] ; [42 57],[36.75294118 34.24705882] ; [51.24705882 47.75294118],0
a3,1,0.007937,7.047583,[35 36] ; [29 70],[26.72941176 44.27058824] ; [37.27058824 61.72941176],0
n6,1,0.013467,6.106702,[57 12] ; [66 35],[49.92352941 19.07647059] ; [73.07647059 27.92352941],0
d5,1,0.015531,5.855176,[48 23] ; [49 51],[40.2748538 30.7251462] ; [56.7251462 43.2748538],0
r4,1,0.018637,5.535298,[58 13] ; [66 35],[51.18604651 19.81395349] ; [72.81395349 28.18604651],0
d1,1,0.023589,5.124565,[25 46] ; [20 81],[18.5755814 52.4244186] ; [26.4244186 74.5755814],0
a4,1,0.024202,5.080129,[17 54] ; [11 89],[11.62573099 59.37426901] ; [16.37426901 83.62573099],0
r3,1,0.030763,4.666121,[65  5] ; [82 19],[60.1754386  9.8245614] ; [86.8245614 14.1754386],0
p7,1,0.03357,4.516493,[40 27] ; [42 56],[33.2969697 33.7030303] ; [48.7030303 49.2969697],0
n4,1,0.047988,3.910392,[44 26] ; [48 53],[37.66081871 32.33918129] ; [54.33918129 46.66081871],0
s6,1,0.070816,3.264,[34 34] ; [36 64],[28.33333333 39.66666667] ; [41.66666667 58.33333333],0
d4,1,0.072369,3.228455,[49 21] ; [57 44],[43.39181287 26.60818713] ; [62.60818713 38.39181287],0
b1,1,0.107586,2.589333,[21 50] ; [42 59],[26.00581395 44.99418605] ; [36.99418605 64.00581395],0
v4,1,0.137613,2.204452,[64  7] ; [82 18],[60.61988304 10.38011696] ; [85.38011696 14.61988304],0
p6,1,0.139101,2.187877,[20 49] ; [19 80],[16.01785714 52.98214286] ; [22.98214286 76.01785714],0
r2,1,0.145669,2.117025,[62  8] ; [81 20],[58.5380117 11.4619883] ; [84.4619883 16.5380117],0
p4,1,0.158959,1.984102,[29 39] ; [32 68],[24.69047619 43.30952381] ; [36.30952381 63.69047619],0
p2,1,0.248549,1.33144,[52 18] ; [66 34],[48.58823529 21.41176471] ; [69.41176471 30.58823529],0
p10,1,0.287116,1.133095,[44 25] ; [55 44],[40.66071429 28.33928571] ; [58.33928571 40.66071429],0
a7,1,0.31253,1.019952,[46 23] ; [59 41],[42.86982249 26.13017751] ; [62.13017751 37.86982249],0
p1,1,0.313575,1.015557,[ 3 68] ; [ 8 91],[ 4.59411765 66.40588235] ; [ 6.40588235 92.59411765],0
b4,1,0.355371,0.854184,[43 28] ; [54 47],[40.04069767 30.95930233] ; [56.95930233 44.04069767],0
d2,1,0.360495,0.836169,[18 52] ; [20 81],[15.55555556 54.44444444] ; [22.44444444 78.55555556],0
p9,1,0.386858,0.748794,[49 20] ; [64 35],[46.41071429 22.58928571] ; [66.58928571 32.41071429],0
n3,1,0.39169,0.733689,[15  4] ; [21 10],[13.68  5.32] ; [22.32  8.68],0
s8,1,0.399412,0.710097,[10 61] ; [10 91],[ 8.25581395 62.74418605] ; [11.74418605 89.25581395],0
a6,1,0.438716,0.599637,[38 33] ; [48 53],[35.5 35.5] ; [50.5 50.5],0
n5,1,0.448187,0.575233,[42 27] ; [55 45],[39.6035503 29.3964497] ; [57.3964497 42.6035503],0
s1,1,0.508484,0.437185,[ 2 67] ; [ 5 96],[ 2.84117647 66.15882353] ; [ 4.15882353 96.84117647],0
s3,1,0.549634,0.357974,[25 44] ; [40 58],[26.85628743 42.14371257] ; [38.14371257 59.85628743],0
p3,1,0.600379,0.274425,[22 48] ; [28 73],[20.46783626 49.53216374] ; [29.53216374 71.46783626],0
a8,1,0.600773,0.273832,[ 7 58] ; [13 83],[ 8.07453416 56.92546584] ; [11.92546584 84.07453416],0
p5,1,0.603438,0.269841,[ 4 66] ; [ 4 96],[ 3.29411765 66.70588235] ; [ 4.70588235 95.29411765],0
s4,1,0.635607,0.224533,[11 59] ; [13 86],[ 9.9408284 60.0591716] ; [14.0591716 84.9408284],0
n1,1,0.659027,0.194707,[ 6 13] ; [ 8 23],[ 5.32 13.68] ; [ 8.68 22.32],0
b5,1,0.688773,0.160417,[45 26] ; [67 34],[46.23255814 24.76744186] ; [65.76744186 35.23255814],0
u3,1,0.730419,0.118727,[18 18] ; [33 38],[17.1588785 18.8411215] ; [33.8411215 37.1588785],0
