Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,1.8e-05,18.340385,[ 1 10] ; [19  3],[6.66666667 4.33333333] ; [13.33333333  8.66666667],1
d2,1,0.011764,6.346154,[ 1 10] ; [12 10],[4.33333333 6.66666667] ; [ 8.66666667 13.33333333],0
d3,1,0.012753,6.203008,[3 8] ; [16  6],[6.33333333 4.66666667] ; [12.66666667  9.33333333],0
a4,1,0.03028,4.693333,[1 9] ; [11 11],[3.75 6.25] ; [ 8.25 13.75],0
n4,1,0.036714,4.363636,[10  1] ; [12 10],[7.33333333 3.66666667] ; [14.66666667  7.33333333],0
p10,1,0.043871,4.061538,[4 7] ; [16  6],[6.66666667 4.33333333] ; [13.33333333  8.66666667],0
b2,1,0.180802,1.791019,[3 5] ; [ 2 13],[1.73913043 6.26086957] ; [ 3.26086957 11.73913043],0
b3,1,0.180802,1.791019,[3 5] ; [ 2 13],[1.73913043 6.26086957] ; [ 3.26086957 11.73913043],0
v2,1,0.186449,1.745455,[1 9] ; [ 7 15],[2.5 7.5] ; [ 5.5 16.5],0
r4,1,0.207821,1.586538,[6 5] ; [ 7 15],[4.33333333 6.66666667] ; [ 8.66666667 13.33333333],0
p9,1,0.211555,1.56075,[4 6] ; [14  8],[5.625 4.375] ; [12.375  9.625],0
p3,1,0.265683,1.238901,[3 8] ; [10 11],[4.46875 6.53125] ; [ 8.53125 12.46875],0
n6,1,0.284005,1.147826,[9 2] ; [14  8],[7.66666667 3.33333333] ; [15.33333333  6.66666667],0
s3,1,0.323619,0.974265,[2 7] ; [ 9 13],[3.19354839 5.80645161] ; [ 7.80645161 14.19354839],0
p6,1,0.338352,0.916667,[3 8] ; [ 3 19],[2. 9.] ; [ 4. 18.],0
a3,1,0.359756,0.838745,[6 3] ; [18  4],[6.96774194 2.03225806] ; [17.03225806  4.96774194],0
b4,1,0.407016,0.6875,[7 4] ; [17  5],[8. 3.] ; [16.  6.],0
p11,1,0.442695,0.589286,[5 6] ; [ 7 15],[4. 7.] ; [ 8. 14.],0
s1,1,0.45067,0.568966,[2 9] ; [ 2 20],[1.33333333 9.66666667] ; [ 2.66666667 19.33333333],0
b5,1,0.458318,0.55,[5 6] ; [13  9],[6. 5.] ; [12. 10.],0
a2,1,0.492331,0.471429,[ 1 10] ; [ 4 18],[1.66666667 9.33333333] ; [ 3.33333333 18.66666667],0
r2,1,0.519149,0.415584,[9 2] ; [15  6],[8.25 2.75] ; [15.75  5.25],0
n1,1,0.521245,0.411429,[7 3] ; [8 6],[6.25 3.75] ; [8.75 5.25],0
p4,1,0.540396,0.374806,[3 8] ; [ 8 13],[3.78125 7.21875] ; [ 7.21875 13.78125],0
s5,1,0.565659,0.33,[2 9] ; [ 6 16],[2.66666667 8.33333333] ; [ 5.33333333 16.66666667],0
s6,1,0.630872,0.23088,[5 5] ; [ 9 13],[4.375 5.625] ; [ 9.625 12.375],0
p8,1,0.630872,0.23088,[5 5] ; [ 9 13],[4.375 5.625] ; [ 9.625 12.375],0
p2,1,0.709749,0.138528,[5 6] ; [11 10],[5.5 5.5] ; [10.5 10.5],0
p5,1,0.714546,0.133779,[2 9] ; [ 5 16],[2.40625 8.59375] ; [ 4.59375 16.40625],0
s4,1,0.73137,0.117857,[2 9] ; [ 3 19],[1.66666667 9.33333333] ; [ 3.33333333 18.66666667],0
p1,1,0.73137,0.117857,[2 9] ; [ 3 19],[1.66666667 9.33333333] ; [ 3.33333333 18.66666667],0
v4,1,0.773938,0.0825,[8 3] ; [17  5],[8.33333333 2.66666667] ; [16.66666667  5.33333333],0
s2,1,0.773938,0.0825,[3 8] ; [ 5 17],[2.66666667 8.33333333] ; [ 5.33333333 16.66666667],0
v1,1,0.794003,0.068182,[4 7] ; [ 7 15],[3.66666667 7.33333333] ; [ 7.33333333 14.66666667],0
b1,1,0.794003,0.068182,[7 4] ; [15  7],[7.33333333 3.66666667] ; [14.66666667  7.33333333],0
n3,1,0.794625,0.067761,[5 4] ; [7 7],[4.69565217 4.30434783] ; [7.30434783 6.69565217],0
p7,1,0.804113,0.061517,[3 8] ; [ 6 13],[3.3 7.7] ; [ 5.7 13.3],0
u2,1,0.857714,0.032143,[1 4] ; [1 3],[1.11111111 3.88888889] ; [0.88888889 3.11111111],0
s7,1,0.867695,0.027751,[4 6] ; [ 7 12],[3.79310345 6.20689655] ; [ 7.20689655 11.79310345],0
v3,1,0.918081,0.010579,[3 7] ; [ 7 15],[3.125 6.875] ; [ 6.875 15.125],0
s8,1,0.918081,0.010579,[3 7] ; [ 7 15],[3.125 6.875] ; [ 6.875 15.125],0
n2,1,0.939491,0.005762,[7 3] ; [10  4],[7.08333333 2.91666667] ; [9.91666667 4.08333333],0
a7,1,1.0,0.0,[6 5] ; [12 10],[6. 5.] ; [12. 10.],0
a6,1,1.0,0.0,[5 6] ; [10 12],[5. 6.] ; [10. 12.],0
a5,1,1.0,0.0,[7 4] ; [14  8],[7. 4.] ; [14.  8.],0
a1,1,1.0,0.0,[ 1 10] ; [ 2 20],[ 1. 10.] ; [ 2. 20.],0
p12,1,1.0,0.0,[ 1 10] ; [ 2 20],[ 1. 10.] ; [ 2. 20.],0
