Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n6,1,3e-06,21.666469,[24 26] ; [111  24],[36.48648649 13.51351351] ; [98.51351351 36.48648649],1
p10,1,1.5e-05,18.801134,[19 31] ; [96 36],[31.59340659 18.40659341] ; [83.40659341 48.59340659],1
n4,1,1.6e-05,18.593966,[25 25] ; [111  25],[36.55913978 13.44086022] ; [99.44086022 36.55913978],1
p9,1,2.9e-05,17.465412,[23 27] ; [103  29],[34.61538462 15.38461538] ; [91.38461538 40.61538462],1
s7,1,0.007363,7.182181,[11 35] ; [60 69],[18.66285714 27.33714286] ; [52.33714286 76.66285714],0
p6,1,0.012653,6.217014,[ 5 43] ; [37 94],[11.26256983 36.73743017] ; [ 30.73743017 100.26256983],0
s8,1,0.015723,5.833611,[11 39] ; [56 80],[18.01075269 31.98924731] ; [48.98924731 87.01075269],0
s6,1,0.038239,4.294358,[17 33] ; [69 66],[23.24324324 26.75675676] ; [62.75675676 72.24324324],0
u2,1,0.056775,3.629182,[13  8] ; [17 29],[ 9.40298507 11.59701493] ; [20.59701493 25.40298507],0
v3,1,0.080921,3.046302,[11 34] ; [52 82],[15.83798883 29.16201117] ; [47.16201117 86.83798883],0
d5,1,0.094347,2.798596,[26 24] ; [89 47],[30.91397849 19.08602151] ; [84.08602151 51.91397849],0
p5,1,0.106906,2.599379,[ 1 48] ; [ 12 122],[ 3.48087432 45.51912568] ; [  9.51912568 124.48087432],0
p2,1,0.120144,2.415443,[30 20] ; [95 37],[34.34065934 15.65934066] ; [90.65934066 41.34065934],0
v1,1,0.124664,2.357724,[17 33] ; [62 71],[21.58469945 28.41530055] ; [57.41530055 75.58469945],0
p4,1,0.16158,1.959372,[17 32] ; [62 72],[21.15300546 27.84699454] ; [57.84699454 76.15300546],0
d2,1,0.171257,1.871904,[17 33] ; [61 74],[21.08108108 28.91891892] ; [56.91891892 78.08108108],0
p11,1,0.187087,1.74041,[31 19] ; [98 38],[34.67741935 15.32258065] ; [94.32258065 41.67741935],0
n3,1,0.292404,1.108519,[12  4] ; [29 19],[10.25  5.75] ; [30.75 17.25],0
a3,1,0.303089,1.060552,[29 21] ; [90 46],[31.98924731 18.01075269] ; [87.01075269 48.98924731],0
r2,1,0.305472,1.050154,[38 11] ; [111  21],[40.33701657  8.66298343] ; [108.66298343  23.33701657],0
d3,1,0.321185,0.984116,[22 28] ; [49 87],[19.08602151 30.91397849] ; [51.91397849 84.08602151],0
r1,1,0.328386,0.955254,[33 17] ; [79 57],[30.10752688 19.89247312] ; [81.89247312 54.10752688],0
d1,1,0.336183,0.924934,[16 34] ; [54 82],[18.8172043 31.1827957] ; [51.1827957 84.8172043],0
a5,1,0.338532,0.915983,[27 23] ; [84 52],[29.83870968 20.16129032] ; [81.16129032 54.83870968],0
b2,1,0.349716,0.874487,[10 21] ; [38 53],[12.19672131 18.80327869] ; [35.80327869 55.19672131],0
b3,1,0.349716,0.874487,[10 21] ; [38 53],[12.19672131 18.80327869] ; [35.80327869 55.19672131],0
n1,1,0.372121,0.796569,[ 5 12] ; [20 28],[ 6.53846154 10.46153846] ; [18.46153846 29.53846154],0
b4,1,0.452947,0.563266,[27 23] ; [65 71],[24.7311828 25.2688172] ; [67.2688172 68.7311828],0
a8,1,0.456234,0.555117,[ 3 43] ; [ 13 114],[ 4.25433526 41.74566474] ; [ 11.74566474 115.25433526],0
p8,1,0.468612,0.525247,[17 32] ; [54 79],[19.11538462 29.88461538] ; [51.88461538 81.11538462],0
a4,1,0.475487,0.509195,[20 30] ; [46 88],[17.93478261 32.06521739] ; [48.06521739 85.93478261],0
n2,1,0.48923,0.47822,[12  5] ; [30 19],[10.81818182  6.18181818] ; [31.18181818 17.81818182],0
p1,1,0.495784,0.46395,[ 2 48] ; [  9 126],[ 2.97297297 47.02702703] ; [  8.02702703 126.97297297],0
a2,1,0.502236,0.450208,[ 2 48] ; [  9 127],[ 2.95698925 47.04301075] ; [  8.04301075 127.95698925],0
v4,1,0.529195,0.395937,[39 10] ; [112  22],[40.43169399  8.56830601] ; [110.56830601  23.43169399],0
p7,1,0.5444,0.367446,[24 26] ; [70 62],[25.82417582 24.17582418] ; [68.17582418 63.82417582],0
b5,1,0.549947,0.357412,[24 26] ; [72 64],[25.80645161 24.19354839] ; [70.19354839 65.80645161],0
p3,1,0.56422,0.332449,[16 34] ; [49 85],[17.66304348 32.33695652] ; [47.33695652 86.66304348],0
s4,1,0.578084,0.309343,[ 7 43] ; [ 15 121],[ 5.91397849 44.08602151] ; [ 16.08602151 119.91397849],0
s2,1,0.586712,0.295508,[16 34] ; [49 86],[17.56756757 32.43243243] ; [47.43243243 87.56756757],0
a1,1,0.613833,0.254631,[ 2 48] ; [  8 128],[ 2.68817204 47.31182796] ; [  7.31182796 128.68817204],0
u3,1,0.66083,0.192517,[ 8 13] ; [15 31],[ 7.20895522 13.79104478] ; [15.79104478 30.20895522],0
s1,1,0.670164,0.181411,[ 3 47] ; [  6 128],[ 2.44565217 47.55434783] ; [  6.55434783 127.44565217],0
d4,1,0.758681,0.09438,[31 19] ; [87 48],[31.89189189 18.10810811] ; [86.10810811 48.89189189],0
a6,1,0.777353,0.079959,[21 29] ; [54 82],[20.16129032 29.83870968] ; [54.83870968 81.16129032],0
u4,1,0.799412,0.064571,[ 1 49] ; [  2 134],[ 0.80645161 49.19354839] ; [  2.19354839 133.80645161],0
r3,1,0.802395,0.062625,[40 10] ; [111  25],[40.59139785  9.40860215] ; [110.40860215  25.59139785],0
b1,1,0.80888,0.058501,[24 26] ; [68 68],[24.7311828 25.2688172] ; [67.2688172 68.7311828],0
v2,1,0.864268,0.029222,[19 28] ; [54 75],[19.49431818 27.50568182] ; [53.50568182 75.49431818],0
r4,1,0.888536,0.019644,[34 16] ; [91 45],[33.60215054 16.39784946] ; [91.39784946 44.60215054],0
s3,1,0.914218,0.011604,[21 26] ; [62 74],[21.31693989 25.68306011] ; [61.68306011 74.31693989],0
