Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,2e-06,22.270621,[50 36] ; [ 8 41],[36.94814815 49.05185185] ; [21.05185185 27.94814815],1
d1,1,5e-06,21.032199,[58 29] ; [13 37],[45.08759124 41.91240876] ; [25.91240876 24.08759124],1
a6,1,8e-06,19.927079,[65 22] ; [18 32],[52.7080292 34.2919708] ; [30.2919708 19.7080292],1
d2,1,4.5e-05,16.649791,[53 32] ; [13 37],[41.55555556 43.44444444] ; [24.44444444 25.55555556],1
a3,1,8.9e-05,15.36633,[65 22] ; [20 29],[54.375 32.625] ; [30.625 18.375],1
d5,1,0.003149,8.718943,[68 19] ; [27 23],[60.32846715 26.67153285] ; [34.67153285 15.32846715],0
d4,1,0.006769,7.333152,[72 15] ; [31 19],[65.40875912 21.59124088] ; [37.59124088 12.40875912],0
p9,1,0.007152,7.23429,[60 24] ; [23 25],[52.81818182 31.18181818] ; [30.18181818 17.81818182],0
s5,1,0.012615,6.222343,[31 52] ; [ 8 40],[24.70992366 58.29007634] ; [14.29007634 33.70992366],0
s8,1,0.012744,6.204327,[41 45] ; [13 37],[34.14705882 51.85294118] ; [19.85294118 30.14705882],0
d3,1,0.01614,5.787504,[55 32] ; [21 29],[48.26277372 38.73722628] ; [27.73722628 22.26277372],0
p10,1,0.016597,5.738495,[60 26] ; [24 25],[53.51111111 32.48888889] ; [30.48888889 18.51111111],0
s7,1,0.022083,5.23921,[40 43] ; [13 34],[33.83846154 49.16153846] ; [19.16153846 27.83846154],0
b3,1,0.034669,4.461421,[27 36] ; [ 5 21],[22.65168539 40.34831461] ; [ 9.34831461 16.65168539],0
b2,1,0.034669,4.461421,[27 36] ; [ 5 21],[22.65168539 40.34831461] ; [ 9.34831461 16.65168539],0
r2,1,0.049149,3.870255,[80  5] ; [41  8],[76.75373134  8.24626866] ; [44.24626866  4.75373134],0
n5,1,0.072304,3.229914,[68 19] ; [32 18],[63.50364964 23.49635036] ; [36.49635036 13.50364964],0
p4,1,0.076143,3.145357,[34 52] ; [12 37],[29.3037037 56.6962963] ; [16.6962963 32.3037037],0
v4,1,0.080736,3.050013,[80  7] ; [41  9],[76.83941606 10.16058394] ; [44.16058394  5.83941606],0
r1,1,0.099577,2.712308,[64 23] ; [30 20],[59.69343066 27.30656934] ; [34.30656934 15.69343066],0
s1,1,0.100926,2.690842,[ 4 83] ; [ 6 43],[ 6.39705882 80.60294118] ; [ 3.60294118 45.39705882],0
n4,1,0.101493,2.681917,[67 20] ; [32 18],[62.86861314 24.13138686] ; [36.13138686 13.86861314],0
a1,1,0.101721,2.678351,[ 8 79] ; [ 1 49],[ 5.71532847 81.28467153] ; [ 3.28467153 46.71532847],0
p3,1,0.12052,2.410546,[34 53] ; [13 37],[29.84671533 57.15328467] ; [17.15328467 32.84671533],0
s2,1,0.18129,1.787016,[40 46] ; [17 32],[36.31111111 49.68888889] ; [20.68888889 28.31111111],0
a8,1,0.188433,1.729828,[ 9 73] ; [ 2 45],[ 6.99224806 75.00775194] ; [ 4.00775194 42.99224806],0
p5,1,0.202832,1.621862,[ 9 77] ; [ 2 46],[ 7.05970149 78.94029851] ; [ 3.94029851 44.05970149],0
a7,1,0.269113,1.221264,[57 30] ; [28 22],[53.97810219 33.02189781] ; [31.02189781 18.97810219],0
r4,1,0.295475,1.094507,[74 13] ; [39 11],[71.75912409 15.24087591] ; [41.24087591  8.75912409],0
b1,1,0.333238,0.936274,[44 43] ; [21 29],[41.27737226 45.72262774] ; [23.72262774 26.27737226],0
r3,1,0.333756,0.934268,[78  9] ; [42  8],[76.20437956 10.79562044] ; [43.79562044  6.20437956],0
p1,1,0.386475,0.750004,[ 9 78] ; [ 3 47],[ 7.62043796 79.37956204] ; [ 4.37956204 45.62043796],0
p7,1,0.390381,0.737755,[26 60] ; [18 30],[28.23880597 57.76119403] ; [15.76119403 32.23880597],0
v2,1,0.397855,0.714799,[44 40] ; [21 26],[41.67938931 42.32061069] ; [23.32061069 23.67938931],0
u2,1,0.400416,0.707076,[ 8 13] ; [15 15],[ 9.47058824 11.52941176] ; [13.52941176 16.47058824],0
p6,1,0.435878,0.607109,[21 66] ; [ 9 40],[19.19117647 67.80882353] ; [10.80882353 38.19117647],0
p8,1,0.481331,0.495847,[22 65] ; [10 40],[20.32116788 66.67883212] ; [11.67883212 38.32116788],0
v1,1,0.481548,0.495356,[35 48] ; [18 32],[33.07518797 49.92481203] ; [19.92481203 30.07518797],0
p12,1,0.507589,0.439034,[ 8 79] ; [ 3 47],[ 6.98540146 80.01459854] ; [ 4.01459854 45.98540146],0
s4,1,0.519919,0.414055,[18 67] ; [13 37],[19.51851852 65.48148148] ; [11.48148148 38.51851852],0
s6,1,0.523781,0.406443,[54 31] ; [29 21],[52.25925926 32.74074074] ; [30.74074074 19.25925926],0
b4,1,0.535066,0.384761,[51 36] ; [32 18],[52.7080292 34.2919708] ; [30.2919708 19.7080292],0
b5,1,0.553712,0.350709,[53 34] ; [33 17],[54.61313869 32.38686131] ; [31.38686131 18.61313869],0
n2,1,0.567109,0.327543,[24  7] ; [9 4],[23.25  7.75] ; [9.75 3.25],0
s3,1,0.605353,0.266997,[38 48] ; [19 29],[36.58208955 49.41791045] ; [20.41791045 27.58208955],0
n1,1,0.618775,0.247593,[14 16] ; [5 8],[13.25581395 16.74418605] ; [5.74418605 7.25581395],0
n3,1,0.636906,0.222812,[20  9] ; [8 5],[19.33333333  9.66666667] ; [8.66666667 4.33333333],0
p11,1,0.645433,0.211707,[54 33] ; [33 17],[55.24817518 31.75182482] ; [31.75182482 18.24817518],0
v3,1,0.785393,0.074146,[31 51] ; [17 31],[30.27692308 51.72307692] ; [17.72307692 30.27692308],0
u3,1,0.930971,0.007504,[12 10] ; [16 14],[11.84615385 10.15384615] ; [16.15384615 13.84615385],0
