Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,1e-06,25.031752,[70 50] ; [19 64],[52.61083744 67.38916256] ; [36.38916256 46.61083744],1
v1,1,9e-06,19.739304,[96 26] ; [40 42],[81.33333333 40.66666667] ; [54.66666667 27.33333333],1
b4,1,0.007116,7.243536,[83 41] ; [40 43],[73.68115942 50.31884058] ; [49.31884058 33.68115942],0
b5,1,0.008815,6.859838,[81 43] ; [39 44],[71.88405797 52.11594203] ; [48.11594203 34.88405797],0
p12,1,0.030867,4.660344,[ 22 101] ; [ 6 76],[ 16.8 106.2] ; [11.2 70.8],0
a7,1,0.031084,4.648311,[100  24] ; [56 27],[93.44927536 30.55072464] ; [62.55072464 20.44927536],0
a6,1,0.041011,4.175569,[90 32] ; [50 33],[83.31707317 38.68292683] ; [56.68292683 26.31707317],0
a8,1,0.048112,3.906082,[18 90] ; [ 5 69],[13.64835165 94.35164835] ; [ 9.35164835 64.64835165],0
p2,1,0.075518,3.158805,[109  15] ; [79  4],[112.61835749  11.38164251] ; [75.38164251  7.61835749],0
u1,1,0.096371,2.764603,[45 79] ; [21 62],[39.53623188 84.46376812] ; [26.46376812 56.53623188],0
d2,1,0.098765,2.725377,[97 26] ; [57 26],[91.95145631 31.04854369] ; [62.04854369 20.95145631],0
p9,1,0.106608,2.603802,[118   5] ; [75  8],[115.23786408   7.76213592] ; [77.76213592  5.23786408],0
s4,1,0.115467,2.477753,[25 98] ; [24 56],[29.68965517 93.31034483] ; [19.31034483 60.68965517],0
p3,1,0.12007,2.416412,[91 32] ; [53 30],[85.98058252 37.01941748] ; [58.01941748 24.98058252],0
a3,1,0.129631,2.296919,[106  17] ; [64 18],[102.  21.] ; [68. 14.],0
a2,1,0.166862,1.91091,[49 75] ; [25 58],[44.32850242 79.67149758] ; [29.67149758 53.32850242],0
r4,1,0.183777,1.766815,[116   8] ; [81  2],[118.00966184   5.99033816] ; [78.99033816  4.00966184],0
a5,1,0.210018,1.571305,[113  11] ; [71 12],[110.22222222  13.77777778] ; [73.77777778  9.22222222],0
v4,1,0.231156,1.433734,[118   5] ; [82  1],[119.41747573   3.58252427] ; [80.58252427  2.41747573],0
p8,1,0.240831,1.375725,[85 37] ; [64 19],[88.67317073 33.32682927] ; [60.32682927 22.67317073],0
u4,1,0.263255,1.251559,[  7 117] ; [ 2 81],[  5.39130435 118.60869565] ; [ 3.60869565 79.39130435],0
a1,1,0.264404,1.245551,[ 13 111] ; [ 5 78],[ 10.7826087 113.2173913] ; [ 7.2173913 75.7826087],0
s2,1,0.28671,1.135007,[83 40] ; [50 33],[79.41262136 43.58737864] ; [53.58737864 29.41262136],0
r1,1,0.334168,0.932679,[103  21] ; [73 10],[105.42995169  18.57004831] ; [70.57004831 12.42995169],0
s5,1,0.342267,0.901922,[51 64] ; [41 39],[54.25641026 60.74358974] ; [37.74358974 42.25641026],0
s8,1,0.406638,0.688608,[79 43] ; [49 34],[76.17560976 45.82439024] ; [51.82439024 31.17560976],0
p11,1,0.433272,0.614037,[96 28] ; [68 15],[98.24154589 25.75845411] ; [65.75845411 17.24154589],0
p5,1,0.456919,0.55343,[ 19 105] ; [16 67],[ 20.96618357 103.03381643] ; [14.03381643 68.96618357],0
