Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.00062,11.714991,[34  8] ; [11 16],[27.39130435 14.60869565] ; [17.60869565  9.39130435],1
d4,1,0.011703,6.355263,[35  7] ; [15 12],[30.43478261 11.56521739] ; [19.56521739  7.43478261],0
v2,1,0.011972,6.314991,[24 16] ; [ 7 18],[19.07692308 20.92307692] ; [11.92307692 13.07692308],0
b5,1,0.014024,6.035075,[31 11] ; [12 15],[26.17391304 15.82608696] ; [16.82608696 10.17391304],0
v4,1,0.017284,5.667336,[41  1] ; [21  5],[38.29411765  3.70588235] ; [23.70588235  2.29411765],0
n4,1,0.02531,5.002574,[18 24] ; [19  8],[22.52173913 19.47826087] ; [14.47826087 12.52173913],0
p9,1,0.03176,4.611422,[35  5] ; [17  9],[31.51515152  8.48484848] ; [20.48484848  5.51515152],0
a4,1,0.042579,4.112032,[ 9 33] ; [12 15],[12.7826087 29.2173913] ; [ 8.2173913 18.7826087],0
p3,1,0.066123,3.376733,[ 5 37] ; [ 8 19],[ 7.91304348 34.08695652] ; [ 5.08695652 21.91304348],0
a6,1,0.068241,3.32483,[25 17] ; [10 17],[21.30434783 20.69565217] ; [13.69565217 13.30434783],0
n2,1,0.06999,3.283256,[12  2] ; [7 6],[9.85185185 4.14814815] ; [9.14814815 3.85185185],0
n1,1,0.06999,3.283256,[ 2 12] ; [6 7],[4.14814815 9.85185185] ; [3.85185185 9.14814815],0
r3,1,0.075953,3.14945,[38  3] ; [21  6],[35.57352941  5.42647059] ; [23.42647059  3.57352941],0
b1,1,0.135771,2.225246,[10 32] ; [11 16],[12.7826087 29.2173913] ; [ 8.2173913 18.7826087],0
p2,1,0.150272,2.069491,[29 13] ; [14 13],[26.17391304 15.82608696] ; [16.82608696 10.17391304],0
d2,1,0.176672,1.825397,[12 30] ; [12 15],[14.60869565 27.39130435] ; [ 9.39130435 17.60869565],0
p11,1,0.268469,1.224551,[24 18] ; [19  8],[26.17391304 15.82608696] ; [16.82608696 10.17391304],0
n5,1,0.290747,1.116157,[21 21] ; [17 10],[23.13043478 18.86956522] ; [14.86956522 12.13043478],0
d5,1,0.295314,1.095238,[30 12] ; [16 11],[28. 14.] ; [18.  9.],0
s2,1,0.34099,0.906704,[29 13] ; [15 11],[27.17647059 14.82352941] ; [16.82352941  9.17647059],0
v1,1,0.35261,0.864043,[14 28] ; [12 15],[15.82608696 26.17391304] ; [10.17391304 16.82608696],0
n6,1,0.387406,0.747068,[32 10] ; [18  9],[30.43478261 11.56521739] ; [19.56521739  7.43478261],0
p10,1,0.418913,0.653363,[32  9] ; [18  8],[30.59701493 10.40298507] ; [19.40298507  6.59701493],0
u2,1,0.430223,0.622222,[ 8 10] ; [6 4],[9. 9.] ; [5. 5.],0
r4,1,0.499018,0.457025,[34  8] ; [20  7],[32.86956522  9.13043478] ; [21.13043478  5.86956522],0
a8,1,0.518345,0.417185,[ 3 34] ; [ 1 24],[ 2.38709677 34.61290323] ; [ 1.61290323 23.38709677],0
s8,1,0.53214,0.390303,[14 28] ; [11 16],[15.2173913 26.7826087] ; [ 9.7826087 17.2173913],0
r2,1,0.53458,0.385679,[39  3] ; [23  3],[38.29411765  3.70588235] ; [23.70588235  2.29411765],0
d1,1,0.550133,0.357079,[17 25] ; [ 9 18],[15.82608696 26.17391304] ; [10.17391304 16.82608696],0
u1,1,0.568046,0.325964,[ 3 39] ; [ 3 24],[ 3.65217391 38.34782609] ; [ 2.34782609 24.65217391],0
s6,1,0.577428,0.310411,[29 12] ; [20  6],[29.98507463 11.01492537] ; [19.01492537  6.98507463],0
a3,1,0.630874,0.230878,[24 18] ; [17 10],[24.95652174 17.04347826] ; [16.04347826 10.95652174],0
s7,1,0.634412,0.226125,[21 21] ; [14 11],[21.94029851 20.05970149] ; [13.05970149 11.94029851],0
a2,1,0.64628,0.210623,[ 2 40] ; [ 2 25],[ 2.43478261 39.56521739] ; [ 1.56521739 25.43478261],0
b3,1,0.66641,0.18583,[ 5 14] ; [ 3 12],[ 4.47058824 14.52941176] ; [ 3.52941176 11.47058824],0
b2,1,0.66641,0.18583,[ 5 14] ; [ 3 12],[ 4.47058824 14.52941176] ; [ 3.52941176 11.47058824],0
s3,1,0.67532,0.175442,[27 15] ; [18  8],[27.79411765 14.20588235] ; [17.20588235  8.79411765],0
p8,1,0.688049,0.161206,[11 29] ; [ 6 20],[10.3030303 29.6969697] ; [ 6.6969697 19.3030303],0
s5,1,0.721079,0.127461,[15 23] ; [11 14],[15.68253968 22.31746032] ; [10.31746032 14.68253968],0
a1,1,0.749244,0.102168,[ 1 41] ; [ 1 26],[ 1.2173913 40.7826087] ; [ 0.7826087 26.2173913],0
p7,1,0.756495,0.096154,[15 24] ; [11 15],[15.6 23.4] ; [10.4 15.6],0
r1,1,0.775125,0.081612,[25 17] ; [17 10],[25.56521739 16.43478261] ; [16.43478261 10.56521739],0
b4,1,0.880636,0.022549,[21 21] ; [13 14],[20.69565217 21.30434783] ; [13.30434783 13.69565217],0
v3,1,0.882965,0.021671,[12 30] ; [ 7 19],[11.73529412 30.26470588] ; [ 7.26470588 18.73529412],0
n3,1,0.900552,0.015616,[10  4] ; [9 4],[9.85185185 4.14814815] ; [9.14814815 3.85185185],0
p6,1,0.93562,0.006525,[ 5 36] ; [ 3 23],[ 4.89552239 36.10447761] ; [ 3.10447761 22.89552239],0
a5,1,0.948427,0.004184,[23 19] ; [15 12],[23.13043478 18.86956522] ; [14.86956522 12.13043478],0
u3,1,0.954001,0.003327,[11  7] ; [6 4],[10.92857143  7.07142857] ; [6.07142857 3.92857143],0
