Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,7e-05,15.801688,[ 7 38] ; [26 21],[16.14130435 28.85869565] ; [16.85869565 30.14130435],1
p8,1,0.007275,7.203665,[12 32] ; [ 3 44],[ 7.25274725 36.74725275] ; [ 7.74725275 39.25274725],0
a5,1,0.021225,5.308237,[22 23] ; [34 13],[27.39130435 17.60869565] ; [28.60869565 18.39130435],0
d5,1,0.054019,3.712122,[36  9] ; [29 18],[31.79347826 13.20652174] ; [33.20652174 13.79347826],0
v2,1,0.058143,3.589586,[20 21] ; [13 32],[15.73255814 25.26744186] ; [17.26744186 27.73255814],0
a3,1,0.069584,3.292814,[24 21] ; [33 13],[28.18681319 16.81318681] ; [28.81318681 17.18681319],0
v4,1,0.073423,3.204783,[36  9] ; [29 17],[32.14285714 12.85714286] ; [32.85714286 13.14285714],0
a7,1,0.076772,3.131937,[32 13] ; [25 22],[27.88043478 17.11956522] ; [29.11956522 17.88043478],0
a4,1,0.081333,3.038056,[14 31] ; [23 24],[18.09782609 26.90217391] ; [18.90217391 28.09782609],0
b4,1,0.085381,2.959372,[30 15] ; [23 24],[25.92391304 19.07608696] ; [27.07608696 19.92391304],0
p9,1,0.086807,2.932614,[28 16] ; [21 25],[23.95555556 20.04444444] ; [25.04444444 20.95555556],0
s8,1,0.092939,2.822721,[12 33] ; [ 6 41],[ 8.80434783 36.19565217] ; [ 9.19565217 37.80434783],0
p10,1,0.094171,2.801585,[23 21] ; [16 30],[19.06666667 24.93333333] ; [19.93333333 26.06666667],0
d1,1,0.09771,2.74253,[23 22] ; [16 31],[19.07608696 25.92391304] ; [19.92391304 27.07608696],0
a1,1,0.156772,2.005088,[ 2 43] ; [ 6 41],[ 3.91304348 41.08695652] ; [ 4.08695652 42.91304348],0
s1,1,0.159887,1.975296,[ 4 41] ; [ 1 45],[ 2.47252747 42.52747253] ; [ 2.52747253 43.47252747],0
n1,1,0.167999,1.900712,[ 8 14] ; [11  8],[10.19512195 11.80487805] ; [ 8.80487805 10.19512195],0
p3,1,0.176145,1.829848,[ 7 37] ; [13 34],[ 9.67032967 34.32967033] ; [10.32967033 36.67032967],0
d4,1,0.193257,1.692616,[36  9] ; [32 15],[33.26086957 11.73913043] ; [34.73913043 12.26086957],0
r3,1,0.193257,1.692616,[36  9] ; [32 15],[33.26086957 11.73913043] ; [34.73913043 12.26086957],0
r2,1,0.200463,1.638998,[37  8] ; [42  4],[39.06593407  5.93406593] ; [39.93406593  6.06593407],0
b5,1,0.204911,1.60702,[27 18] ; [22 25],[23.9673913 21.0326087] ; [25.0326087 21.9673913],0
s5,1,0.223242,1.48341,[ 9 33] ; [ 5 38],[ 6.91764706 35.08235294] ; [ 7.08235294 35.91764706],0
u1,1,0.28589,1.138878,[ 3 42] ; [ 1 46],[ 1.95652174 43.04347826] ; [ 2.04347826 44.95652174],0
s4,1,0.325745,0.965742,[ 8 37] ; [ 5 42],[ 6.35869565 38.64130435] ; [ 6.64130435 40.35869565],0
n2,1,0.326558,0.9625,[11 11] ; [13  7],[12.57142857  9.42857143] ; [11.42857143  8.57142857],0
d2,1,0.372229,0.79621,[16 29] ; [21 26],[18.09782609 26.90217391] ; [18.90217391 28.09782609],0
a6,1,0.372229,0.79621,[29 16] ; [26 21],[26.90217391 18.09782609] ; [28.09782609 18.90217391],0
s6,1,0.373411,0.792283,[17 27] ; [14 33],[14.98901099 29.01098901] ; [16.01098901 30.98901099],0
b1,1,0.380923,0.767722,[17 28] ; [22 25],[19.07608696 25.92391304] ; [19.92391304 27.07608696],0
d3,1,0.38867,0.7431,[27 18] ; [24 23],[24.94565217 20.05434783] ; [26.05434783 20.94565217],0
s2,1,0.417624,0.656991,[17 28] ; [14 33],[15.16304348 29.83695652] ; [15.83695652 31.16304348],0
u3,1,0.485667,0.486111,[13  8] ; [7 7],[12.  9.] ; [8. 6.],0
r1,1,0.502184,0.450317,[27 17] ; [32 15],[28.52747253 15.47252747] ; [30.47252747 16.52747253],0
n3,1,0.603761,0.26936,[14  8] ; [10  8],[13.2  8.8] ; [10.8  7.2],0
p11,1,0.64053,0.21805,[17 28] ; [20 27],[18.09782609 26.90217391] ; [18.90217391 28.09782609],0
s7,1,0.651792,0.203648,[11 32] ; [ 9 33],[10.11764706 32.88235294] ; [ 9.88235294 32.11764706],0
p2,1,0.679833,0.170314,[22 23] ; [25 22],[22.98913043 22.01086957] ; [24.01086957 22.98913043],0
b2,1,0.696325,0.152323,[ 9 13] ; [13 15],[ 9.68 12.32] ; [12.32 15.68],0
b3,1,0.696325,0.152323,[ 9 13] ; [13 15],[ 9.68 12.32] ; [12.32 15.68],0
p4,1,0.717435,0.130963,[11 34] ; [10 37],[10.27173913 34.72826087] ; [10.72826087 36.27173913],0
p1,1,0.718499,0.129936,[ 6 39] ; [ 5 41],[ 5.43956044 39.56043956] ; [ 5.56043956 40.43956044],0
s3,1,0.73658,0.113156,[18 27] ; [20 26],[18.79120879 26.20879121] ; [19.20879121 26.79120879],0
u2,1,0.773753,0.082639,[11  9] ; [7 7],[10.58823529  9.41176471] ; [7.41176471 6.58823529],0
v3,1,0.781026,0.077274,[11 30] ; [13 31],[11.57647059 29.42352941] ; [12.42352941 31.57647059],0
p6,1,0.804833,0.061057,[ 4 40] ; [ 5 42],[ 4.35164835 39.64835165] ; [ 4.64835165 42.35164835],0
r4,1,0.87894,0.023199,[29 16] ; [31 16],[29.34782609 15.65217391] ; [30.65217391 16.34782609],0
v1,1,0.929266,0.00788,[19 26] ; [19 27],[18.79120879 26.20879121] ; [19.20879121 26.79120879],0
a2,1,0.93562,0.006525,[ 6 39] ; [ 6 41],[ 5.86956522 39.13043478] ; [ 6.13043478 40.86956522],0
p12,1,0.97464,0.001011,[ 1 43] ; [ 1 45],[ 0.97777778 43.02222222] ; [ 1.02222222 44.97777778],0
