Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.000178,14.046823,[152   9] ; [4 3],[149.5  11.5] ; [6.5 0.5],1
p5,1,0.00018,14.02467,[ 16 143] ; [4 3],[ 19.15662651 139.84337349] ; [0.84337349 6.15662651],1
v4,1,0.002418,9.201444,[156   6] ; [5 2],[154.33136095   7.66863905] ; [6.66863905 0.33136095],0
b4,1,0.003977,8.294265,[109  53] ; [1 6],[105.44378698  56.55621302] ; [4.55621302 2.44378698],0
r4,1,0.012672,6.214378,[144  18] ; [4 3],[141.86982249  20.13017751] ; [6.13017751 0.86982249],0
r1,1,0.021252,5.306035,[129  33] ; [3 4],[126.53254438  35.46745562] ; [5.46745562 1.53254438],0
p2,1,0.024409,5.065308,[125  33] ; [3 4],[122.56969697  35.43030303] ; [5.43030303 1.56969697],0
a7,1,0.026615,4.915608,[126  34] ; [3 4],[123.59281437  36.40718563] ; [5.40718563 1.59281437],0
n4,1,0.029864,4.717119,[126  35] ; [3 4],[123.625  37.375] ; [5.375 1.625],0
b1,1,0.03844,4.28545,[ 54 108] ; [5 2],[ 56.55621302 105.44378698] ; [2.44378698 4.55621302],0
p4,1,0.103608,2.649109,[85 71] ; [6 1],[87.09202454 68.90797546] ; [3.90797546 3.09202454],0
s3,1,0.117393,2.451769,[69 87] ; [1 6],[66.99386503 89.00613497] ; [3.00613497 3.99386503],0
p9,1,0.175678,1.833815,[123  33] ; [4 3],[121.54601227  34.45398773] ; [5.45398773 1.54601227],0
p7,1,0.175997,1.831108,[94 62] ; [6 1],[95.70552147 60.29447853] ; [4.29447853 2.70552147],0
p10,1,0.189171,1.724061,[123  34] ; [4 3],[121.57926829  35.42073171] ; [5.42073171 1.57926829],0
p3,1,0.239936,1.38097,[77 81] ; [5 2],[78.52121212 79.47878788] ; [3.47878788 3.52121212],0
b5,1,0.316352,1.003968,[100  62] ; [3 4],[98.73372781 63.26627219] ; [4.26627219 2.73372781],0
p6,1,0.368323,0.809316,[ 47 109] ; [1 6],[ 45.93865031 110.06134969] ; [2.06134969 4.93865031],0
a4,1,0.396214,0.719787,[66 95] ; [4 3],[67.08333333 93.91666667] ; [2.91666667 4.08333333],0
n6,1,0.444148,0.585541,[134  28] ; [5 2],[133.24260355  28.75739645] ; [5.75739645 1.24260355],0
a6,1,0.4625,0.539839,[113  48] ; [4 3],[112.125  48.875] ; [4.875 2.125],0
d3,1,0.486448,0.484373,[112  49] ; [4 3],[111.16666667  49.83333333] ; [4.83333333 2.16666667],0
v1,1,0.503948,0.446613,[94 66] ; [5 2],[94.8502994 65.1497006] ; [4.1497006 2.8502994],0
s5,1,0.513919,0.426079,[ 40 119] ; [1 6],[ 39.27108434 119.72891566] ; [1.72891566 5.27108434],0
n2,1,0.539038,0.377326,[24 10] ; [1 1],[23.61111111 10.38888889] ; [1.38888889 0.61111111],0
d2,1,0.549591,0.358051,[73 87] ; [4 3],[73.77245509 86.22754491] ; [3.22754491 3.77245509],0
a8,1,0.621998,0.243069,[ 15 130] ; [1 5],[ 15.36423841 129.63576159] ; [0.63576159 5.36423841],0
s2,1,0.649103,0.207034,[ 60 102] ; [2 5],[ 59.43195266 102.56804734] ; [2.56804734 4.43195266],0
d4,1,0.676255,0.174372,[125  35] ; [5 2],[124.5508982  35.4491018] ; [5.4491018 1.5508982],0
p8,1,0.699276,0.149227,[78 79] ; [4 3],[78.5 78.5] ; [3.5 3.5],0
v2,1,0.714114,0.134203,[116  42] ; [4 2],[115.6097561  42.3902439] ; [4.3902439 1.6097561],0
p12,1,0.723178,0.125468,[ 16 142] ; [1 6],[ 16.27878788 141.72121212] ; [0.72121212 6.27878788],0
b2,1,0.731448,0.117786,[29 60] ; [2 3],[29.35106383 59.64893617] ; [1.64893617 3.35106383],0
b3,1,0.731448,0.117786,[29 60] ; [2 3],[29.35106383 59.64893617] ; [1.64893617 3.35106383],0
p1,1,0.754983,0.097391,[ 17 144] ; [1 6],[ 17.25 143.75] ; [0.75 6.25],0
a2,1,0.785795,0.073862,[ 39 123] ; [2 5],[ 39.30177515 122.69822485] ; [1.69822485 5.30177515],0
d1,1,0.80841,0.058796,[85 77] ; [4 3],[85.31360947 76.68639053] ; [3.68639053 3.31360947],0
d5,1,0.846135,0.037656,[121  41] ; [5 2],[120.78106509  41.21893491] ; [5.21893491 1.78106509],0
p11,1,0.846135,0.037656,[121  41] ; [5 2],[120.78106509  41.21893491] ; [5.21893491 1.78106509],0
s7,1,0.853022,0.034323,[ 45 106] ; [2 4],[ 45.20382166 105.79617834] ; [1.79617834 4.20382166],0
n5,1,0.853763,0.033974,[120  41] ; [5 2],[119.79166667  41.20833333] ; [5.20833333 1.79166667],0
u1,1,0.868246,0.027518,[ 27 135] ; [1 6],[ 26.84023669 135.15976331] ; [1.15976331 5.84023669],0
a3,1,0.88092,0.022441,[110  50] ; [5 2],[110.17964072  49.82035928] ; [4.82035928 2.17964072],0
u2,1,0.891334,0.018664,[28 23] ; [1 1],[27.90566038 23.09433962] ; [1.09433962 0.90566038],0
a5,1,0.943898,0.004952,[113  48] ; [5 2],[113.08333333  47.91666667] ; [4.91666667 2.08333333],0
s6,1,0.969494,0.001463,[88 68] ; [4 3],[88.04907975 67.95092025] ; [3.95092025 3.04907975],0
u3,1,0.978295,0.00074,[26 25] ; [1 1],[25.98113208 25.01886792] ; [1.01886792 0.98113208],0
