Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1e-06,23.614607,[33  6] ; [ 8 22],[23.17391304 15.82608696] ; [17.82608696 12.17391304],1
r3,1,0.000639,11.658421,[35  4] ; [16 14],[28.82608696 10.17391304] ; [22.17391304  7.82608696],1
n5,1,0.000877,11.071714,[10 28] ; [20 10],[16.76470588 21.23529412] ; [13.23529412 16.76470588],1
d3,1,0.023746,5.113077,[18 21] ; [ 6 24],[13.56521739 25.43478261] ; [10.43478261 19.56521739],0
b4,1,0.027275,4.873345,[26 13] ; [12 18],[21.47826087 17.52173913] ; [16.52173913 13.47826087],0
d4,1,0.041284,4.164339,[27 11] ; [14 16],[22.91176471 15.08823529] ; [18.08823529 11.91176471],0
v4,1,0.045264,4.008769,[31  6] ; [18 11],[27.46969697  9.53030303] ; [21.53030303  7.46969697],0
v3,1,0.049399,3.861735,[11 24] ; [ 3 25],[ 7.77777778 27.22222222] ; [ 6.22222222 21.77777778],0
u2,1,0.052068,3.773589,[12  2] ; [9 8],[9.48387097 4.51612903] ; [11.51612903  5.48387097],0
r2,1,0.055023,3.681401,[34  5] ; [19  9],[30.85074627  8.14925373] ; [22.14925373  5.85074627],0
b1,1,0.079889,3.067158,[22 17] ; [23  7],[25.43478261 13.56521739] ; [19.56521739 10.43478261],0
p11,1,0.08555,2.956177,[25 14] ; [13 17],[21.47826087 17.52173913] ; [16.52173913 13.47826087],0
a3,1,0.08555,2.956177,[25 14] ; [13 17],[21.47826087 17.52173913] ; [16.52173913 13.47826087],0
s3,1,0.113383,2.506423,[25 14] ; [13 16],[21.79411765 17.20588235] ; [16.20588235 12.79411765],0
v1,1,0.156023,2.012351,[21 18] ; [11 19],[18.08695652 20.91304348] ; [13.91304348 16.08695652],0
p8,1,0.173456,1.852815,[14 25] ; [ 6 23],[11.47058824 27.52941176] ; [ 8.52941176 20.47058824],0
a2,1,0.190101,1.716834,[ 1 38] ; [ 3 27],[ 2.26086957 36.73913043] ; [ 1.73913043 28.26086957],0
u3,1,0.20009,1.641719,[9 5] ; [ 7 10],[7.22580645 6.77419355] ; [8.77419355 8.22580645],0
a1,1,0.230487,1.437851,[ 2 37] ; [ 4 26],[ 3.39130435 35.60869565] ; [ 2.60869565 27.39130435],0
a5,1,0.253703,1.302797,[21 18] ; [12 18],[18.65217391 20.34782609] ; [14.34782609 15.65217391],0
s6,1,0.271552,1.208889,[19 19] ; [11 19],[16.76470588 21.23529412] ; [13.23529412 16.76470588],0
n1,1,0.273322,1.2,[6 9] ; [9 6],[7.5 7.5] ; [7.5 7.5],0
a6,1,0.281772,1.158524,[12 27] ; [13 17],[14.13043478 24.86956522] ; [10.86956522 19.13043478],0
p10,1,0.282966,1.152787,[20 18] ; [11 17],[17.84848485 20.15151515] ; [13.15151515 14.84848485],0
s5,1,0.283481,1.150327,[10 26] ; [ 5 25],[ 8.18181818 27.81818182] ; [ 6.81818182 23.18181818],0
d1,1,0.302865,1.061538,[15 24] ; [ 8 22],[13. 26.] ; [10. 20.],0
d5,1,0.309491,1.032848,[23 16] ; [14 16],[20.91304348 18.08695652] ; [16.08695652 13.91304348],0
p2,1,0.309718,1.03188,[23 16] ; [13 15],[20.95522388 18.04477612] ; [15.04477612 12.95522388],0
v2,1,0.317,1.001286,[16 20] ; [ 9 19],[14.0625 21.9375] ; [10.9375 17.0625],0
a4,1,0.41471,0.665258,[14 25] ; [ 8 22],[12.43478261 26.56521739] ; [ 9.56521739 20.43478261],0
s8,1,0.432976,0.614828,[11 28] ; [ 6 24],[ 9.60869565 29.39130435] ; [ 7.39130435 22.60869565],0
a8,1,0.450112,0.57037,[ 1 35] ; [ 2 28],[ 1.63636364 34.36363636] ; [ 1.36363636 28.63636364],0
p3,1,0.468736,0.524954,[14 25] ; [ 8 21],[12.61764706 26.38235294] ; [ 9.38235294 19.61764706],0
b5,1,0.512307,0.429351,[20 19] ; [13 17],[18.65217391 20.34782609] ; [14.34782609 15.65217391],0
n4,1,0.596585,0.280178,[22 17] ; [15 15],[20.91304348 18.08695652] ; [16.08695652 13.91304348],0
s7,1,0.624297,0.239874,[11 22] ; [ 8 21],[10.11290323 22.88709677] ; [ 8.88709677 20.11290323],0
