Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,2.8e-05,17.558999,[ 6 16] ; [61 20],[14.31067961  7.68932039] ; [52.68932039 28.31067961],1
n4,1,0.000552,11.931098,[ 8 15] ; [59 21],[14.96116505  8.03883495] ; [52.03883495 27.96116505],1
s7,1,0.001957,9.589809,[ 6 16] ; [46 25],[12.30107527  9.69892473] ; [39.69892473 31.30107527],0
s8,1,0.012109,6.294864,[ 5 18] ; [41 39],[10.27184466 12.72815534] ; [35.72815534 44.27184466],0
d3,1,0.029917,4.714048,[13 10] ; [64 17],[17.02884615  5.97115385] ; [59.97115385 21.02884615],0
p2,1,0.032004,4.598298,[15  8] ; [69 12],[18.57692308  4.42307692] ; [65.42307692 15.57692308],0
p9,1,0.048771,3.883221,[12 11] ; [59 21],[15.85436893  7.14563107] ; [55.14563107 24.85436893],0
a7,1,0.06021,3.531585,[12 11] ; [59 22],[15.70192308  7.29807692] ; [55.29807692 25.70192308],0
v1,1,0.061844,3.487238,[ 7 16] ; [42 38],[10.94174757 12.05825243] ; [38.05825243 41.94174757],0
v4,1,0.082729,3.010448,[18  5] ; [74  7],[20.34615385  2.65384615] ; [71.65384615  9.34615385],0
b5,1,0.099531,2.713043,[11 12] ; [54 27],[14.375  8.625] ; [50.625 30.375],0
p10,1,0.140834,2.168822,[10 13] ; [48 31],[13.07843137  9.92156863] ; [44.92156863 34.07843137],0
u1,1,0.146325,2.110145,[ 2 21] ; [18 63],[ 4.42307692 18.57692308] ; [15.57692308 65.42307692],0
r2,1,0.157945,1.993789,[19  4] ; [74  6],[20.76699029  2.23300971] ; [72.23300971  7.76699029],0
s2,1,0.169144,1.890511,[11 12] ; [51 29],[13.84466019  9.15533981] ; [48.15533981 31.84466019],0
u2,1,0.169849,1.884276,[7 4] ; [11 17],[5.07692308 5.92307692] ; [12.92307692 15.07692308],0
n2,1,0.209601,1.574183,[5 5] ; [16  6],[6.5625 3.4375] ; [14.4375  7.5625],0
p3,1,0.232148,1.42765,[11 12] ; [50 31],[13.49038462  9.50961538] ; [47.50961538 33.49038462],0
b1,1,0.255688,1.291952,[15  8] ; [42 39],[12.60576923 10.39423077] ; [44.39423077 36.60576923],0
r4,1,0.257787,1.280605,[18  5] ; [71 10],[19.68269231  3.31730769] ; [69.31730769 11.68269231],0
d1,1,0.258401,1.277305,[10 13] ; [46 35],[12.38461538 10.61538462] ; [43.61538462 37.38461538],0
a3,1,0.263724,1.249105,[12 11] ; [52 28],[14.29126214  8.70873786] ; [49.70873786 30.29126214],0
u3,1,0.269818,1.21767,[8 2] ; [17 11],[6.57894737 3.42105263] ; [18.42105263  9.57894737],0
n1,1,0.290466,1.11746,[3 7] ; [11 11],[4.375 5.625] ; [ 9.625 12.375],0
p6,1,0.297515,1.0853,[ 7 16] ; [34 46],[ 9.15533981 13.84466019] ; [31.84466019 48.15533981],0
a8,1,0.303016,1.060875,[ 1 22] ; [ 8 60],[ 2.27472527 20.72527473] ; [ 6.72527473 61.27472527],0
s5,1,0.307587,1.04101,[ 6 15] ; [31 45],[ 8.01030928 12.98969072] ; [28.98969072 47.01030928],0
s3,1,0.409851,0.679234,[12 11] ; [50 31],[13.71153846  9.28846154] ; [48.28846154 32.71153846],0
v3,1,0.4614,0.542495,[ 9 12] ; [27 52],[ 7.56 13.44] ; [28.44 50.56],0
a5,1,0.509923,0.434226,[17  6] ; [54 27],[15.70192308  7.29807692] ; [55.29807692 25.70192308],0
d5,1,0.511562,0.430872,[17  6] ; [65 16],[18.13461538  4.86538462] ; [63.86538462 17.13461538],0
r1,1,0.515432,0.423025,[16  7] ; [61 19],[17.19417476  5.80582524] ; [59.80582524 20.19417476],0
v2,1,0.558255,0.342734,[12 10] ; [38 42],[10.78431373 11.21568627] ; [39.21568627 40.78431373],0
p5,1,0.573917,0.316172,[ 2 20] ; [11 70],[ 2.77669903 19.22330097] ; [10.22330097 70.77669903],0
b4,1,0.581838,0.303272,[11 12] ; [44 37],[12.16346154 10.83653846] ; [42.83653846 38.16346154],0
p1,1,0.628711,0.233813,[ 2 21] ; [10 71],[ 2.65384615 20.34615385] ; [ 9.34615385 71.65384615],0
a1,1,0.634738,0.225691,[ 1 22] ; [ 2 79],[ 0.66346154 22.33653846] ; [ 2.33653846 78.66346154],0
s1,1,0.692787,0.156085,[ 2 21] ; [ 5 74],[ 1.57843137 21.42156863] ; [ 5.42156863 73.57843137],0
p7,1,0.694036,0.15475,[12 11] ; [46 35],[12.82692308 10.17307692] ; [45.17307692 35.82692308],0
n3,1,0.725359,0.123416,[7 3] ; [14  8],[6.5625 3.4375] ; [14.4375  7.5625],0
p8,1,0.769864,0.085587,[10 12] ; [34 47],[ 9.39805825 12.60194175] ; [34.60194175 46.39805825],0
a4,1,0.773665,0.082704,[11 12] ; [36 45],[10.39423077 12.60576923] ; [36.60576923 44.39423077],0
a2,1,0.794471,0.067865,[ 6 17] ; [19 62],[ 5.52884615 17.47115385] ; [19.47115385 61.52884615],0
d2,1,0.813222,0.055824,[12 11] ; [40 41],[11.5 11.5] ; [40.5 40.5],0
s4,1,0.840664,0.040419,[ 5 18] ; [19 61],[ 5.3592233 17.6407767] ; [18.6407767 61.3592233],0
r3,1,0.852288,0.03467,[21  2] ; [72  8],[20.76699029  2.23300971] ; [72.23300971  7.76699029],0
s6,1,0.869929,0.026814,[18  5] ; [59 18],[17.71  5.29] ; [59.29 17.71],0
a6,1,0.93438,0.006779,[13 10] ; [45 36],[12.82692308 10.17307692] ; [45.17307692 35.82692308],0
b2,1,0.981726,0.000525,[ 4 13] ; [10 32],[ 4.03389831 12.96610169] ; [ 9.96610169 32.03389831],0
b3,1,0.981726,0.000525,[ 4 13] ; [10 32],[ 4.03389831 12.96610169] ; [ 9.96610169 32.03389831],0
d4,1,0.987597,0.000242,[17  6] ; [60 21],[17.02884615  5.97115385] ; [59.97115385 21.02884615],0
