Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.0,62.526731,[13 83] ; [63 26],[39.43783784 56.56216216] ; [36.56216216 52.43783784],1
s2,1,0.0,37.540632,[23 71] ; [62 27],[43.66120219 50.33879781] ; [41.33879781 47.66120219],1
s6,1,1e-06,24.375881,[45 47] ; [73 14],[60.64804469 31.35195531] ; [57.35195531 29.64804469],1
s3,1,1e-06,24.130164,[32 62] ; [62 26],[48.54945055 45.45054945] ; [45.45054945 42.54945055],1
s5,1,0.001124,10.612008,[17 75] ; [35 51],[26.87640449 65.12359551] ; [25.12359551 60.87640449],0
p6,1,0.00683,7.317195,[22 72] ; [36 49],[30.45810056 63.54189944] ; [27.54189944 57.45810056],0
u2,1,0.009801,6.670668,[17 26] ; [18  7],[22.13235294 20.86764706] ; [12.86764706 12.13235294],0
p5,1,0.017183,5.67758,[ 5 91] ; [14 74],[ 9.91304348 86.08695652] ; [ 9.08695652 78.91304348],0
p7,1,0.0195,5.456104,[50 44] ; [61 26],[57.64640884 36.35359116] ; [53.35359116 33.64640884],0
p10,1,0.021196,5.310564,[67 28] ; [73 13],[73.48066298 21.51933702] ; [66.51933702 19.48066298],0
p8,1,0.022941,5.172954,[36 58] ; [48 39],[43.62430939 50.37569061] ; [40.37569061 46.62430939],0
a3,1,0.028584,4.792471,[53 43] ; [63 26],[60.19459459 35.80540541] ; [55.80540541 33.19459459],0
p2,1,0.030921,4.657335,[72 24] ; [77 11],[77.73913043 18.26086957] ; [71.26086957 16.73913043],0
p3,1,0.051485,3.792427,[37 59] ; [47 42],[43.58918919 52.41081081] ; [40.41081081 48.58918919],0
a8,1,0.059187,3.56003,[10 80] ; [18 65],[14.56647399 75.43352601] ; [13.43352601 69.56647399],0
p4,1,0.065451,3.39357,[42 54] ; [51 38],[48.25945946 47.74054054] ; [44.74054054 44.25945946],0
r4,1,0.071046,3.258687,[78 19] ; [80  9],[82.39784946 14.60215054] ; [75.60215054 13.39784946],0
b3,1,0.082099,3.022843,[18 39] ; [31 35],[22.70731707 34.29268293] ; [26.29268293 39.70731707],0
b2,1,0.082099,3.022843,[18 39] ; [31 35],[22.70731707 34.29268293] ; [26.29268293 39.70731707],0
p9,1,0.093749,2.808799,[75 21] ; [77 11],[79.30434783 16.69565217] ; [72.69565217 15.30434783],0
a5,1,0.109123,2.566883,[52 45] ; [58 31],[57.3655914 39.6344086] ; [52.6344086 36.3655914],0
n2,1,0.114641,2.489052,[18  1] ; [17  5],[16.2195122  2.7804878] ; [18.7804878  3.2195122],0
a7,1,0.117837,2.445837,[63 32] ; [49 40],[57.82608696 37.17391304] ; [54.17391304 34.82608696],0
a6,1,0.121588,2.396746,[49 48] ; [55 34],[54.23655914 42.76344086] ; [49.76344086 39.23655914],0
v3,1,0.123354,2.374216,[34 62] ; [41 47],[39.13043478 56.86956522] ; [35.86956522 52.13043478],0
n5,1,0.127357,2.324432,[65 30] ; [69 19],[69.56284153 25.43715847] ; [64.43715847 23.56284153],0
s1,1,0.142933,2.146096,[ 3 92] ; [ 7 79],[ 5.24861878 89.75138122] ; [ 4.75138122 81.24861878],0
d4,1,0.143649,2.138428,[53 44] ; [58 31],[57.88709677 39.11290323] ; [53.11290323 35.88709677],0
n4,1,0.147651,2.096355,[65 31] ; [68 20],[69.39130435 26.60869565] ; [63.60869565 24.39130435],0
r3,1,0.158222,1.991142,[84 11] ; [83  5],[86.69398907  8.30601093] ; [80.30601093  7.69398907],0
u3,1,0.173734,1.850427,[25 19] ; [19  7],[27.65714286 16.34285714] ; [16.34285714  9.65714286],0
u1,1,0.177289,1.820201,[ 4 93] ; [ 8 81],[ 6.25806452 90.74193548] ; [ 5.74193548 83.25806452],0
r1,1,0.21374,1.545909,[70 26] ; [71 17],[73.56521739 22.43478261] ; [67.43478261 20.56521739],0
v2,1,0.215052,1.537085,[51 42] ; [55 31],[55.0726257 37.9273743] ; [50.9273743 35.0726257],0
a1,1,0.245397,1.349319,[ 7 90] ; [ 3 86],[ 5.21505376 91.78494624] ; [ 4.78494624 84.21505376],0
d3,1,0.274004,1.196589,[37 60] ; [41 48],[40.67741935 56.32258065] ; [37.32258065 51.67741935],0
a4,1,0.301725,1.066554,[30 65] ; [22 67],[26.84782609 68.15217391] ; [25.15217391 63.84782609],0
a2,1,0.341986,0.902973,[ 7 90] ; [10 79],[ 8.8655914 88.1344086] ; [ 8.1344086 80.8655914],0
n3,1,0.375711,0.784689,[16  3] ; [16  6],[14.82926829  4.17073171] ; [17.17073171  4.82926829],0
v4,1,0.387689,0.746179,[85 10] ; [81  6],[86.64835165  8.35164835] ; [79.35164835  7.64835165],0
s4,1,0.390198,0.738325,[13 84] ; [16 73],[15.12365591 81.87634409] ; [13.87634409 75.12365591],0
n1,1,0.42681,0.631488,[ 8 11] ; [12 10],[9.26829268 9.73170732] ; [10.73170732 11.26829268],0
b5,1,0.447809,0.576192,[63 34] ; [53 36],[60.49462366 36.50537634] ; [55.50537634 33.49462366],0
d2,1,0.50927,0.435566,[12 85] ; [14 75],[13.55913978 83.44086022] ; [12.44086022 76.55913978],0
d5,1,0.582625,0.302011,[55 42] ; [54 35],[56.84408602 40.15591398] ; [52.15591398 36.84408602],0
b1,1,0.640782,0.21772,[36 61] ; [36 53],[37.5483871 59.4516129] ; [34.4516129 54.5483871],0
p12,1,0.645445,0.211691,[ 5 91] ; [ 6 82],[ 5.73913043 90.26086957] ; [ 5.26086957 82.73913043],0
b4,1,0.704379,0.143957,[55 42] ; [48 41],[53.71505376 43.28494624] ; [49.28494624 39.71505376],0
n6,1,0.785275,0.074229,[74 21] ; [70 18],[74.75409836 20.24590164] ; [69.24590164 18.75409836],0
p11,1,0.868741,0.02731,[72 25] ; [67 22],[72.48924731 24.51075269] ; [66.51075269 22.48924731],0
r2,1,0.926768,0.008448,[87  8] ; [80  7],[87.17032967  7.82967033] ; [79.82967033  7.17032967],0
p1,1,0.98536,0.000337,[10 87] ; [ 9 79],[ 9.96216216 87.03783784] ; [ 9.03783784 78.96216216],0
