Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,1.9e-05,18.290665,[32  7] ; [ 3 12],[25.27777778 13.72222222] ; [9.72222222 5.27777778],1
s3,1,1.9e-05,18.290665,[32  7] ; [ 3 12],[25.27777778 13.72222222] ; [9.72222222 5.27777778],1
s2,1,0.000483,12.181845,[31  9] ; [ 4 11],[25.45454545 14.54545455] ; [9.54545455 5.45454545],1
p8,1,0.001042,10.75133,[38  2] ; [9 6],[34.18181818  5.81818182] ; [12.81818182  2.18181818],0
p6,1,0.00517,7.819005,[29 10] ; [ 5 10],[24.55555556 14.44444444] ; [9.44444444 5.55555556],0
s6,1,0.006451,7.41974,[36  4] ; [8 6],[32.59259259  7.40740741] ; [11.40740741  2.59259259],0
n5,1,0.021705,5.269274,[38  2] ; [11  4],[35.63636364  4.36363636] ; [13.36363636  1.63636364],0
p11,1,0.057502,3.608011,[37  3] ; [11  4],[34.90909091  5.09090909] ; [13.09090909  1.90909091],0
p7,1,0.082194,3.020979,[34  5] ; [10  5],[31.77777778  7.22222222] ; [12.22222222  2.77777778],0
n4,1,0.084822,2.97,[38  2] ; [12  3],[36.36363636  3.63636364] ; [13.63636364  1.36363636],0
r2,1,0.084822,2.97,[38  2] ; [12  3],[36.36363636  3.63636364] ; [13.63636364  1.36363636],0
b5,1,0.094129,2.80231,[14 26] ; [9 6],[16.72727273 23.27272727] ; [6.27272727 8.72727273],0
n6,1,0.121757,2.39457,[38  1] ; [13  2],[36.83333333  2.16666667] ; [14.16666667  0.83333333],0
d3,1,0.136213,2.220227,[29 10] ; [8 7],[26.72222222 12.27777778] ; [10.27777778  4.72222222],0
p3,1,0.142424,2.151569,[33  6] ; [10  5],[31.05555556  7.94444444] ; [11.94444444  3.05555556],0
d1,1,0.177283,1.820258,[29 11] ; [8 7],[26.90909091 13.09090909] ; [10.09090909  4.90909091],0
r1,1,0.185396,1.753827,[37  3] ; [12  3],[35.63636364  4.36363636] ; [13.36363636  1.63636364],0
p2,1,0.20594,1.599738,[35  5] ; [11  4],[33.45454545  6.54545455] ; [12.54545455  2.45454545],0
p12,1,0.218005,1.517455,[15 25] ; [ 3 12],[13.09090909 26.90909091] ; [ 4.90909091 10.09090909],0
u2,1,0.259796,1.269841,[5 1] ; [2 2],[4.2 1.8] ; [2.8 1.2],0
u3,1,0.259796,1.269841,[5 1] ; [2 2],[4.2 1.8] ; [2.8 1.2],0
a1,1,0.310151,1.030031,[ 7 33] ; [ 1 14],[ 5.81818182 34.18181818] ; [ 2.18181818 12.81818182],0
v1,1,0.317759,0.998148,[34  6] ; [11  4],[32.72727273  7.27272727] ; [12.27272727  2.72727273],0
a3,1,0.317759,0.998148,[34  6] ; [11  4],[32.72727273  7.27272727] ; [12.27272727  2.72727273],0
d2,1,0.457369,0.552325,[19 20] ; [9 6],[20.22222222 18.77777778] ; [7.77777778 7.22222222],0
p4,1,0.469066,0.524176,[36  3] ; [12  2],[35.32075472  3.67924528] ; [12.67924528  1.32075472],0
b4,1,0.472386,0.516389,[23 17] ; [7 8],[21.81818182 18.18181818] ; [8.18181818 6.81818182],0
b1,1,0.472386,0.516389,[17 23] ; [8 7],[18.18181818 21.81818182] ; [6.81818182 8.18181818],0
n3,1,0.490153,0.47619,[3 4] ; [2 1],[3.5 3.5] ; [1.5 1.5],0
p9,1,0.502731,0.449167,[37  3] ; [13  2],[36.36363636  3.63636364] ; [13.63636364  1.36363636],0
d5,1,0.50593,0.442475,[34  5] ; [12  3],[33.22222222  5.77777778] ; [12.77777778  2.22222222],0
d4,1,0.50593,0.442475,[34  5] ; [12  3],[33.22222222  5.77777778] ; [12.77777778  2.22222222],0
a7,1,0.557476,0.344094,[26 14] ; [11  4],[26.90909091 13.09090909] ; [10.09090909  4.90909091],0
a8,1,0.568247,0.325625,[ 4 34] ; [ 2 10],[ 4.56 33.44] ; [ 1.44 10.56],0
s4,1,0.594507,0.283361,[ 4 36] ; [ 2 11],[ 4.52830189 35.47169811] ; [ 1.47169811 11.52830189],0
p1,1,0.676734,0.173826,[13 27] ; [ 4 11],[12.36363636 27.63636364] ; [ 4.63636364 10.36363636],0
s5,1,0.681891,0.168005,[30  9] ; [10  4],[29.43396226  9.56603774] ; [10.56603774  3.43396226],0
a4,1,0.69994,0.148534,[21 19] ; [7 8],[20.36363636 19.63636364] ; [7.63636364 7.36363636],0
v2,1,0.808466,0.058761,[28 12] ; [11  4],[28.36363636 11.63636364] ; [10.63636364  4.36363636],0
u1,1,0.830479,0.045833,[ 7 33] ; [ 3 12],[ 7.27272727 32.72727273] ; [ 2.72727273 12.27272727],0
a2,1,0.875923,0.024379,[ 6 34] ; [ 2 13],[ 5.81818182 34.18181818] ; [ 2.18181818 12.81818182],0
b2,1,0.92439,0.009007,[15 16] ; [6 6],[15.13953488 15.86046512] ; [5.86046512 6.13953488],0
b3,1,0.92439,0.009007,[15 16] ; [6 6],[15.13953488 15.86046512] ; [5.86046512 6.13953488],0
a6,1,0.945225,0.00472,[23 16] ; [9 6],[23.11111111 15.88888889] ; [8.88888889 6.11111111],0
p10,1,0.964972,0.001929,[37  3] ; [13  1],[37.03703704  2.96296296] ; [12.96296296  1.03703704],0
a5,1,1.0,0.0,[32  8] ; [12  3],[32.  8.] ; [12.  3.],0
