Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.0,47.9328,[26 13] ; [ 9 88],[10.03676471 28.96323529] ; [24.96323529 72.03676471],1
s6,1,0.000161,14.238442,[29 10] ; [37 59],[19.06666667 19.93333333] ; [46.93333333 49.06666667],1
s2,1,0.000204,13.790486,[24 15] ; [27 71],[14.51824818 24.48175182] ; [36.48175182 61.51824818],1
a7,1,0.001435,10.160108,[32  7] ; [51 46],[23.80147059 15.19852941] ; [59.19852941 37.80147059],0
s3,1,0.004734,7.978393,[24 15] ; [34 63],[16.63235294 22.36764706] ; [41.36764706 55.63235294],0
p2,1,0.005239,7.79518,[34  5] ; [61 36],[27.24264706 11.75735294] ; [67.75735294 29.24264706],0
p4,1,0.008185,6.992493,[22 17] ; [31 66],[15.19852941 23.80147059] ; [37.80147059 59.19852941],0
p10,1,0.011034,6.459882,[31  7] ; [56 40],[24.67164179 13.32835821] ; [62.32835821 33.67164179],0
s4,1,0.019197,5.483461,[14 25] ; [17 81],[ 8.82481752 30.17518248] ; [22.17518248 75.82481752],0
a3,1,0.021214,5.309097,[25 14] ; [41 56],[18.92647059 20.07352941] ; [47.07352941 49.92647059],0
a6,1,0.024175,5.082047,[27 12] ; [47 51],[21.06569343 17.93430657] ; [52.93430657 45.06569343],0
p7,1,0.025351,4.999729,[26 10] ; [48 47],[20.33587786 15.66412214] ; [53.66412214 41.33587786],0
s5,1,0.026226,4.941088,[13 25] ; [16 80],[ 8.2238806 29.7761194] ; [20.7761194 75.2238806],0
a2,1,0.033966,4.496418,[ 4 35] ; [ 2 96],[ 1.7080292 37.2919708] ; [ 4.2919708 93.7080292],0
u1,1,0.036336,4.381256,[ 3 36] ; [ 1 97],[ 1.13868613 37.86131387] ; [ 2.86131387 95.13868613],0
v1,1,0.039138,4.254883,[20 19] ; [31 65],[14.73333333 24.26666667] ; [36.26666667 59.73333333],0
p3,1,0.054738,3.690051,[16 23] ; [24 74],[11.38686131 27.61313869] ; [28.61313869 69.38686131],0
d3,1,0.081356,3.037605,[21 18] ; [36 60],[16.46666667 22.53333333] ; [40.53333333 55.46666667],0
r1,1,0.104515,2.635252,[27 12] ; [53 45],[22.77372263 16.22627737] ; [57.22627737 40.77372263],0
a8,1,0.104865,2.629947,[ 5 31] ; [ 5 88],[ 2.79069767 33.20930233] ; [ 7.20930233 85.79069767],0
u3,1,0.106221,2.609563,[10  4] ; [26 29],[7.30434783 6.69565217] ; [28.69565217 26.30434783],0
r4,1,0.106444,2.60624,[32  7] ; [67 31],[28.18248175 10.81751825] ; [70.81751825 27.18248175],0
u2,1,0.110156,2.551977,[9 4] ; [25 31],[6.4057971 6.5942029] ; [27.5942029 28.4057971],0
n1,1,0.111308,2.535554,[5 7] ; [ 7 30],[2.93877551 9.06122449] ; [ 9.06122449 27.93877551],0
v4,1,0.123432,2.373217,[37  2] ; [82 14],[34.37777778  4.62222222] ; [84.62222222 11.37777778],0
p9,1,0.134337,2.241652,[30  7] ; [66 31],[26.50746269 10.49253731] ; [69.49253731 27.50746269],0
v3,1,0.179002,1.805892,[11 26] ; [18 77],[ 8.12878788 28.87121212] ; [20.87121212 74.12878788],0
p8,1,0.20862,1.580979,[19 19] ; [37 60],[15.76296296 22.23703704] ; [40.23703704 56.76296296],0
r2,1,0.234509,1.4133,[35  4] ; [79 18],[32.69117647  6.30882353] ; [81.30882353 15.69117647],0
a5,1,0.238854,1.387346,[19 20] ; [37 61],[15.94160584 23.05839416] ; [40.05839416 57.94160584],0
d5,1,0.243606,1.359606,[22 17] ; [44 53],[18.92647059 20.07352941] ; [47.07352941 49.92647059],0
p6,1,0.263488,1.250339,[11 26] ; [20 77],[ 8.55970149 28.44029851] ; [22.44029851 74.55970149],0
n5,1,0.326623,0.96224,[18 20] ; [37 60],[15.48148148 22.51851852] ; [39.51851852 57.48148148],0
n6,1,0.357842,0.845451,[27 12] ; [59 38],[24.66176471 14.33823529] ; [61.33823529 35.66176471],0
b1,1,0.365484,0.818961,[18 21] ; [37 61],[15.65693431 23.34306569] ; [39.34306569 58.65693431],0
b5,1,0.371314,0.799261,[19 20] ; [56 42],[21.35036496 17.64963504] ; [53.64963504 44.35036496],0
p1,1,0.394321,0.725575,[ 3 36] ; [ 4 93],[ 2.00735294 36.99264706] ; [ 4.99264706 92.00735294],0
n2,1,0.397827,0.714885,[11  2] ; [27 10],[9.88 3.12] ; [28.12  8.88],0
v2,1,0.543028,0.369956,[16 21] ; [36 60],[14.46616541 22.53383459] ; [37.53383459 58.46616541],0
b2,1,0.559298,0.340921,[ 5 15] ; [ 8 35],[ 4.12698413 15.87301587] ; [ 8.87301587 34.12698413],0
b3,1,0.559298,0.340921,[ 5 15] ; [ 8 35],[ 4.12698413 15.87301587] ; [ 8.87301587 34.12698413],0
d2,1,0.591242,0.288409,[ 7 32] ; [14 84],[ 5.97810219 33.02189781] ; [15.02189781 82.97810219],0
a4,1,0.678543,0.171771,[ 6 33] ; [18 80],[ 6.83211679 32.16788321] ; [17.16788321 80.83211679],0
p11,1,0.707797,0.140488,[26 13] ; [62 36],[25.05109489 13.94890511] ; [62.94890511 35.05109489],0
r3,1,0.750938,0.100744,[33  5] ; [83 15],[32.41176471  5.58823529] ; [83.58823529 14.41176471],0
p12,1,0.876065,0.024323,[ 1 38] ; [ 3 95],[ 1.13868613 37.86131387] ; [ 2.86131387 95.13868613],0
b4,1,0.893981,0.017761,[21 18] ; [54 44],[21.35036496 17.64963504] ; [53.64963504 44.35036496],0
d4,1,0.930739,0.007554,[23 16] ; [57 41],[22.77372263 16.22627737] ; [57.22627737 40.77372263],0
n3,1,0.94391,0.00495,[9 4] ; [26 11],[9.1 3.9] ; [25.9 11.1],0
p5,1,0.984816,0.000362,[ 2 37] ; [ 5 91],[ 2.02222222 36.97777778] ; [ 4.97777778 91.02222222],0
