Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.0,38.302326,[18 36] ; [104  25],[36. 18.] ; [86. 43.],1
p10,1,0.001196,10.49724,[25 28] ; [92 35],[34.45 18.55] ; [82.55 44.45],0
p9,1,0.001919,9.625892,[29 24] ; [98 28],[37.60335196 15.39664804] ; [89.39664804 36.60335196],0
n6,1,0.004278,8.161895,[32 22] ; [102  26],[39.75824176 14.24175824] ; [94.24175824 33.75824176],0
a1,1,0.036415,4.377578,[ 5 49] ; [  3 126],[ 2.36065574 51.63934426] ; [  5.63934426 123.36065574],0
s7,1,0.037587,4.323611,[14 37] ; [55 69],[20.10857143 30.89142857] ; [48.89142857 75.10857143],0
a5,1,0.062679,3.465043,[25 29] ; [79 50],[30.68852459 23.31147541] ; [73.31147541 55.68852459],0
s6,1,0.06331,3.448472,[22 30] ; [72 53],[27.61581921 24.38418079] ; [66.38418079 58.61581921],0
a6,1,0.073009,3.214043,[15 39] ; [54 75],[20.36065574 33.63934426] ; [48.63934426 80.36065574],0
d2,1,0.091458,2.84852,[19 35] ; [62 65],[24.16574586 29.83425414] ; [56.83425414 70.16574586],0
p2,1,0.104864,2.629965,[33 21] ; [93 34],[37.59116022 16.40883978] ; [88.40883978 38.59116022],0
s8,1,0.173164,1.855336,[13 40] ; [45 84],[16.89010989 36.10989011] ; [41.10989011 87.89010989],0
v2,1,0.208054,1.584914,[20 32] ; [36 89],[16.4519774 35.5480226] ; [39.5480226 85.4519774],0
p8,1,0.225693,1.4678,[18 36] ; [55 73],[21.65934066 32.34065934] ; [51.34065934 76.65934066],0
p6,1,0.235173,1.409297,[12 40] ; [40 85],[15.27683616 36.72316384] ; [36.72316384 88.27683616],0
a3,1,0.25174,1.31362,[28 25] ; [80 49],[31.45054945 21.54945055] ; [76.54945055 52.45054945],0
u1,1,0.280756,1.163425,[ 1 53] ; [  7 122],[ 2.36065574 51.63934426] ; [  5.63934426 123.36065574],0
d3,1,0.29606,1.091859,[25 29] ; [49 80],[21.83606557 32.16393443] ; [52.16393443 76.83606557],0
a4,1,0.319808,0.989733,[26 28] ; [51 76],[22.97237569 31.02762431] ; [54.02762431 72.97237569],0
a2,1,0.323298,0.975556,[ 3 51] ; [ 13 116],[ 4.72131148 49.27868852] ; [ 11.27868852 117.72131148],0
b4,1,0.34371,0.896544,[33 21] ; [69 60],[30.09836066 23.90163934] ; [71.90163934 57.09836066],0
d1,1,0.348944,0.877292,[19 35] ; [55 74],[21.83606557 32.16393443] ; [52.16393443 76.83606557],0
u2,1,0.387874,0.745598,[13 13] ; [19 29],[11.24324324 14.75675676] ; [20.75675676 27.24324324],0
b5,1,0.407037,0.687439,[30 24] ; [63 66],[27.44262295 26.55737705] ; [65.55737705 63.44262295],0
b3,1,0.410635,0.676962,[11 23] ; [34 50],[12.96610169 21.03389831] ; [32.03389831 51.96610169],0
b2,1,0.410635,0.676962,[11 23] ; [34 50],[12.96610169 21.03389831] ; [32.03389831 51.96610169],0
p4,1,0.474012,0.512607,[22 32] ; [60 69],[24.19672131 29.80327869] ; [57.80327869 71.19672131],0
p11,1,0.480668,0.497348,[37 17] ; [95 34],[38.95081967 15.04918033] ; [93.04918033 35.95081967],0
r3,1,0.538181,0.378921,[46  8] ; [105  24],[44.55737705  9.44262295] ; [106.44262295  22.55737705],0
a8,1,0.546731,0.363206,[ 4 48] ; [ 13 109],[ 5.08045977 46.91954023] ; [ 11.91954023 110.08045977],0
d4,1,0.632765,0.22833,[37 17] ; [83 45],[35.6043956 18.3956044] ; [84.3956044 43.6043956],0
s5,1,0.633559,0.227265,[15 34] ; [43 82],[16.33333333 32.66666667] ; [41.66666667 83.33333333],0
s3,1,0.638235,0.221058,[27 25] ; [62 67],[25.56906077 26.43093923] ; [63.43093923 65.56906077],0
d5,1,0.653928,0.200984,[32 22] ; [81 48],[33.3442623 20.6557377] ; [79.6557377 49.3442623],0
u3,1,0.656478,0.19783,[12 14] ; [20 29],[11.09333333 14.90666667] ; [20.90666667 28.09333333],0
p1,1,0.668497,0.183365,[ 4 50] ; [ 12 116],[ 4.74725275 49.25274725] ; [ 11.25274725 116.74725275],0
r1,1,0.700681,0.147764,[31 23] ; [78 51],[32.16393443 21.83606557] ; [76.83606557 52.16393443],0
p7,1,0.729678,0.119408,[30 24] ; [67 60],[28.93922652 25.06077348] ; [68.06077348 58.93922652],0
r4,1,0.757797,0.095095,[36 18] ; [89 40],[36.8852459 17.1147541] ; [88.1147541 40.8852459],0
s1,1,0.759846,0.093442,[ 2 52] ; [  6 121],[ 2.38674033 51.61325967] ; [  5.61325967 121.38674033],0
