Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r2,1,1e-06,23.595614,[154   8] ; [4 4],[150.56470588  11.43529412] ; [7.43529412 0.56470588],1
s3,1,8.1e-05,15.538462,[123  39] ; [1 7],[118.16470588  43.83529412] ; [5.83529412 2.16470588],1
r4,1,8.6e-05,15.413748,[143  20] ; [3 5],[139.16959064  23.83040936] ; [6.83040936 1.16959064],1
s6,1,0.001272,10.383192,[134  27] ; [3 5],[130.5147929  30.4852071] ; [6.4852071 1.5147929],0
r3,1,0.001953,9.593555,[152  11] ; [5 3],[149.65497076  13.34502924] ; [7.34502924 0.65497076],0
p2,1,0.006569,7.38727,[140  23] ; [4 4],[137.26315789  25.73684211] ; [6.73684211 1.26315789],0
s2,1,0.00789,7.058186,[114  49] ; [2 6],[110.57309942  52.42690058] ; [5.42690058 2.57309942],0
p4,1,0.010449,6.556748,[112  51] ; [2 6],[108.66666667  54.33333333] ; [5.33333333 2.66666667],0
d1,1,0.01084,6.491345,[95 68] ; [1 7],[91.50877193 71.49122807] ; [4.49122807 3.50877193],0
s8,1,0.021926,5.251643,[106  57] ; [2 6],[102.94736842  60.05263158] ; [5.05263158 2.94736842],0
a7,1,0.027279,4.873044,[104  59] ; [2 6],[101.04093567  61.95906433] ; [4.95906433 3.04093567],0
a4,1,0.036713,4.363667,[82 81] ; [1 7],[79.11695906 83.88304094] ; [3.88304094 4.11695906],0
d3,1,0.044788,4.026596,[115  47] ; [3 5],[112.44705882  49.55294118] ; [5.55294118 2.44705882],0
n2,1,0.056187,3.646512,[34  9] ; [2 3],[32.25 10.75] ; [3.75 1.25],0
s1,1,0.059808,3.542702,[ 11 150] ; [2 6],[ 12.38461538 148.61538462] ; [0.61538462 7.38461538],0
p9,1,0.062211,3.477437,[140  22] ; [5 3],[138.17647059  23.82352941] ; [6.82352941 1.17647059],0
d5,1,0.064061,3.428986,[126  35] ; [4 4],[123.84615385  37.15384615] ; [6.15384615 1.84615385],0
a6,1,0.07153,3.247563,[93 69] ; [2 6],[90.52941176 71.47058824] ; [4.47058824 3.52941176],0
p8,1,0.087411,2.921414,[91 72] ; [2 6],[88.64912281 74.35087719] ; [4.35087719 3.64912281],0
s5,1,0.093337,2.815851,[67 91] ; [1 7],[64.72289157 93.27710843] ; [3.27710843 4.72289157],0
p11,1,0.096998,2.754216,[124  39] ; [4 4],[122.01169591  40.98830409] ; [5.98830409 2.01169591],0
p3,1,0.112554,2.517994,[87 75] ; [2 6],[84.81176471 77.18823529] ; [4.18823529 3.81176471],0
p7,1,0.117911,2.444852,[103  56] ; [3 5],[100.92215569  58.07784431] ; [5.07784431 2.92215569],0
p10,1,0.148302,2.089633,[134  28] ; [5 3],[132.45882353  29.54117647] ; [6.54117647 1.45882353],0
n4,1,0.166256,1.916383,[133  29] ; [5 3],[131.50588235  30.49411765] ; [6.49411765 1.50588235],0
d2,1,0.212288,1.555755,[77 85] ; [2 6],[75.28235294 86.71764706] ; [3.71764706 4.28235294],0
d4,1,0.229878,1.441616,[129  32] ; [5 3],[127.65680473  33.34319527] ; [6.34319527 1.65680473],0
p1,1,0.230412,1.438316,[ 18 145] ; [2 6],[ 19.06432749 143.93567251] ; [0.93567251 7.06432749],0
n5,1,0.242502,1.365989,[130  33] ; [5 3],[128.68421053  34.31578947] ; [6.31578947 1.68421053],0
a1,1,0.283266,1.151353,[  7 156] ; [1 7],[  7.62573099 155.37426901] ; [0.37426901 7.62573099],0
r1,1,0.292139,1.109739,[127  35] ; [5 3],[125.78823529  36.21176471] ; [6.21176471 1.78823529],0
b5,1,0.292497,1.10809,[92 71] ; [3 5],[90.55555556 72.44444444] ; [4.44444444 3.55555556],0
n1,1,0.323972,0.972844,[27 16] ; [2 3],[25.97916667 17.02083333] ; [3.02083333 1.97916667],0
b2,1,0.410274,0.678006,[45 64] ; [4 3],[46.04310345 62.95689655] ; [2.95689655 4.04310345],0
b3,1,0.410274,0.678006,[45 64] ; [4 3],[46.04310345 62.95689655] ; [2.95689655 4.04310345],0
a3,1,0.431369,0.619134,[122  40] ; [7 1],[122.92941176  39.07058824] ; [6.07058824 1.92941176],0
v3,1,0.43668,0.60499,[ 39 120] ; [1 7],[ 38.08383234 120.91616766] ; [1.91616766 6.08383234],0
v1,1,0.544075,0.36804,[62 96] ; [4 4],[62.81927711 95.18072289] ; [3.18072289 4.81927711],0
s4,1,0.607024,0.264532,[ 47 115] ; [3 5],[ 47.64705882 114.35294118] ; [2.35294118 5.64705882],0
a5,1,0.626938,0.236236,[115  48] ; [5 3],[114.38596491  48.61403509] ; [5.61403509 2.38596491],0
p5,1,0.685185,0.164348,[ 29 131] ; [1 7],[ 28.57142857 131.42857143] ; [1.42857143 6.57142857],0
b1,1,0.71998,0.128512,[71 92] ; [4 4],[71.49122807 91.50877193] ; [3.50877193 4.49122807],0
n6,1,0.873897,0.025189,[143  20] ; [6 1],[142.86470588  20.13529412] ; [6.13529412 0.86470588],0
b4,1,0.932465,0.007182,[84 79] ; [4 4],[83.88304094 79.11695906] ; [4.11695906 3.88304094],0
a8,1,0.951635,0.003679,[ 20 131] ; [1 7],[ 19.94339623 131.05660377] ; [1.05660377 6.94339623],0
n3,1,0.98394,0.000405,[26 17] ; [3 2],[25.97916667 17.02083333] ; [3.02083333 1.97916667],0
