Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,3.6e-05,17.062562,[58  5] ; [37 24],[48.26612903 14.73387097] ; [46.73387097 14.26612903],1
r4,1,0.000475,12.213016,[51 13] ; [31 31],[41.65079365 22.34920635] ; [40.34920635 21.65079365],1
p11,1,0.002154,9.413483,[37 27] ; [19 43],[28.44444444 35.55555556] ; [27.55555556 34.44444444],0
v4,1,0.003005,8.804576,[57  7] ; [41 20],[50.176 13.824] ; [47.824 13.176],0
p7,1,0.005893,7.582679,[36 28] ; [19 41],[28.38709677 35.61290323] ; [26.61290323 33.38709677],0
n3,1,0.014509,5.975184,[19  6] ; [10 14],[14.79591837 10.20408163] ; [14.20408163  9.79591837],0
b2,1,0.020229,5.392058,[ 6 29] ; [16 22],[10.54794521 24.45205479] ; [11.45205479 26.54794521],0
b3,1,0.020229,5.392058,[ 6 29] ; [16 22],[10.54794521 24.45205479] ; [11.45205479 26.54794521],0
d3,1,0.020667,5.354684,[39 25] ; [25 37],[32.50793651 31.49206349] ; [31.49206349 30.50793651],0
v1,1,0.024194,5.080645,[24 40] ; [12 50],[18.28571429 45.71428571] ; [17.71428571 44.28571429],0
n2,1,0.025674,4.977843,[17  6] ; [11 15],[13.14285714  9.85714286] ; [14.85714286 11.14285714],0
s1,1,0.026574,4.918282,[ 1 61] ; [ 7 54],[ 4.03252033 57.96747967] ; [ 3.96747967 57.03252033],0
s8,1,0.029686,4.727377,[11 53] ; [ 3 58],[ 7.168 56.832] ; [ 6.832 54.168],0
p4,1,0.030933,4.656685,[29 35] ; [16 44],[23.22580645 40.77419355] ; [21.77419355 38.22580645],0
p8,1,0.042918,4.098615,[23 41] ; [12 49],[17.92 46.08] ; [17.08 43.92],0
a7,1,0.047865,3.914706,[43 20] ; [31 30],[37.59677419 25.40322581] ; [36.40322581 24.59677419],0
a6,1,0.050612,3.821069,[42 22] ; [30 32],[36.57142857 27.42857143] ; [35.42857143 26.57142857],0
r1,1,0.08796,2.911318,[47 17] ; [36 25],[42.496 21.504] ; [40.504 20.496],0
p10,1,0.110682,2.544456,[14 49] ; [ 7 54],[10.66935484 52.33064516] ; [10.33064516 50.66935484],0
