Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.0,42.438022,[ 23 121] ; [83 78],[50.04590164 93.95409836] ; [ 55.95409836 105.04590164],1
v1,1,1e-06,25.0162,[ 41 101] ; [92 68],[62.53642384 79.46357616] ; [70.46357616 89.53642384],1
r3,1,6.1e-05,16.060187,[123  22] ; [159   4],[132.75974026  12.24025974] ; [149.24025974  13.75974026],1
s8,1,0.004067,8.253513,[ 37 107] ; [68 97],[48.93203883 95.06796117] ; [ 56.06796117 108.93203883],0
p7,1,0.008107,7.009581,[53 86] ; [85 74],[64.36912752 74.63087248] ; [73.63087248 85.36912752],0
p10,1,0.009452,6.735406,[90 55] ; [122  39],[100.45751634  44.54248366] ; [111.54248366  49.45751634],0
v4,1,0.010847,6.490184,[122  23] ; [152  11],[128.99350649  16.00649351] ; [145.00649351  17.99350649],0
s7,1,0.014393,5.989285,[43 95] ; [72 88],[53.25503356 84.74496644] ; [61.74496644 98.25503356],0
a3,1,0.025209,5.009493,[97 47] ; [129  35],[105.66233766  38.33766234] ; [120.33766234  43.66233766],0
s2,1,0.028109,4.821388,[49 95] ; [76 88],[58.44155844 85.55844156] ; [66.55844156 97.44155844],0
p11,1,0.033793,4.505154,[90 55] ; [121  44],[98.69354839 46.30645161] ; [112.30645161  52.69354839],0
p9,1,0.035857,4.403911,[96 45] ; [126  34],[103.99335548  37.00664452] ; [118.00664452  41.99335548],0
d5,1,0.043031,4.094196,[113  32] ; [143  22],[119.74193548  25.25806452] ; [136.25806452  28.74193548],0
r1,1,0.044653,4.03169,[101  43] ; [132  33],[108.58252427  35.41747573] ; [124.41747573  40.58252427],0
n6,1,0.051402,3.795123,[101  43] ; [130  33],[108.35179153  35.64820847] ; [122.64820847  40.35179153],0
r2,1,0.071686,3.243994,[128  15] ; [152   8],[132.14521452  10.85478548] ; [147.85478548  12.14521452],0
d1,1,0.080492,3.054934,[79 66] ; [106  59],[86.53225806 58.46774194] ; [98.46774194 66.53225806],0
n4,1,0.083665,2.992218,[90 55] ; [117  47],[97.13592233 47.86407767] ; [109.86407767  54.13592233],0
s6,1,0.099872,2.70759,[69 73] ; [94 68],[76.13815789 65.86184211] ; [86.86184211 75.13815789],0
p3,1,0.126536,2.334494,[ 28 116] ; [ 44 120],[ 33.66233766 110.33766234] ; [ 38.33766234 125.66233766],0
n1,1,0.146576,2.107527,[24 32] ; [12 30],[20.57142857 35.42857143] ; [15.42857143 26.57142857],0
r4,1,0.155104,2.02132,[113  32] ; [139  26],[117.87096774  27.12903226] ; [134.12903226  30.87096774],0
a8,1,0.200773,1.636744,[ 16 124] ; [ 25 125],[ 19.79310345 120.20689655] ; [ 21.20689655 128.79310345],0
a4,1,0.203618,1.616233,[56 88] ; [76 89],[61.51456311 82.48543689] ; [70.48543689 94.51456311],0
a5,1,0.20639,1.596569,[94 51] ; [118  47],[99.16129032 45.83870968] ; [112.83870968  52.16129032],0
p2,1,0.242596,1.365448,[95 49] ; [119  46],[99.72815534 44.27184466] ; [114.27184466  50.72815534],0
b4,1,0.24533,1.349704,[82 63] ; [104  61],[87. 58.] ; [99. 66.],0
p5,1,0.248801,1.330026,[  7 137] ; [  4 161],[  5.12621359 138.87378641] ; [  5.87378641 159.12621359],0
n3,1,0.266465,1.234857,[33 23] ; [30 13],[35.63636364 20.36363636] ; [27.36363636 15.63636364],0
