Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,4e-05,16.865413,[64  1] ; [8 4],[60.77922078  4.22077922] ; [11.22077922  0.77922078],1
a5,1,0.003245,8.664336,[53 12] ; [5 7],[48.96103896 16.03896104] ; [9.03896104 2.96103896],0
v4,1,0.012835,6.191661,[64  1] ; [10  2],[62.46753247  2.53246753] ; [11.53246753  0.46753247],0
r1,1,0.017704,5.62525,[53 12] ; [6 6],[49.80519481 15.19480519] ; [9.19480519 2.80519481],0
n5,1,0.019041,5.497763,[49 16] ; [5 7],[45.58441558 19.41558442] ; [8.41558442 3.58441558],0
s2,1,0.03468,4.460884,[55 10] ; [7 5],[52.33766234 12.66233766] ; [9.66233766 2.33766234],0
p9,1,0.039286,4.248447,[60  4] ; [9 3],[58.10526316  5.89473684] ; [10.89473684  1.10526316],0
p10,1,0.04014,4.211966,[58  7] ; [8 4],[55.71428571  9.28571429] ; [10.28571429  1.71428571],0
s6,1,0.053879,3.716435,[62  2] ; [10  2],[60.63157895  3.36842105] ; [11.36842105  0.63157895],0
v3,1,0.057578,3.60581,[25 40] ; [ 1 10],[22.23684211 42.76315789] ; [3.76315789 7.23684211],0
n4,1,0.065985,3.380176,[45 20] ; [5 7],[42.20779221 22.79220779] ; [7.79220779 4.20779221],0
p11,1,0.097267,2.749796,[48 17] ; [6 6],[45.58441558 19.41558442] ; [8.41558442 3.58441558],0
n3,1,0.104355,2.637698,[14  4] ; [2 3],[12.52173913  5.47826087] ; [3.47826087 1.52173913],0
n1,1,0.104355,2.637698,[ 4 14] ; [3 2],[ 5.47826087 12.52173913] ; [1.52173913 3.47826087],0
a7,1,0.107733,2.587162,[43 22] ; [5 7],[40.51948052 24.48051948] ; [7.48051948 4.51948052],0
b5,1,0.108233,2.579829,[38 27] ; [4 8],[35.45454545 29.54545455] ; [6.54545455 5.45454545],0
b3,1,0.194658,1.682011,[ 8 27] ; [4 5],[ 9.54545455 25.45454545] ; [2.45454545 6.54545455],0
b2,1,0.194658,1.682011,[ 8 27] ; [4 5],[ 9.54545455 25.45454545] ; [2.45454545 6.54545455],0
p4,1,0.19558,1.675078,[45 20] ; [6 6],[43.05194805 21.94805195] ; [7.94805195 4.05194805],0
s8,1,0.199366,1.647013,[40 25] ; [5 7],[37.98701299 27.01298701] ; [7.01298701 4.98701299],0
d3,1,0.223012,1.484882,[49 16] ; [7 5],[47.27272727 17.72727273] ; [8.72727273 3.27272727],0
a2,1,0.247449,1.337648,[15 50] ; [ 1 11],[13.50649351 51.49350649] ; [2.49350649 9.50649351],0
d1,1,0.285165,1.142308,[43 22] ; [6 6],[41.36363636 23.63636364] ; [7.63636364 4.36363636],0
p6,1,0.335401,0.927933,[33 31] ; [8 4],[34.52631579 29.47368421] ; [6.47368421 5.52631579],0
s3,1,0.375079,0.786769,[51 14] ; [8 4],[49.80519481 15.19480519] ; [9.19480519 2.80519481],0
a4,1,0.38154,0.765733,[36 29] ; [5 7],[34.61038961 30.38961039] ; [6.38961039 5.61038961],0
d5,1,0.3895,0.740503,[53 12] ; [11  1],[54.02597403 10.97402597] ; [9.97402597 2.02597403],0
u3,1,0.530801,0.392857,[12  6] ; [2 2],[11.45454545  6.54545455] ; [2.54545455 1.45454545],0
p1,1,0.559069,0.341319,[ 7 58] ; [ 2 10],[ 7.5974026 57.4025974] ; [ 1.4025974 10.5974026],0
p8,1,0.570705,0.321505,[35 29] ; [5 6],[34.13333333 29.86666667] ; [5.86666667 5.13333333],0
p7,1,0.590985,0.288809,[46 16] ; [8 4],[45.24324324 16.75675676] ; [8.75675676 3.24324324],0
r3,1,0.603744,0.269387,[61  3] ; [11  1],[60.63157895  3.36842105] ; [11.36842105  0.63157895],0
b4,1,0.615565,0.25215,[44 21] ; [9 3],[44.74025974 20.25974026] ; [8.25974026 3.74025974],0
a6,1,0.657238,0.196896,[37 28] ; [6 6],[36.2987013 28.7012987] ; [6.7012987 5.2987013],0
b1,1,0.677674,0.172756,[23 42] ; [5 7],[23.63636364 41.36363636] ; [4.36363636 7.63636364],0
a3,1,0.691052,0.157949,[47 18] ; [8 4],[46.42857143 18.57142857] ; [8.57142857 3.42857143],0
p3,1,0.700702,0.147743,[34 31] ; [7 5],[34.61038961 30.38961039] ; [6.38961039 5.61038961],0
d2,1,0.730709,0.118462,[36 29] ; [6 6],[35.45454545 29.54545455] ; [6.54545455 5.45454545],0
u1,1,0.788797,0.071756,[13 52] ; [ 2 10],[12.66233766 52.33766234] ; [2.33766234 9.66233766],0
p2,1,0.790531,0.070554,[51 14] ; [9 3],[50.64935065 14.35064935] ; [9.35064935 2.64935065],0
p5,1,0.799428,0.06456,[ 7 58] ; [ 1 11],[ 6.75324675 58.24675325] ; [ 1.24675325 10.75324675],0
v1,1,0.80619,0.060194,[35 30] ; [6 6],[34.61038961 30.38961039] ; [6.38961039 5.61038961],0
d4,1,0.910427,0.012656,[55 10] ; [10  2],[54.87012987 10.12987013] ; [10.12987013  1.87012987],0
s7,1,0.952474,0.003552,[47 15] ; [9 3],[46.91891892 15.08108108] ; [9.08108108 2.91891892],0
v2,1,0.959804,0.00254,[31 32] ; [6 6],[31.08 31.92] ; [5.92 6.08],0
