Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.000331,12.888541,[11  5] ; [10 39],[ 5.16923077 10.83076923] ; [15.83076923 33.16923077],1
s2,1,0.000347,12.8,[9 7] ; [ 6 42],[ 3.75 12.25] ; [11.25 36.75],1
p7,1,0.002936,8.846768,[10  6] ; [11 38],[ 5.16923077 10.83076923] ; [15.83076923 33.16923077],0
s6,1,0.003019,8.79593,[9 5] ; [11 38],[4.44444444 9.55555556] ; [15.55555556 33.44444444],0
s3,1,0.003463,8.546018,[11  5] ; [13 34],[6.0952381 9.9047619] ; [17.9047619 29.0952381],0
p6,1,0.003576,8.487308,[7 9] ; [ 5 42],[ 3.04761905 12.95238095] ; [ 8.95238095 38.04761905],0
p2,1,0.01993,5.417989,[11  5] ; [17 31],[7. 9.] ; [21. 27.],0
p8,1,0.026776,4.905215,[7 9] ; [ 8 40],[ 3.75 12.25] ; [11.25 36.75],0
a5,1,0.033134,4.538858,[13  3] ; [25 24],[9.35384615 6.64615385] ; [28.64615385 20.35384615],0
a6,1,0.03634,4.381075,[12  4] ; [22 27],[8.36923077 7.63076923] ; [25.63076923 23.36923077],0
p10,1,0.092423,2.831649,[10  6] ; [18 29],[7.11111111 8.88888889] ; [20.88888889 26.11111111],0
d3,1,0.130887,2.281948,[10  6] ; [20 29],[7.38461538 8.61538462] ; [22.61538462 26.38461538],0
p5,1,0.137395,2.206897,[ 3 13] ; [ 3 45],[ 1.5 14.5] ; [ 4.5 43.5],0
a7,1,0.17199,1.865512,[ 6 10] ; [28 21],[8.36923077 7.63076923] ; [25.63076923 23.36923077],0
s5,1,0.189997,1.717642,[ 4 11] ; [ 6 42],[ 2.38095238 12.61904762] ; [ 7.61904762 40.38095238],0
s8,1,0.195072,1.67889,[ 5 11] ; [ 8 41],[ 3.2 12.8] ; [ 9.8 39.2],0
n6,1,0.20438,1.610795,[10  5] ; [23 25],[7.85714286 7.14285714] ; [25.14285714 22.85714286],0
u2,1,0.215327,1.535244,[3 3] ; [ 5 16],[1.77777778 4.22222222] ; [ 6.22222222 14.77777778],0
p9,1,0.245659,1.347826,[10  6] ; [21 25],[8. 8.] ; [23. 23.],0
b5,1,0.279696,1.168565,[10  6] ; [23 26],[8.12307692 7.87692308] ; [24.87692308 24.12307692],0
n5,1,0.31705,1.001077,[12  4] ; [30 19],[10.33846154  5.66153846] ; [31.66153846 17.33846154],0
a4,1,0.361935,0.831169,[ 4 12] ; [18 30],[ 5.5 10.5] ; [16.5 31.5],0
v3,1,0.371488,0.798682,[ 5 11] ; [10 39],[ 3.69230769 12.30769231] ; [11.30769231 37.69230769],0
r2,1,0.427939,0.628409,[10  6] ; [24 23],[8.63492063 7.36507937] ; [25.36507937 21.63492063],0
a2,1,0.513038,0.427865,[ 3 13] ; [ 6 43],[ 2.21538462 13.78461538] ; [ 6.78461538 42.21538462],0
v2,1,0.550985,0.355556,[7 9] ; [17 31],[ 6. 10.] ; [18. 30.],0
d5,1,0.588116,0.293296,[11  5] ; [30 19],[10.09230769  5.90769231] ; [30.90769231 18.09230769],0
r1,1,0.603861,0.269211,[ 6 10] ; [22 27],[6.89230769 9.10769231] ; [21.10769231 27.89230769],0
d1,1,0.616514,0.250797,[7 9] ; [18 31],[6.15384615 9.84615385] ; [18.84615385 30.15384615],0
u3,1,0.623433,0.241071,[1 5] ; [ 2 19],[0.66666667 5.33333333] ; [ 2.33333333 18.66666667],0
d2,1,0.664852,0.187683,[7 9] ; [24 24],[7.75 8.25] ; [23.25 24.75],0
d4,1,0.668255,0.18365,[12  4] ; [34 15],[11.32307692  4.67692308] ; [34.67692308 14.32307692],0
n4,1,0.668255,0.18365,[12  4] ; [34 15],[11.32307692  4.67692308] ; [34.67692308 14.32307692],0
p12,1,0.678543,0.171771,[ 1 14] ; [ 2 47],[ 0.703125 14.296875] ; [ 2.296875 46.703125],0
b4,1,0.722033,0.126553,[10  6] ; [33 16],[10.58461538  5.41538462] ; [32.41538462 16.58461538],0
v1,1,0.748188,0.10306,[ 5 11] ; [13 35],[ 4.5 11.5] ; [13.5 34.5],0
a3,1,0.768844,0.08637,[10  6] ; [28 20],[9.5 6.5] ; [28.5 19.5],0
a8,1,0.792605,0.069132,[ 3 12] ; [ 8 39],[ 2.66129032 12.33870968] ; [ 8.33870968 38.66129032],0
p1,1,0.797007,0.066163,[ 2 14] ; [ 5 44],[ 1.72307692 14.27692308] ; [ 5.27692308 43.72307692],0
s1,1,0.803081,0.062181,[ 1 15] ; [ 4 45],[ 1.23076923 14.76923077] ; [ 3.76923077 45.23076923],0
p11,1,0.831438,0.045308,[8 8] ; [23 26],[7.63076923 8.36923077] ; [23.36923077 25.63076923],0
r4,1,0.837937,0.041834,[ 5 11] ; [14 35],[ 4.67692308 11.32307692] ; [14.32307692 34.67692308],0
n2,1,0.901694,0.015257,[1 1] ; [12 10],[1.08333333 0.91666667] ; [11.91666667 10.08333333],0
b1,1,0.943489,0.005025,[8 8] ; [25 24],[8.12307692 7.87692308] ; [24.87692308 24.12307692],0
n3,1,0.948644,0.004149,[1 1] ; [11 10],[1.04347826 0.95652174] ; [10.95652174 10.04347826],0
u1,1,0.985293,0.00034,[ 1 15] ; [ 3 46],[ 0.98461538 15.01538462] ; [ 3.01538462 45.98461538],0
s7,1,1.0,0.0,[ 3 12] ; [ 9 36],[ 3. 12.] ; [ 9. 36.],0
b2,1,1.0,0.0,[4 7] ; [12 21],[4. 7.] ; [12. 21.],0
b3,1,1.0,0.0,[4 7] ; [12 21],[4. 7.] ; [12. 21.],0
r3,1,1.0,0.0,[10  6] ; [30 18],[10.  6.] ; [30. 18.],0
