Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.0,62.260381,[35 79] ; [195  69],[69.36507937 44.63492063] ; [160.63492063 103.36507937],1
p6,1,0.0,50.703654,[21 92] ; [155 110],[52.61375661 60.38624339] ; [123.38624339 141.61375661],1
p10,1,0.0,27.03792,[81 33] ; [241  22],[97.36870027 16.63129973] ; [224.63129973  38.36870027],1
p4,1,1e-06,23.40255,[61 54] ; [206  59],[80.80263158 34.19736842] ; [186.19736842  78.80263158],1
p3,1,2e-06,22.968505,[47 68] ; [178  87],[68.09210526 46.90789474] ; [156.90789474 108.09210526],1
n5,1,0.00013,14.640764,[92 23] ; [248  18],[102.62467192  12.37532808] ; [237.37532808  28.62467192],1
s8,1,0.000145,14.432597,[42 71] ; [155 110],[58.89153439 54.10846561] ; [138.10846561 126.89153439],1
p9,1,0.000253,13.390698,[89 24] ; [244  21],[99.54761905 13.45238095] ; [233.45238095  31.54761905],1
p2,1,0.000689,11.517822,[92 23] ; [245  21],[101.7191601  13.2808399] ; [235.2808399  30.7191601],1
s5,1,0.000976,10.872283,[28 78] ; [117 143],[41.99453552 64.00546448] ; [103.00546448 156.99453552],1
r3,1,0.001636,9.918582,[105   9] ; [263   4],[110.11023622   3.88976378] ; [257.88976378   9.11023622],0
p11,1,0.00365,8.45018,[86 29] ; [232  35],[95.73298429 19.26701571] ; [222.26701571  44.73298429],0
n6,1,0.004758,7.969143,[95 19] ; [246  19],[102.56992084  11.43007916] ; [238.43007916  26.56992084],0
d5,1,0.006774,7.331911,[88 27] ; [232  33],[96.84210526 18.15789474] ; [223.15789474  41.84210526],0
r4,1,0.010606,6.530113,[101  14] ; [254  13],[106.87172775   8.12827225] ; [248.12827225  18.87172775],0
v2,1,0.012943,6.176873,[66 45] ; [190  72],[76.18230563 34.81769437] ; [179.81769437  82.18230563],0
s7,1,0.018551,5.543327,[48 58] ; [150 105],[58.13850416 47.86149584] ; [139.86149584 115.13850416],0
d1,1,0.018565,5.542079,[63 52] ; [180  87],[73.15445026 41.84554974] ; [169.84554974  97.15445026],0
v4,1,0.019678,5.440211,[105   9] ; [258   7],[109.18733509   4.81266491] ; [253.81266491  11.18733509],0
p5,1,0.021311,5.301182,[ 11 103] ; [ 51 215],[18.6 95.4] ; [ 43.4 222.6],0
d4,1,0.021824,5.259793,[89 26] ; [230  35],[96.53947368 18.46052632] ; [222.46052632  42.53947368],0
b5,1,0.034236,4.482875,[82 33] ; [160 107],[72.85340314 42.14659686] ; [169.14659686  97.85340314],0
v3,1,0.049275,3.865952,[49 60] ; [146 114],[57.60162602 51.39837398] ; [137.39837398 122.60162602],0
a8,1,0.117726,2.447318,[13 88] ; [ 47 188],[18.03571429 82.96428571] ; [ 41.96428571 193.03571429],0
a3,1,0.140006,2.177892,[81 33] ; [207  58],[86.62796834 27.37203166] ; [201.37203166  63.62796834],0
r1,1,0.201259,1.633217,[93 22] ; [228  37],[97.14473684 17.85526316] ; [223.85526316  41.14473684],0
u1,1,0.203034,1.620411,[20 95] ; [ 62 205],[24.68586387 90.31413613] ; [ 57.31413613 209.68586387],0
d3,1,0.207902,1.585973,[77 38] ; [195  71],[82.09973753 32.90026247] ; [189.90026247  76.09973753],0
a1,1,0.209176,1.577119,[  4 111] ; [ 18 249],[  6.62303665 108.37696335] ; [ 15.37696335 251.62303665],0
s3,1,0.231307,1.432803,[57 53] ; [154 109],[62.22520107 47.77479893] ; [148.77479893 114.22520107],0
u2,1,0.368329,0.809295,[20 14] ; [29 30],[17.91397849 16.08602151] ; [31.08602151 27.91397849],0
s6,1,0.373791,0.791023,[76 36] ; [189  72],[79.57104558 32.42895442] ; [185.42895442  75.57104558],0
d2,1,0.406928,0.687759,[56 58] ; [143 123],[59.7 54.3] ; [139.3 126.7],0
n1,1,0.409481,0.680307,[14  7] ; [20 16],[12.52631579  8.47368421] ; [21.47368421 14.52631579],0
s4,1,0.502563,0.449519,[14 98] ; [ 40 224],[16.08510638 95.91489362] ; [ 37.91489362 226.08510638],0
s1,1,0.506822,0.440623,[  5 109] ; [  8 256],[  3.92063492 110.07936508] ; [  9.07936508 254.92063492],0
n2,1,0.509789,0.4345,[16  5] ; [30  6],[16.94736842  4.05263158] ; [29.05263158  6.94736842],0
u3,1,0.523875,0.406258,[21 13] ; [33 27],[19.53191489 14.46808511] ; [34.46808511 25.53191489],0
a2,1,0.542885,0.370218,[28 87] ; [ 73 194],[30.40575916 84.59424084] ; [ 70.59424084 196.40575916],0
u4,1,0.646092,0.210862,[  4 111] ; [  7 260],[  3.31151832 111.68848168] ; [  7.68848168 259.31151832],0
r2,1,0.661029,0.192276,[110   5] ; [254   9],[110.74074074   4.25925926] ; [253.25925926   9.74074074],0
b2,1,0.664602,0.187982,[31 46] ; [ 79 104],[32.57692308 44.42307692] ; [ 77.42307692 105.57692308],0
b3,1,0.664602,0.187982,[31 46] ; [ 79 104],[32.57692308 44.42307692] ; [ 77.42307692 105.57692308],0
b4,1,0.689601,0.159518,[68 47] ; [152 115],[66.23036649 48.76963351] ; [153.76963351 113.23036649],0
s2,1,0.694838,0.153898,[59 51] ; [148 117],[60.72 49.28] ; [146.28 118.72],0
n3,1,0.696584,0.15205,[16  5] ; [29  7],[16.57894737  4.42105263] ; [28.42105263  7.57894737],0
b1,1,0.721825,0.12675,[43 72] ; [105 162],[44.55497382 70.44502618] ; [103.44502618 163.55497382],0
p1,1,0.784915,0.074485,[ 11 104] ; [ 28 239],[ 11.7408377 103.2591623] ; [ 27.2591623 239.7408377],0
a7,1,0.802315,0.062676,[82 33] ; [193  73],[83.00524934 31.99475066] ; [191.99475066  74.00524934],0
p12,1,0.904574,0.014372,[ 12 102] ; [ 29 236],[ 12.33245383 101.66754617] ; [ 28.66754617 236.33245383],0
a4,1,0.955688,0.003087,[56 58] ; [131 134],[56.24802111 57.75197889] ; [130.75197889 134.24802111],0
a6,1,0.975102,0.000974,[77 38] ; [177  88],[76.86842105 38.13157895] ; [177.13157895  87.86842105],0
a5,1,0.997175,1.3e-05,[90 25] ; [209  58],[90.01308901 24.98691099] ; [208.98691099  58.01308901],0
