Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,3.3e-05,17.236269,[37  1] ; [2 3],[34.46511628  3.53488372] ; [4.53488372 0.46511628],1
p9,1,0.000176,14.068421,[37  1] ; [3 3],[34.54545455  3.45454545] ; [5.45454545 0.54545455],1
a6,1,0.001888,9.655827,[30  8] ; [1 5],[26.77272727 11.22727273] ; [4.22727273 1.77272727],0
a5,1,0.019729,5.435673,[30  8] ; [2 4],[27.63636364 10.36363636] ; [4.36363636 1.63636364],0
a8,1,0.042817,4.102597,[ 2 31] ; [2 4],[ 3.38461538 29.61538462] ; [0.61538462 5.38461538],0
d1,1,0.044951,4.020468,[23 15] ; [1 5],[20.72727273 17.27272727] ; [3.27272727 2.72727273],0
a3,1,0.048602,3.889056,[28 10] ; [2 4],[25.90909091 12.09090909] ; [4.09090909 1.90909091],0
p8,1,0.07008,3.281145,[27 11] ; [2 4],[25.04545455 12.95454545] ; [3.95454545 2.04545455],0
v2,1,0.07776,3.111111,[20 16] ; [1 5],[18. 18.] ; [3. 3.],0
s3,1,0.087434,2.920988,[11 25] ; [4 2],[12.85714286 23.14285714] ; [2.14285714 3.85714286],0
d5,1,0.178603,1.809211,[29  9] ; [3 3],[27.63636364 10.36363636] ; [4.36363636 1.63636364],0
p2,1,0.222518,1.488059,[32  5] ; [4 2],[30.97674419  6.02325581] ; [5.02325581 0.97674419],0
p3,1,0.237332,1.396369,[28 10] ; [3 3],[26.77272727 11.22727273] ; [4.22727273 1.77272727],0
n6,1,0.315185,1.008821,[35  2] ; [5 1],[34.41860465  2.58139535] ; [5.58139535 0.41860465],0
p6,1,0.346255,0.887134,[20 17] ; [2 4],[18.93023256 18.06976744] ; [3.06976744 2.93023256],0
b4,1,0.376354,0.782577,[26 12] ; [3 3],[25.04545455 12.95454545] ; [3.95454545 2.04545455],0
a7,1,0.376354,0.782577,[26 12] ; [3 3],[25.04545455 12.95454545] ; [3.95454545 2.04545455],0
s2,1,0.402298,0.701448,[12 25] ; [3 3],[12.90697674 24.09302326] ; [2.09302326 3.90697674],0
u2,1,0.480478,0.497778,[7 3] ; [2 2],[6.42857143 3.57142857] ; [2.57142857 1.42857143],0
s5,1,0.492717,0.470588,[22 12] ; [3 3],[21.25 12.75] ; [3.75 2.25],0
v4,1,0.503178,0.448227,[34  3] ; [5 1],[33.55813953  3.44186047] ; [5.44186047 0.55813953],0
d3,1,0.626005,0.237517,[23 15] ; [3 3],[22.45454545 15.54545455] ; [3.54545455 2.45454545],0
b2,1,0.68197,0.167917,[13 13] ; [2 3],[12.58064516 13.41935484] ; [2.41935484 2.58064516],0
b3,1,0.68197,0.167917,[13 13] ; [2 3],[12.58064516 13.41935484] ; [2.41935484 2.58064516],0
a4,1,0.684646,0.164942,[16 22] ; [2 4],[15.54545455 22.45454545] ; [2.45454545 3.54545455],0
d4,1,0.703064,0.145304,[29  9] ; [5 1],[29.36363636  8.63636364] ; [4.63636364 1.36363636],0
u1,1,0.703064,0.145304,[ 9 29] ; [1 5],[ 8.63636364 29.36363636] ; [1.36363636 4.63636364],0
b1,1,0.716743,0.131634,[16 22] ; [3 3],[16.40909091 21.59090909] ; [2.59090909 3.40909091],0
d2,1,0.809855,0.057895,[21 17] ; [3 3],[20.72727273 17.27272727] ; [3.27272727 2.72727273],0
n5,1,0.815959,0.054171,[33  5] ; [5 1],[32.81818182  5.18181818] ; [5.18181818 0.81818182],0
a1,1,0.815959,0.054171,[ 5 33] ; [1 5],[ 5.18181818 32.81818182] ; [0.81818182 5.18181818],0
v1,1,0.845778,0.037833,[19 16] ; [3 3],[18.7804878 16.2195122] ; [3.2195122 2.7804878],0
u3,1,0.851596,0.035,[7 3] ; [3 1],[7.14285714 2.85714286] ; [2.85714286 1.14285714],0
p7,1,0.858499,0.031786,[26 11] ; [4 2],[25.81395349 11.18604651] ; [4.18604651 1.81395349],0
r2,1,0.895374,0.017294,[30  7] ; [5 1],[30.11627907  6.88372093] ; [4.88372093 1.11627907],0
v3,1,0.899628,0.015909,[17 19] ; [3 3],[17.14285714 18.85714286] ; [2.85714286 3.14285714],0
p1,1,0.931671,0.007352,[12 26] ; [2 4],[12.09090909 25.90909091] ; [1.90909091 4.09090909],0
p4,1,0.932031,0.007274,[31  7] ; [4 1],[30.93023256  7.06976744] ; [4.06976744 0.93023256],0
r1,1,0.965156,0.001908,[25 12] ; [4 2],[24.95348837 12.04651163] ; [4.04651163 1.95348837],0
s7,1,1.0,0.0,[12 24] ; [2 4],[12. 24.] ; [2. 4.],0
