Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.0,67.709019,[102   3] ; [17 28],[83.3 21.7] ; [35.7  9.3],1
r2,1,0.0,44.037523,[100   5] ; [21 22],[85.84459459 19.15540541] ; [35.15540541  7.84459459],1
v4,1,0.0,32.825822,[97  7] ; [24 21],[84.45637584 19.54362416] ; [36.54362416  8.45637584],1
r1,1,0.0,32.397218,[76 29] ; [10 35],[60.2 44.8] ; [25.8 19.2],1
s6,1,0.000107,15.013044,[62 39] ; [12 33],[51.19178082 49.80821918] ; [22.80821918 22.19178082],1
p7,1,0.000556,11.91808,[63 41] ; [13 31],[53.40540541 50.59459459] ; [22.59459459 21.40540541],1
p9,1,0.001225,10.451532,[77 28] ; [19 23],[68.57142857 36.42857143] ; [27.42857143 14.57142857],0
p10,1,0.003536,8.507965,[70 35] ; [18 26],[62.01342282 42.98657718] ; [25.98657718 18.01342282],0
p11,1,0.003777,8.3878,[77 28] ; [22 23],[69.3 35.7] ; [29.7 15.3],0
s3,1,0.00484,7.938403,[55 48] ; [12 31],[47.26712329 55.73287671] ; [19.73287671 23.26712329],0
p3,1,0.004977,7.887875,[49 56] ; [10 35],[41.3 63.7] ; [17.7 27.3],0
u3,1,0.006549,7.392772,[20 23] ; [ 3 20],[14.98484848 28.01515152] ; [ 8.01515152 14.98484848],0
n2,1,0.007282,7.202039,[28  8] ; [10 13],[23.18644068 12.81355932] ; [14.81355932  8.18644068],0
a5,1,0.007417,7.169041,[69 36] ; [19 26],[61.6 43.4] ; [26.4 18.6],0
s8,1,0.0086,6.903966,[39 66] ; [ 7 38],[32.2 72.8] ; [13.8 31.2],0
p6,1,0.008749,6.873322,[37 67] ; [ 6 37],[30.42176871 73.57823129] ; [12.57823129 30.42176871],0
p8,1,0.009578,6.71166,[49 55] ; [11 34],[41.87919463 62.12080537] ; [18.12080537 26.87919463],0
d5,1,0.011315,6.415232,[72 33] ; [21 24],[65.1 39.9] ; [27.9 17.1],0
n3,1,0.011486,6.388592,[24 10] ; [ 8 14],[19.42857143 14.57142857] ; [12.57142857  9.42857143],0
n6,1,0.014743,5.946971,[85 20] ; [28 17],[79.1 25.9] ; [33.9 11.1],0
s5,1,0.015147,5.899344,[32 66] ; [ 6 39],[26.04195804 71.95804196] ; [11.95804196 33.04195804],0
d4,1,0.024926,5.029028,[71 33] ; [22 23],[64.91275168 39.08724832] ; [28.08724832 16.91275168],0
d1,1,0.029096,4.761905,[48 57] ; [12 33],[42. 63.] ; [18. 27.],0
p2,1,0.033455,4.522319,[74 31] ; [23 21],[68.3557047 36.6442953] ; [28.6442953 15.3557047],0
d3,1,0.06899,3.306878,[47 58] ; [13 32],[42. 63.] ; [18. 27.],0
