Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.0,31.040741,[44 43] ; [10 77],[27. 60.] ; [27. 60.],1
s2,1,0.0,29.738202,[45 40] ; [12 75],[28.16860465 56.83139535] ; [28.83139535 58.16860465],1
s7,1,1e-06,24.077563,[43 41] ; [12 68],[28.17073171 55.82926829] ; [26.82926829 53.17073171],1
s3,1,2e-06,22.715337,[53 31] ; [23 63],[37.55294118 46.44705882] ; [38.44705882 47.55294118],1
r1,1,1.4e-05,18.816441,[66 19] ; [39 47],[52.19298246 32.80701754] ; [52.80701754 33.19298246],1
p10,1,4.9e-05,16.495886,[69 16] ; [44 41],[56.5 28.5] ; [56.5 28.5],1
s5,1,5.2e-05,16.39071,[23 62] ; [ 4 83],[13.34302326 71.65697674] ; [13.65697674 73.34302326],1
p9,1,6.5e-05,15.958162,[73 14] ; [47 37],[61.05263158 25.94736842] ; [58.94736842 25.05263158],1
r4,1,0.001004,10.820672,[74 13] ; [55 32],[64.5 22.5] ; [64.5 22.5],0
s4,1,0.001528,10.044201,[24 62] ; [ 8 79],[15.90751445 70.09248555] ; [16.09248555 70.90751445],0
r3,1,0.001786,9.757663,[80  7] ; [63 22],[72.33139535 14.66860465] ; [70.66860465 14.33139535],0
d5,1,0.007329,7.190411,[48 39] ; [30 56],[39.22543353 47.77456647] ; [38.77456647 47.22543353],0
u3,1,0.012387,6.254577,[25 18] ; [15 32],[19.11111111 23.88888889] ; [20.88888889 26.11111111],0
r2,1,0.013727,6.07295,[80  6] ; [69 17],[74.5 11.5] ; [74.5 11.5],0
p11,1,0.014455,5.981665,[67 20] ; [52 35],[59.5 27.5] ; [59.5 27.5],0
v4,1,0.0207,5.35187,[80  6] ; [69 16],[74.93567251 11.06432749] ; [74.06432749 10.93567251],0
b3,1,0.028271,4.81144,[ 9 44] ; [18 32],[13.89320388 39.10679612] ; [13.10679612 36.89320388],0
b2,1,0.028271,4.81144,[ 9 44] ; [18 32],[13.89320388 39.10679612] ; [13.10679612 36.89320388],0
n6,1,0.034789,4.455512,[70 17] ; [57 29],[63.86705202 23.13294798] ; [63.13294798 22.86705202],0
p4,1,0.066631,3.364125,[44 43] ; [32 55],[38. 49.] ; [38. 49.],0
a6,1,0.066631,3.364125,[55 32] ; [43 44],[49. 38.] ; [49. 38.],0
v2,1,0.087781,2.91461,[37 45] ; [26 55],[31.69325153 50.30674847] ; [31.30674847 49.69325153],0
u2,1,0.100474,2.697997,[22 21] ; [16 31],[18.15555556 24.84444444] ; [19.84444444 27.15555556],0
n5,1,0.123576,2.371404,[67 19] ; [58 28],[62.5 23.5] ; [62.5 23.5],0
p2,1,0.129286,2.301061,[67 20] ; [58 29],[62.5 24.5] ; [62.5 24.5],0
b4,1,0.129444,2.299154,[48 39] ; [38 49],[43. 44.] ; [43. 44.],0
v1,1,0.132632,2.26142,[39 44] ; [31 56],[34.17647059 48.82352941] ; [35.82352941 51.17647059],0
n4,1,0.188723,1.727558,[63 23] ; [55 31],[59. 27.] ; [59. 27.],0
a7,1,0.226084,1.465327,[53 34] ; [44 41],[49.06395349 37.93604651] ; [47.93604651 37.06395349],0
p3,1,0.229524,1.443809,[36 51] ; [28 58],[32.1849711 54.8150289] ; [31.8150289 54.1849711],0
p7,1,0.252376,1.310102,[50 36] ; [42 43],[46.26900585 39.73099415] ; [45.73099415 39.26900585],0
a5,1,0.288537,1.126437,[47 40] ; [40 47],[43.5 43.5] ; [43.5 43.5],0
a8,1,0.291841,1.111111,[10 70] ; [ 6 74],[ 8. 72.] ; [ 8. 72.],0
v3,1,0.300284,1.072931,[26 59] ; [20 65],[23. 62.] ; [23. 62.],0
p1,1,0.319388,0.991453,[ 7 80] ; [11 76],[ 9. 78.] ; [ 9. 78.],0
d1,1,0.406002,0.690476,[ 2 85] ; [ 4 83],[ 3. 84.] ; [ 3. 84.],0
u1,1,0.406002,0.690476,[ 4 83] ; [ 2 85],[ 3. 84.] ; [ 3. 84.],0
n2,1,0.422776,0.642587,[19  5] ; [23 10],[17.68421053  6.31578947] ; [24.31578947  8.68421053],0
b1,1,0.442423,0.589991,[34 53] ; [39 48],[36.5 50.5] ; [36.5 50.5],0
b5,1,0.442423,0.589991,[53 34] ; [48 39],[50.5 36.5] ; [50.5 36.5],0
d3,1,0.446023,0.580738,[26 61] ; [21 64],[23.77325581 63.22674419] ; [23.22674419 61.77325581],0
p8,1,0.513712,0.426499,[37 50] ; [32 53],[34.90116279 52.09883721] ; [34.09883721 50.90116279],0
a4,1,0.523444,0.407102,[18 67] ; [22 65],[19.76744186 65.23255814] ; [20.23255814 66.76744186],0
a3,1,0.541756,0.372294,[44 42] ; [40 46],[42. 44.] ; [42. 44.],0
a2,1,0.577242,0.310714,[ 8 79] ; [ 6 81],[ 7. 80.] ; [ 7. 80.],0
p12,1,0.699641,0.148845,[ 4 83] ; [ 3 84],[ 3.5 83.5] ; [ 3.5 83.5],0
d2,1,0.723101,0.125541,[20 67] ; [22 65],[21. 66.] ; [21. 66.],0
n1,1,0.812688,0.05615,[ 9 15] ; [13 19],[ 9.42857143 14.57142857] ; [12.57142857 19.42857143],0
p6,1,0.930921,0.007514,[21 66] ; [21 64],[21.24418605 65.75581395] ; [20.75581395 64.24418605],0
n3,1,0.945713,0.004636,[18  6] ; [23  8],[17.89090909  6.10909091] ; [23.10909091  7.89090909],0
s1,1,0.986319,0.000294,[ 4 80] ; [ 4 81],[ 3.97633136 80.02366864] ; [ 4.02366864 80.97633136],0
