Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p2,1,1.9e-05,18.332472,[18 31] ; [30  6],[27.67058824 21.32941176] ; [20.32941176 15.67058824],1
p10,1,6.1e-05,16.079851,[17 33] ; [28  8],[26.1627907 23.8372093] ; [18.8372093 17.1627907],1
r3,1,0.00071,11.46376,[13 37] ; [23 14],[20.68965517 29.31034483] ; [15.31034483 21.68965517],1
p8,1,0.000759,11.338605,[ 8 41] ; [19 19],[15.20689655 33.79310345] ; [11.79310345 26.20689655],1
s6,1,0.001235,10.436491,[ 6 44] ; [16 22],[12.5 37.5] ; [ 9.5 28.5],0
p4,1,0.00138,10.232063,[10 40] ; [20 18],[17.04545455 32.95454545] ; [12.95454545 25.04545455],0
p9,1,0.001607,9.951577,[19 29] ; [28 10],[26.23255814 21.76744186] ; [20.76744186 17.23255814],0
n6,1,0.001644,9.90983,[19 30] ; [27 10],[26.20930233 22.79069767] ; [19.79069767 17.20930233],0
b1,1,0.001647,9.906435,[34 16] ; [13 25],[26.70454545 23.29545455] ; [20.29545455 17.70454545],0
p7,1,0.016523,5.746312,[12 37] ; [17 17],[17.12048193 31.87951807] ; [11.87951807 22.12048193],0
p5,1,0.018774,5.522437,[ 1 47] ; [ 6 31],[ 3.95294118 44.04705882] ; [ 3.04705882 33.95294118],0
s8,1,0.019975,5.414119,[ 4 46] ; [10 28],[ 7.95454545 42.04545455] ; [ 6.04545455 31.95454545],0
u2,1,0.02104,5.323515,[ 5 17] ; [12  9],[ 8.69767442 13.30232558] ; [ 8.30232558 12.69767442],0
u3,1,0.024632,5.049545,[ 3 19] ; [ 9 11],[ 6.28571429 15.71428571] ; [ 5.71428571 14.28571429],0
b2,1,0.025513,4.988698,[14 17] ; [ 4 20],[10.14545455 20.85454545] ; [ 7.85454545 16.14545455],0
b3,1,0.025513,4.988698,[14 17] ; [ 4 20],[10.14545455 20.85454545] ; [ 7.85454545 16.14545455],0
p3,1,0.028913,4.772796,[ 9 40] ; [15 23],[13.51724138 35.48275862] ; [10.48275862 27.51724138],0
s4,1,0.046081,3.97863,[ 6 44] ; [11 27],[ 9.65909091 40.34090909] ; [ 7.34090909 30.65909091],0
s7,1,0.055229,3.675169,[10 37] ; [15 22],[13.98809524 33.01190476] ; [11.01190476 25.98809524],0
p6,1,0.074531,3.180294,[ 4 45] ; [ 8 29],[ 6.8372093 42.1627907] ; [ 5.1627907 31.8372093],0
s5,1,0.083763,2.990333,[ 4 45] ; [ 8 30],[ 6.75862069 42.24137931] ; [ 5.24137931 32.75862069],0
s1,1,0.107667,2.58813,[ 6 44] ; [ 1 37],[ 3.97727273 46.02272727] ; [ 3.02272727 34.97727273],0
b4,1,0.10999,2.554363,[23 27] ; [24 14],[26.70454545 23.29545455] ; [20.29545455 17.70454545],0
v4,1,0.117869,2.445405,[24 26] ; [24 13],[27.5862069 22.4137931] ; [20.4137931 16.5862069],0
d5,1,0.176581,1.826165,[23 27] ; [23 15],[26.13636364 23.86363636] ; [19.86363636 18.13636364],0
v3,1,0.185892,1.749876,[ 9 41] ; [ 3 34],[ 6.89655172 43.10344828] ; [ 5.10344828 31.89655172],0
n1,1,0.20577,1.600941,[ 9 18] ; [8 7],[10.92857143 16.07142857] ; [6.07142857 8.92857143],0
a3,1,0.209955,1.57174,[28 20] ; [17 21],[25.11627907 22.88372093] ; [19.88372093 18.11627907],0
r1,1,0.214044,1.54386,[15 35] ; [ 7 31],[12.5 37.5] ; [ 9.5 28.5],0
s2,1,0.214044,1.54386,[10 40] ; [12 26],[12.5 37.5] ; [ 9.5 28.5],0
s3,1,0.227094,1.458973,[15 34] ; [16 21],[17.6627907 31.3372093] ; [13.3372093 23.6627907],0
a4,1,0.265844,1.238067,[17 32] ; [ 9 29],[14.64367816 34.35632184] ; [11.35632184 26.64367816],0
a2,1,0.276202,1.185684,[ 6 44] ; [ 2 36],[ 4.54545455 45.45454545] ; [ 3.45454545 34.54545455],0
v1,1,0.302248,1.064251,[14 35] ; [ 7 30],[11.96511628 37.03488372] ; [ 9.03488372 27.96511628],0
n3,1,0.306504,1.045679,[10 17] ; [8 7],[11.57142857 15.42857143] ; [6.42857143 8.57142857],0
n2,1,0.333998,0.933333,[12 15] ; [9 6],[13.5 13.5] ; [7.5 7.5],0
d2,1,0.338778,0.915052,[19 30] ; [11 27],[16.89655172 32.10344828] ; [13.10344828 24.89655172],0
a5,1,0.389324,0.741053,[23 27] ; [21 17],[25. 25.] ; [19. 19.],0
n5,1,0.469263,0.52371,[30 20] ; [25 12],[31.6091954 18.3908046] ; [23.3908046 13.6091954],0
d1,1,0.50993,0.434211,[15 35] ; [ 9 29],[13.63636364 36.36363636] ; [10.36363636 27.63636364],0
r2,1,0.62557,0.238116,[26 22] ; [22 15],[27.10588235 20.89411765] ; [20.89411765 16.10588235],0
d3,1,0.652974,0.202171,[23 26] ; [16 22],[21.96551724 27.03448276] ; [17.03448276 20.96551724],0
a6,1,0.666889,0.185263,[24 26] ; [20 18],[25. 25.] ; [19. 19.],0
a7,1,0.753266,0.098807,[22 28] ; [18 20],[22.72727273 27.27272727] ; [17.27272727 20.72727273],0
u1,1,0.778114,0.079398,[ 2 48] ; [ 2 36],[ 2.27272727 47.72727273] ; [ 1.72727273 36.27272727],0
b5,1,0.852514,0.034563,[24 26] ; [19 19],[24.43181818 25.56818182] ; [18.56818182 19.43181818],0
p1,1,0.902288,0.015073,[ 5 45] ; [ 4 33],[ 5.17241379 44.82758621] ; [ 3.82758621 33.17241379],0
a8,1,0.937869,0.006076,[ 3 46] ; [ 2 33],[ 2.91666667 46.08333333] ; [ 2.08333333 32.91666667],0
n4,1,0.945051,0.00475,[28 22] ; [21 17],[27.84090909 22.15909091] ; [21.15909091 16.84090909],0
d4,1,0.960148,0.002497,[30 20] ; [23 15],[30.11363636 19.88636364] ; [22.88636364 15.11363636],0
