Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,3e-06,21.682066,[14 63] ; [11  3],[21.15384615 55.84615385] ; [ 3.84615385 10.15384615],1
p3,1,5.1e-05,16.397426,[12 67] ; [9 5],[17.83870968 61.16129032] ; [ 3.16129032 10.83870968],1
s7,1,0.000798,11.246043,[14 55] ; [9 5],[19.12048193 49.87951807] ; [ 3.87951807 10.12048193],1
v2,1,0.004712,7.986668,[24 52] ; [10  4],[28.71111111 47.28888889] ; [5.28888889 8.71111111],0
s6,1,0.005487,7.711354,[28 50] ; [10  3],[32.57142857 45.42857143] ; [5.42857143 7.57142857],0
s8,1,0.009111,6.800916,[12 67] ; [6 7],[15.45652174 63.54347826] ; [ 2.54347826 10.45652174],0
r4,1,0.014822,5.937506,[40 39] ; [12  2],[44.17204301 34.82795699] ; [7.82795699 6.17204301],0
b5,1,0.018502,5.547984,[41 38] ; [12  2],[45.02150538 33.97849462] ; [7.97849462 6.02150538],0
s2,1,0.022903,5.175869,[21 58] ; [8 6],[24.6344086 54.3655914] ; [4.3655914 9.6344086],0
p9,1,0.026512,4.92233,[24 49] ; [9 5],[27.68965517 45.31034483] ; [5.31034483 8.68965517],0
n6,1,0.039262,4.249481,[38 40] ; [11  3],[41.54347826 36.45652174] ; [7.45652174 6.54347826],0
s5,1,0.049969,3.842495,[13 63] ; [5 7],[15.54545455 60.45454545] ; [2.45454545 9.54545455],0
p8,1,0.071138,3.256574,[12 66] ; [5 9],[14.41304348 63.58695652] ; [ 2.58695652 11.41304348],0
n3,1,0.106042,2.612231,[19 17] ; [6 1],[20.93023256 15.06976744] ; [4.06976744 2.93023256],0
n2,1,0.114857,2.486087,[21 18] ; [6 1],[22.89130435 16.10869565] ; [4.10869565 2.89130435],0
a6,1,0.117268,2.453435,[38 40] ; [10  4],[40.69565217 37.30434783] ; [7.30434783 6.69565217],0
s3,1,0.118306,2.43961,[27 50] ; [8 6],[29.61538462 47.38461538] ; [5.38461538 8.61538462],0
r1,1,0.119447,2.424552,[44 34] ; [11  3],[46.63043478 31.36956522] ; [8.36956522 5.63043478],0
v1,1,0.143506,2.13996,[19 60] ; [6 8],[21.23655914 57.76344086] ; [ 3.76344086 10.23655914],0
