Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.0,26.449275,[42 12] ; [31 61],[27. 27.] ; [46. 46.],1
s3,1,0.0,26.08831,[41 13] ; [30 63],[26.08163265 27.91836735] ; [44.91836735 48.08163265],1
s8,1,2.1e-05,18.060313,[24 30] ; [12 80],[13.31506849 40.68493151] ; [22.68493151 69.31506849],1
s7,1,0.000678,11.549624,[25 25] ; [19 68],[16.05839416 33.94160584] ; [27.94160584 59.05839416],1
p8,1,0.058422,3.581633,[24 30] ; [27 66],[18.73469388 35.26530612] ; [32.26530612 60.73469388],0
n5,1,0.062195,3.477858,[33 21] ; [42 51],[27.55102041 26.44897959] ; [47.44897959 45.55102041],0
n3,1,0.066127,3.376631,[7 8] ; [23  8],[9.7826087 5.2173913] ; [20.2173913 10.7826087],0
p10,1,0.082935,3.006435,[19 35] ; [20 71],[14.52413793 39.47586207] ; [24.47586207 66.52413793],0
n2,1,0.091267,2.851876,[12  2] ; [20 13],[9.53191489 4.46808511] ; [22.46808511 10.53191489],0
p7,1,0.095015,2.787281,[31 21] ; [42 51],[26.17931034 25.82068966] ; [46.82068966 46.17931034],0
s4,1,0.102047,2.673262,[10 42] ; [ 9 84],[ 6.8137931 45.1862069] ; [12.1862069 80.8137931],0
a1,1,0.120451,2.411449,[ 4 50] ; [ 2 91],[ 2.20408163 51.79591837] ; [ 3.79591837 89.20408163],0
p5,1,0.120451,2.411449,[ 4 50] ; [ 2 91],[ 2.20408163 51.79591837] ; [ 3.79591837 89.20408163],0
s1,1,0.122876,2.380274,[ 6 48] ; [ 4 87],[ 3.72413793 50.27586207] ; [ 6.27586207 84.72413793],0
s5,1,0.151797,2.054094,[14 39] ; [15 76],[10.67361111 42.32638889] ; [18.32638889 72.67361111],0
v3,1,0.166005,1.918658,[20 33] ; [24 66],[16.30769231 36.69230769] ; [27.69230769 62.30769231],0
u2,1,0.179684,1.800232,[13  8] ; [18 23],[10.5 10.5] ; [20.5 20.5],0
a6,1,0.195998,1.671946,[29 25] ; [60 33],[32.69387755 21.30612245] ; [56.30612245 36.69387755],0
