Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,3.5e-05,17.150219,[62 13] ; [11 16],[53.67647059 21.32352941] ; [19.32352941  7.67647059],1
p10,1,0.000325,12.922483,[62 10] ; [14 13],[55.27272727 16.72727273] ; [20.72727273  6.27272727],1
n6,1,0.000403,12.518031,[65  9] ; [15 12],[58.61386139 15.38613861] ; [21.38613861  5.61386139],1
d2,1,0.011078,6.45274,[28 47] ; [ 3 24],[22.79411765 52.20588235] ; [ 8.20588235 18.79411765],0
v2,1,0.04092,4.179327,[40 34] ; [ 8 18],[35.52 38.48] ; [12.48 13.52],0
p9,1,0.046291,3.970965,[61 11] ; [18  9],[57.45454545 14.54545455] ; [21.54545455  5.45454545],0
s7,1,0.110389,2.54865,[40 31] ; [ 9 15],[36.62105263 34.37894737] ; [12.37894737 11.62105263],0
p6,1,0.176157,1.829754,[27 47] ; [ 6 21],[24.17821782 49.82178218] ; [ 8.82178218 18.17821782],0
b1,1,0.214523,1.540636,[41 34] ; [11 16],[38.23529412 36.76470588] ; [13.76470588 13.23529412],0
a7,1,0.221163,1.49681,[54 21] ; [16 11],[51.47058824 23.52941176] ; [18.52941176  8.47058824],0
r1,1,0.242048,1.368624,[59 16] ; [24  3],[61.02941176 13.97058824] ; [21.97058824  5.02941176],0
r4,1,0.265889,1.237835,[63 12] ; [25  2],[64.70588235 10.29411765] ; [23.29411765  3.70588235],0
a2,1,0.265889,1.237835,[12 63] ; [ 2 25],[10.29411765 64.70588235] ; [ 3.70588235 23.29411765],0
p11,1,0.30456,1.054119,[60 15] ; [19  8],[58.08823529 16.91176471] ; [20.91176471  6.08823529],0
v1,1,0.314995,1.009617,[38 35] ; [11 16],[35.77 37.23] ; [13.23 13.77],0
b5,1,0.32626,0.963685,[39 36] ; [17 10],[41.17647059 33.82352941] ; [14.82352941 12.17647059],0
