Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,7.4e-05,15.710594,[6 3] ; [84  2],[8.52631579 0.47368421] ; [81.47368421  4.52631579],1
s3,1,0.002405,9.211447,[1 8] ; [54 31],[5.26595745 3.73404255] ; [49.73404255 35.26595745],0
r1,1,0.002962,8.83073,[4 5] ; [74 13],[7.3125 1.6875] ; [70.6875 16.3125],0
n2,1,0.010909,6.48,[1 2] ; [14  1],[2.5 0.5] ; [12.5  2.5],0
s8,1,0.01634,5.765925,[2 7] ; [54 31],[5.36170213 3.63829787] ; [50.63829787 34.36170213],0
r4,1,0.018073,5.589094,[6 3] ; [80  7],[8.0625 0.9375] ; [77.9375  9.0625],0
a7,1,0.043479,4.076696,[4 5] ; [66 21],[6.5625 2.4375] ; [63.4375 23.5625],0
s7,1,0.044526,4.036508,[3 5] ; [59 23],[5.51111111 2.48888889] ; [56.48888889 25.51111111],0
n4,1,0.047126,3.940887,[6 3] ; [78  9],[7.875 1.125] ; [76.125 10.875],0
p6,1,0.054762,3.689309,[3 6] ; [56 29],[5.64893617 3.35106383] ; [53.35106383 31.64893617],0
r3,1,0.073023,3.21373,[7 2] ; [81  5],[8.33684211 0.66315789] ; [79.66315789  6.33684211],0
s2,1,0.153953,2.032638,[3 6] ; [50 36],[5.02105263 3.97894737] ; [47.97894737 38.02105263],0
p7,1,0.264053,1.247381,[6 3] ; [69 15],[7.25806452 1.74193548] ; [67.74193548 16.25806452],0
n3,1,0.279642,1.168831,[1 2] ; [10  5],[1.83333333 1.16666667] ; [9.16666667 5.83333333],0
p8,1,0.284137,1.147194,[6 3] ; [71 16],[7.21875 1.78125] ; [69.78125 17.21875],0
n5,1,0.286896,1.134132,[7 2] ; [78  9],[7.96875 1.03125] ; [77.03125  9.96875],0
d5,1,0.293248,1.104651,[6 3] ; [70 16],[7.2 1.8] ; [68.8 17.2],0
v1,1,0.323855,0.973312,[5 4] ; [60 24],[6.29032258 2.70967742] ; [58.70967742 25.29032258],0
p4,1,0.362674,0.828612,[7 2] ; [76 10],[7.86315789 1.13684211] ; [75.13684211 10.86315789],0
b2,1,0.372533,0.795198,[4 2] ; [30 33],[2.95652174 3.04347826] ; [31.04347826 31.95652174],0
b3,1,0.372533,0.795198,[4 2] ; [30 33],[2.95652174 3.04347826] ; [31.04347826 31.95652174],0
v3,1,0.383603,0.759124,[4 5] ; [50 34],[5.22580645 3.77419355] ; [48.77419355 35.22580645],0
d2,1,0.41169,0.673916,[6 3] ; [45 41],[4.83157895 4.16842105] ; [46.16842105 39.83157895],0
p3,1,0.446915,0.578463,[6 3] ; [67 19],[6.91578947 2.08421053] ; [66.08421053 19.91578947],0
a2,1,0.450598,0.569147,[1 8] ; [19 68],[1.875 7.125] ; [18.125 68.875],0
a4,1,0.467756,0.527273,[3 6] ; [40 47],[4.03125 4.96875] ; [38.96875 48.03125],0
d3,1,0.47285,0.515309,[5 4] ; [58 28],[5.96842105 3.03157895] ; [57.03157895 28.96842105],0
u1,1,0.537394,0.380391,[1 8] ; [17 70],[1.6875 7.3125] ; [16.3125 70.6875],0
d1,1,0.601055,0.273407,[5 4] ; [56 31],[5.71875 3.28125] ; [55.28125 31.71875],0
b4,1,0.687127,0.162213,[6 3] ; [52 35],[5.4375 3.5625] ; [52.5625 34.4375],0
v2,1,0.710154,0.138123,[5 4] ; [52 32],[5.51612903 3.48387097] ; [51.48387097 32.51612903],0
u3,1,0.715501,0.132844,[1 1] ; [12  7],[1.23809524 0.76190476] ; [11.76190476  7.23809524],0
p1,1,0.730304,0.118833,[2 7] ; [24 63],[2.4375 6.5625] ; [23.5625 63.4375],0
d4,1,0.747065,0.104014,[8 1] ; [73 13],[7.67368421 1.32631579] ; [73.32631579 12.67368421],0
s6,1,0.787699,0.072522,[7 2] ; [66 15],[7.3 1.7] ; [65.7 15.3],0
p12,1,0.789527,0.071249,[3 6] ; [25 61],[2.65263158 6.34736842] ; [25.34736842 60.65263158],0
b1,1,0.85907,0.031527,[4 5] ; [36 51],[3.75 5.25] ; [36.25 50.75],0
p2,1,0.860059,0.031081,[8 1] ; [78  8],[8.14736842 0.85263158] ; [77.85263158  8.14736842],0
a1,1,0.894712,0.017515,[1 8] ; [11 76],[1.125 7.875] ; [10.875 76.125],0
a8,1,0.911373,0.012389,[1 7] ; [11 68],[1.10344828 6.89655172] ; [10.89655172 68.10344828],0
a5,1,0.914175,0.011615,[7 2] ; [69 18],[7.125 1.875] ; [68.875 18.125],0
a6,1,0.925948,0.008639,[6 3] ; [56 30],[5.87368421 3.12631579] ; [56.12631579 29.87368421],0
b5,1,0.930001,0.007716,[4 5] ; [40 47],[4.125 4.875] ; [39.875 47.125],0
s5,1,0.959641,0.002561,[6 3] ; [52 27],[5.93181818 3.06818182] ; [52.06818182 26.93181818],0
a3,1,0.978883,0.000701,[7 2] ; [68 19],[7.03125 1.96875] ; [67.96875 19.03125],0
